在“她给他关于自己的书”这句话中，自己指的是	f:0.5028528857575713	m:0.49714711424242874
在“她提供他关于自己的结果”这句话中，自己指的是	f:0.5008640280706153	m:0.4991359719293847
在“她提供他关于自己的问题”这句话中，自己指的是	f:0.501136777826461	m:0.498863222173539
在“她提供他关于自己的话”这句话中，自己指的是	f:0.5009970651761712	m:0.4990029348238289
在“她提供他关于自己的成绩”这句话中，自己指的是	f:0.5015869087340952	m:0.49841309126590483
在“她提供他关于自己的钱”这句话中，自己指的是	f:0.5014905885406922	m:0.4985094114593078
在“她提供他关于自己的经验”这句话中，自己指的是	f:0.5018129269306866	m:0.4981870730693135
在“她提供他关于自己的生日”这句话中，自己指的是	f:0.502563454101855	m:0.497436545898145
在“她提供他关于自己的计划”这句话中，自己指的是	f:0.5018749149181144	m:0.4981250850818856
在“她提供他关于自己的意见”这句话中，自己指的是	f:0.5014934495381654	m:0.4985065504618345
在“她提供他关于自己的想法”这句话中，自己指的是	f:0.5025520103095273	m:0.4974479896904727
在“她拒绝回答他关于自己的书”这句话中，自己指的是	f:0.5056235803007962	m:0.49437641969920376
在“她拒绝回答他关于自己的信”这句话中，自己指的是	f:0.5042637745115385	m:0.49573622548846147
在“她拒绝回答他关于自己的结果”这句话中，自己指的是	f:0.5045617745134678	m:0.4954382254865321
在“她拒绝回答他关于自己的问题”这句话中，自己指的是	f:0.5057637522457477	m:0.49423624775425234
在“她拒绝回答他关于自己的话”这句话中，自己指的是	f:0.5041269318829292	m:0.49587306811707077
在“她拒绝回答他关于自己的成绩”这句话中，自己指的是	f:0.5080278173132637	m:0.49197218268673626
在“她拒绝回答他关于自己的钱”这句话中，自己指的是	f:0.5069384888919172	m:0.4930615111080829
在“她拒绝回答他关于自己的经验”这句话中，自己指的是	f:0.5050490570370522	m:0.49495094296294784
在“她拒绝回答他关于自己的生日”这句话中，自己指的是	f:0.5080054117279921	m:0.491994588272008
在“她拒绝回答他关于自己的计划”这句话中，自己指的是	f:0.5065075060611511	m:0.49349249393884886
在“她拒绝回答他关于自己的意见”这句话中，自己指的是	f:0.5066247877719735	m:0.4933752122280265
在“她拒绝回答他关于自己的想法”这句话中，自己指的是	f:0.5067735342572101	m:0.4932264657427899
在“她提醒他关于自己的书”这句话中，自己指的是	f:0.5032405399536962	m:0.4967594600463038
在“她提醒他关于自己的信”这句话中，自己指的是	f:0.5025477188867146	m:0.49745228111328554
在“她提醒他关于自己的结果”这句话中，自己指的是	f:0.5023298094931148	m:0.49767019050688527
在“她提醒他关于自己的问题”这句话中，自己指的是	f:0.5030870045374309	m:0.49691299546256906
在“她提醒他关于自己的话”这句话中，自己指的是	f:0.5018706234438969	m:0.4981293765561032
在“她提醒他关于自己的成绩”这句话中，自己指的是	f:0.5037364264176029	m:0.4962635735823971
在“她提醒他关于自己的钱”这句话中，自己指的是	f:0.5030479053621139	m:0.49695209463788603
在“她提醒他关于自己的经验”这句话中，自己指的是	f:0.5036162699505816	m:0.4963837300494185
在“她提醒他关于自己的生日”这句话中，自己指的是	f:0.5044020469019889	m:0.4955979530980112
在“她提醒他关于自己的计划”这句话中，自己指的是	f:0.5043105011174998	m:0.49568949888250025
在“她提醒他关于自己的意见”这句话中，自己指的是	f:0.5034865767876838	m:0.4965134232123161
在“她提醒他关于自己的想法”这句话中，自己指的是	f:0.504738665795216	m:0.495261334204784
在“她推荐他关于自己的书”这句话中，自己指的是	f:0.5019197369655364	m:0.49808026303446357
在“她推荐他关于自己的信”这句话中，自己指的是	f:0.501458163895885	m:0.49854183610411495
在“她推荐他关于自己的结果”这句话中，自己指的是	f:0.5010633452596848	m:0.4989366547403151
在“她推荐他关于自己的问题”这句话中，自己指的是	f:0.501236913065143	m:0.4987630869348571
在“她推荐他关于自己的话”这句话中，自己指的是	f:0.5008482924905334	m:0.4991517075094666
在“她推荐他关于自己的成绩”这句话中，自己指的是	f:0.502164827170874	m:0.49783517282912604
在“她推荐他关于自己的钱”这句话中，自己指的是	f:0.5019473931071098	m:0.4980526068928902
在“她推荐他关于自己的经验”这句话中，自己指的是	f:0.5020980711819567	m:0.49790192881804324
在“她推荐他关于自己的生日”这句话中，自己指的是	f:0.502816170476407	m:0.4971838295235929
在“她推荐他关于自己的计划”这句话中，自己指的是	f:0.5016870434636511	m:0.49831295653634883
在“她推荐他关于自己的意见”这句话中，自己指的是	f:0.5013380018720955	m:0.4986619981279045
在“她推荐他关于自己的想法”这句话中，自己指的是	f:0.5046595178185499	m:0.4953404821814501
