在“他给她推荐自己的丈夫”这句话中，自己指的是	f:0.4979319690376017	m:0.5020680309623983
在“他给她推荐自己的姐姐”这句话中，自己指的是	f:0.497078451981312	m:0.5029215480186879
在“他给她推荐自己的爱人”这句话中，自己指的是	f:0.49720814745383546	m:0.5027918525461645
在“他给她推荐自己的欢心”这句话中，自己指的是	f:0.4987359073868561	m:0.5012640926131439
在“他给她推荐自己的前额”这句话中，自己指的是	f:0.49824763061855404	m:0.5017523693814461
在“他给她描述自己的丈夫”这句话中，自己指的是	f:0.4970350613035134	m:0.5029649386964866
在“他给她描述自己的胳膊”这句话中，自己指的是	f:0.4973016047194206	m:0.5026983952805795
在“他给她描述自己的头发”这句话中，自己指的是	f:0.4969625846668942	m:0.5030374153331059
在“他给她描述自己的身体”这句话中，自己指的是	f:0.49731304847931584	m:0.5026869515206842
在“他给她描述自己的美貌”这句话中，自己指的是	f:0.4960566384642676	m:0.5039433615357324
在“他给她描述自己的裙子”这句话中，自己指的是	f:0.49826527337886994	m:0.5017347266211301
在“他给她描述自己的胸脯”这句话中，自己指的是	f:0.49786807398559496	m:0.502131926014405
在“他给她描述自己的面颊”这句话中，自己指的是	f:0.49715760431963923	m:0.5028423956803608
在“他给她描述自己的笑容”这句话中，自己指的是	f:0.4968553004071151	m:0.5031446995928848
在“他给她描述自己的身材”这句话中，自己指的是	f:0.4967794863709075	m:0.5032205136290925
在“他给她描述自己的肉体”这句话中，自己指的是	f:0.4976058189271706	m:0.5023941810728294
在“他给她描述自己的容貌”这句话中，自己指的是	f:0.49663405734787036	m:0.5033659426521296
在“他给她描述自己的处境”这句话中，自己指的是	f:0.4969730746985763	m:0.5030269253014238
在“他给她描述自己的脸庞”这句话中，自己指的是	f:0.4970493659176653	m:0.5029506340823348
在“他给她描述自己的笑声”这句话中，自己指的是	f:0.4975142683732468	m:0.5024857316267531
在“他给她描述自己的举止”这句话中，自己指的是	f:0.4968700817770407	m:0.5031299182229593
在“他给她描述自己的形象”这句话中，自己指的是	f:0.49705604140592397	m:0.502943958594076
在“他给她描述自己的脸蛋”这句话中，自己指的是	f:0.4964218750475949	m:0.5035781249524051
在“他给她描述自己的愿望”这句话中，自己指的是	f:0.49723008128460244	m:0.5027699187153974
在“他给她描述自己的照片”这句话中，自己指的是	f:0.49752380488160913	m:0.5024761951183909
在“他给她描述自己的关系”这句话中，自己指的是	f:0.4983048503973886	m:0.5016951496026114
在“他给她描述自己的姐姐”这句话中，自己指的是	f:0.4963517836458186	m:0.5036482163541814
在“他给她描述自己的爱人”这句话中，自己指的是	f:0.49640280254327235	m:0.5035971974567277
在“他给她描述自己的欢心”这句话中，自己指的是	f:0.4977793839546327	m:0.5022206160453674
在“他给她描述自己的前额”这句话中，自己指的是	f:0.4975521760046127	m:0.5024478239953873
在“他给她介绍自己的丈夫”这句话中，自己指的是	f:0.4978041790032194	m:0.5021958209967806
在“他给她介绍自己的胳膊”这句话中，自己指的是	f:0.49821949757736544	m:0.5017805024226345
在“他给她介绍自己的头发”这句话中，自己指的是	f:0.4977822449212222	m:0.5022177550787778
在“他给她介绍自己的身体”这句话中，自己指的是	f:0.4981713376517669	m:0.5018286623482331
在“他给她介绍自己的美貌”这句话中，自己指的是	f:0.4964962579134382	m:0.5035037420865618
在“他给她介绍自己的裙子”这句话中，自己指的是	f:0.49927711537183433	m:0.5007228846281657
在“他给她介绍自己的胸脯”这句话中，自己指的是	f:0.4983604013084988	m:0.5016395986915012
在“他给她介绍自己的面颊”这句话中，自己指的是	f:0.4981374826748213	m:0.5018625173251787
在“他给她介绍自己的笑容”这句话中，自己指的是	f:0.4982819624804427	m:0.5017180375195573
在“他给她介绍自己的身材”这句话中，自己指的是	f:0.4972820549694795	m:0.5027179450305205
在“他给她介绍自己的肉体”这句话中，自己指的是	f:0.4985656777625483	m:0.5014343222374518
在“他给她介绍自己的容貌”这句话中，自己指的是	f:0.4970083593701009	m:0.5029916406298991
在“他给她介绍自己的处境”这句话中，自己指的是	f:0.4973874329867184	m:0.5026125670132816
在“他给她介绍自己的脸庞”这句话中，自己指的是	f:0.49813891316646147	m:0.5018610868335385
在“他给她介绍自己的笑声”这句话中，自己指的是	f:0.49848890764625076	m:0.5015110923537492
在“他给她介绍自己的举止”这句话中，自己指的是	f:0.49738695616258116	m:0.5026130438374188
在“他给她介绍自己的形象”这句话中，自己指的是	f:0.4979066971058563	m:0.5020933028941437
在“他给她介绍自己的脸蛋”这句话中，自己指的是	f:0.4976763892557092	m:0.5023236107442908
在“他给她介绍自己的愿望”这句话中，自己指的是	f:0.4974985331384062	m:0.5025014668615937
在“他给她介绍自己的照片”这句话中，自己指的是	f:0.49772431037634796	m:0.502275689623652
在“他给她介绍自己的关系”这句话中，自己指的是	f:0.49807978620433646	m:0.5019202137956635
在“他给她介绍自己的姐姐”这句话中，自己指的是	f:0.4971986110090225	m:0.5028013889909776
在“他给她介绍自己的爱人”这句话中，自己指的是	f:0.4972586906450902	m:0.5027413093549098
在“他给她介绍自己的欢心”这句话中，自己指的是	f:0.49851608712045803	m:0.501483912879542
在“他给她介绍自己的前额”这句话中，自己指的是	f:0.49822402747307115	m:0.5017759725269288
在“他给她看自己的丈夫”这句话中，自己指的是	f:0.49883938044147147	m:0.5011606195585284
在“他给她看自己的胳膊”这句话中，自己指的是	f:0.49806643496219793	m:0.501933565037802
在“他给她看自己的头发”这句话中，自己指的是	f:0.49784613987921333	m:0.5021538601207867
在“他给她看自己的身体”这句话中，自己指的是	f:0.4984343103085462	m:0.5015656896914539
在“他给她看自己的美貌”这句话中，自己指的是	f:0.4976663758925802	m:0.5023336241074198
在“他给她看自己的裙子”这句话中，自己指的是	f:0.4990186703884584	m:0.5009813296115416
在“他给她看自己的胸脯”这句话中，自己指的是	f:0.49843669447099453	m:0.5015633055290055
在“他给她看自己的面颊”这句话中，自己指的是	f:0.4983058040607495	m:0.5016941959392505
在“他给她看自己的笑容”这句话中，自己指的是	f:0.49799634098665185	m:0.5020036590133481
在“他给她看自己的身材”这句话中，自己指的是	f:0.4978156228754479	m:0.5021843771245521
在“他给她看自己的肉体”这句话中，自己指的是	f:0.4985070272947399	m:0.50149297270526
在“他给她看自己的容貌”这句话中，自己指的是	f:0.4976520710913594	m:0.5023479289086407
在“他给她看自己的处境”这句话中，自己指的是	f:0.49828291614350567	m:0.5017170838564944
在“他给她看自己的脸庞”这句话中，自己指的是	f:0.4982400013181446	m:0.5017599986818553
在“他给她看自己的笑声”这句话中，自己指的是	f:0.4983527719963898	m:0.5016472280036103
在“他给她看自己的举止”这句话中，自己指的是	f:0.4977984570679671	m:0.5022015429320328
在“他给她看自己的形象”这句话中，自己指的是	f:0.49841094552033677	m:0.5015890544796633
在“他给她看自己的脸蛋”这句话中，自己指的是	f:0.4977440987120428	m:0.5022559012879572
在“他给她看自己的愿望”这句话中，自己指的是	f:0.4983649312129249	m:0.501635068787075
在“他给她看自己的照片”这句话中，自己指的是	f:0.49823737874631807	m:0.501762621253682
在“他给她看自己的关系”这句话中，自己指的是	f:0.49933433572043123	m:0.5006656642795687
在“他给她看自己的姐姐”这句话中，自己指的是	f:0.4978575837597748	m:0.5021424162402253
在“他给她看自己的爱人”这句话中，自己指的是	f:0.49801827514753366	m:0.5019817248524664
在“他给她看自己的欢心”这句话中，自己指的是	f:0.4987683321116335	m:0.5012316678883665
在“他给她看自己的前额”这句话中，自己指的是	f:0.4980108842881194	m:0.5019891157118805
在“他给她展示自己的丈夫”这句话中，自己指的是	f:0.4980926606189922	m:0.5019073393810078
在“他给她展示自己的胳膊”这句话中，自己指的是	f:0.4970088361901912	m:0.5029911638098088
在“他给她展示自己的头发”这句话中，自己指的是	f:0.4968514858609289	m:0.5031485141390711
在“他给她展示自己的身体”这句话中，自己指的是	f:0.49768020387072526	m:0.5023197961292748
在“他给她展示自己的美貌”这句话中，自己指的是	f:0.4965010260511887	m:0.5034989739488114
在“他给她展示自己的裙子”这句话中，自己指的是	f:0.49795533366314687	m:0.5020446663368531
在“他给她展示自己的胸脯”这句话中，自己指的是	f:0.4978542459610453	m:0.5021457540389547
在“他给她展示自己的面颊”这句话中，自己指的是	f:0.49729111460866643	m:0.5027088853913335
在“他给她展示自己的笑容”这句话中，自己指的是	f:0.49633986335358504	m:0.503660136646415
在“他给她展示自己的身材”这句话中，自己指的是	f:0.49701789577294003	m:0.50298210422706
在“他给她展示自己的肉体”这句话中，自己指的是	f:0.4976887867554981	m:0.5023112132445019
在“他给她展示自己的容貌”这句话中，自己指的是	f:0.4968729426879816	m:0.5031270573120183
在“他给她展示自己的处境”这句话中，自己指的是	f:0.4972710880402205	m:0.5027289119597794
在“他给她展示自己的脸庞”这句话中，自己指的是	f:0.49774600602188174	m:0.5022539939781183
在“他给她展示自己的笑声”这句话中，自己指的是	f:0.49697116741989017	m:0.5030288325801099
在“他给她展示自己的举止”这句话中，自己指的是	f:0.4968753267805887	m:0.5031246732194112
在“他给她展示自己的形象”这句话中，自己指的是	f:0.4975052086919777	m:0.5024947913080223
在“他给她展示自己的脸蛋”这句话中，自己指的是	f:0.49710467713762313	m:0.5028953228623769
在“他给她展示自己的愿望”这句话中，自己指的是	f:0.4973621613140164	m:0.5026378386859837
在“他给她展示自己的照片”这句话中，自己指的是	f:0.49643951712336554	m:0.5035604828766345
在“他给她展示自己的关系”这句话中，自己指的是	f:0.4983201090126386	m:0.5016798909873614
在“他给她展示自己的姐姐”这句话中，自己指的是	f:0.4975080696437807	m:0.5024919303562193
在“他给她展示自己的爱人”这句话中，自己指的是	f:0.49751712932556597	m:0.5024828706744341
在“他给她展示自己的欢心”这句话中，自己指的是	f:0.4975910373162898	m:0.5024089626837102
在“他给她展示自己的前额”这句话中，自己指的是	f:0.4974222411615137	m:0.5025777588384863
