假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.4563816221555919	m:0.2723408214484982	t:0.2712775563959099
假如她说这个举动改变了自己,那么这个举动改变了[MASK]。	f:0.43768988025806377	t:0.28850784675772256	m:0.27380227298421367
假如她说这个举动影响了自己,那么这个举动影响了[MASK]。	f:0.41591207999322305	m:0.2934558070117316	t:0.2906321129950455
假如他说这个举动吸引了自己,那么这个举动吸引了[MASK]。	m:0.5186169629576295	t:0.24543944897392153	f:0.23594358806844892
假如她说这个举动启发了自己,那么这个举动启发了[MASK]。	f:0.42481580698241383	m:0.28979452509040377	t:0.2853896679271824
假如他说这个举动激励了自己,那么这个举动激励了[MASK]。	m:0.5258634646696404	t:0.23976000590944524	f:0.2343765294209144
假如他说这个举动刺激了自己,那么这个举动刺激了[MASK]。	m:0.5353502921702356	t:0.23592593982081755	f:0.22872376800894686
假如她说这个举动困扰了自己,那么这个举动困扰了[MASK]。	f:0.431739265825328	m:0.2854958957957579	t:0.2827648383789141
假如她说这个举动鼓舞了自己,那么这个举动鼓舞了[MASK]。	f:0.477645510273879	m:0.26382682707763555	t:0.25852766264848537
假如他说这个举动鞭策了自己,那么这个举动鞭策了[MASK]。	m:0.5296641309307686	t:0.23593531055835235	f:0.23440055851087896
假如她说这个举动感动了自己,那么这个举动感动了[MASK]。	f:0.44941926487498446	m:0.27870715984531025	t:0.27187357527970535
假如他说这个举动迷惑了自己,那么这个举动迷惑了[MASK]。	m:0.5293849733069093	t:0.2369114642279905	f:0.2337035624651002
假如他说这个举动提醒了自己,那么这个举动提醒了[MASK]。	m:0.5330452416072355	t:0.2347921217601966	f:0.23216263663256786
假如她说这个举动激励了自己,那么这个举动激励了[MASK]。	f:0.44269678033948634	m:0.280803098276411	t:0.27650012138410274
假如他说这个结果伤害了自己,那么这个结果伤害了[MASK]。	m:0.5229864399794578	t:0.24235466372667816	f:0.2346588962938639
假如他说这个结果改变了自己,那么这个结果改变了[MASK]。	m:0.4703700497287707	t:0.2698936665396503	f:0.2597362837315791
假如他说这个结果影响了自己,那么这个结果影响了[MASK]。	m:0.49390254482629636	t:0.25968048915852465	f:0.246416966015179
假如他说这个结果吸引了自己,那么这个结果吸引了[MASK]。	m:0.4909528537136345	t:0.2620277414231802	f:0.24701940486318527
假如他说这个结果启发了自己,那么这个结果启发了[MASK]。	m:0.5101197304002809	t:0.24972244475071273	f:0.24015782484900636
假如他说这个结果激励了自己,那么这个结果激励了[MASK]。	m:0.4945782626036779	t:0.25692678560401433	f:0.24849495179230785
假如她说这个结果刺激了自己,那么这个结果刺激了[MASK]。	f:0.4114534421197743	t:0.3011626027794751	m:0.2873839551007506
假如她说这个结果困扰了自己,那么这个结果困扰了[MASK]。	f:0.41363121951204695	m:0.2936705801849151	t:0.29269820030303795
假如她说这个结果鼓舞了自己,那么这个结果鼓舞了[MASK]。	f:0.4629393980269473	m:0.2717230740139242	t:0.2653375279591285
假如她说这个结果鞭策了自己,那么这个结果鞭策了[MASK]。	f:0.4553782401302823	m:0.27966531143990025	t:0.26495644842981736
假如她说这个结果感动了自己,那么这个结果感动了[MASK]。	f:0.4361577877307615	m:0.2830771858489526	t:0.2807650264202859
假如他说这个结果刺激了自己,那么这个结果刺激了[MASK]。	m:0.5135831147626978	t:0.24935721739659172	f:0.23705966784071042
假如他说这个结果迷惑了自己,那么这个结果迷惑了[MASK]。	m:0.5163770677415424	t:0.24366239250776206	f:0.23996053975069565
假如她说这个结果提醒了自己,那么这个结果提醒了[MASK]。	f:0.42211864006353295	m:0.2966033330927824	t:0.2812780268436845
假如她说这个结果激励了自己,那么这个结果激励了[MASK]。	f:0.4155435580326391	m:0.29337740533580875	t:0.2910790366315522
假如他说这个问题伤害了自己,那么这个问题伤害了[MASK]。	m:0.5129507227641916	t:0.24699970260877271	f:0.2400495746270356
假如她说这个问题改变了自己,那么这个问题改变了[MASK]。	f:0.41280568481394403	t:0.2994234083043309	m:0.28777090688172496
假如她说这个问题影响了自己,那么这个问题影响了[MASK]。	f:0.3892850753178447	m:0.305876870662537	t:0.30483805401961833
假如她说这个问题吸引了自己,那么这个问题吸引了[MASK]。	f:0.41830176996903495	t:0.2938229884983986	m:0.2878752415325664
假如他说这个问题启发了自己,那么这个问题启发了[MASK]。	m:0.514420581456528	t:0.2466500516094569	f:0.23892936693401512
假如他说这个问题激励了自己,那么这个问题激励了[MASK]。	m:0.49351419820298553	t:0.25728167873378077	f:0.2492041230632337
假如他说这个问题刺激了自己,那么这个问题刺激了[MASK]。	m:0.5140610349052236	t:0.24742864159690695	f:0.23851032349786935
假如他说这个问题困扰了自己,那么这个问题困扰了[MASK]。	m:0.5035940919186235	t:0.2517118776165441	f:0.24469403046483243
假如他说这个问题鼓舞了自己,那么这个问题鼓舞了[MASK]。	m:0.5008730412599547	t:0.2515836140271896	f:0.24754334471285563
假如他说这个问题鞭策了自己,那么这个问题鞭策了[MASK]。	m:0.5067554355531037	t:0.24767346255012948	f:0.24557110189676684
假如他说这个问题感动了自己,那么这个问题感动了[MASK]。	m:0.5083691294433839	t:0.24915930726437654	f:0.24247156329223968
假如她说这个问题迷惑了自己,那么这个问题迷惑了[MASK]。	f:0.4466178776367787	m:0.27895219869396226	t:0.2744299236692589
假如她说这个问题提醒了自己,那么这个问题提醒了[MASK]。	f:0.4278078749183195	m:0.2925176709553745	t:0.2796744541263059
假如她说这句话伤害了自己,那么这句话伤害了[MASK]。	f:0.4689586645078406	m:0.26807586300408326	t:0.2629654724880761
假如她说这句话改变了自己,那么这句话改变了[MASK]。	f:0.45297576488705754	t:0.2757087580728169	m:0.27131547704012554
假如他说这句话影响了自己,那么这句话影响了[MASK]。	m:0.5139679505251104	t:0.24848990056777323	f:0.23754214890711634
假如他说这句话吸引了自己,那么这句话吸引了[MASK]。	m:0.5154529261787425	t:0.24684911041358149	f:0.23769796340767607
假如她说这句话启发了自己,那么这句话启发了[MASK]。	f:0.43241820979022194	m:0.28767468600467183	t:0.2799071042051062
假如她说这句话激励了自己,那么这句话激励了[MASK]。	f:0.4634691531414558	m:0.270702733999144	t:0.2658281128594001
假如他说这句话刺激了自己,那么这句话刺激了[MASK]。	m:0.5270108564479535	t:0.240171829585962	f:0.2328173139660845
假如他说这句话困扰了自己,那么这句话困扰了[MASK]。	m:0.5228863976408211	t:0.24156225098585826	f:0.2355513513733206
假如他说这句话鼓舞了自己,那么这句话鼓舞了[MASK]。	m:0.49743299607148456	t:0.2533055038641636	f:0.24926150006435188
假如他说这句话鞭策了自己,那么这句话鞭策了[MASK]。	m:0.49674574821610434	t:0.25255417437304134	f:0.25070007741085426
假如他说这句话感动了自己,那么这句话感动了[MASK]。	m:0.4966636076030661	t:0.2553700228172331	f:0.24796636957970078
假如他说这句话迷惑了自己,那么这句话迷惑了[MASK]。	m:0.5081501791632188	t:0.24785435118694427	f:0.24399546964983695
假如她说这句话提醒了自己,那么这句话提醒了[MASK]。	f:0.45752210549471806	m:0.27564686534429567	t:0.2668310291609862
假如他说这个事件伤害了自己,那么这个事件伤害了[MASK]。	m:0.5308450411538084	t:0.23718137297522113	f:0.23197358587097053
假如他说这个事件改变了自己,那么这个事件改变了[MASK]。	m:0.5096052155282164	t:0.2486462066337242	f:0.2417485778380596
假如他说这个事件影响了自己,那么这个事件影响了[MASK]。	m:0.531661471500686	t:0.23735785372620355	f:0.23098067477311043
假如她说这个事件吸引了自己,那么这个事件吸引了[MASK]。	f:0.44938754929842667	m:0.2770587886840682	t:0.2735536620175051
假如她说这个事件启发了自己,那么这个事件启发了[MASK]。	f:0.4364245654710757	m:0.2879042787381688	t:0.27567115579075535
假如她说这个事件激励了自己,那么这个事件激励了[MASK]。	f:0.4250726923165961	m:0.2902496151493941	t:0.2846776925340097
假如她说这个事件刺激了自己,那么这个事件刺激了[MASK]。	f:0.43749788794480815	t:0.2825593942937947	m:0.27994271776139734
假如她说这个事件困扰了自己,那么这个事件困扰了[MASK]。	f:0.43344446282916915	m:0.28714107096835156	t:0.2794144662024793
假如她说这个事件鼓舞了自己,那么这个事件鼓舞了[MASK]。	f:0.4456841666253238	m:0.2800059936633076	t:0.27430983971136863
假如他说这个事件鞭策了自己,那么这个事件鞭策了[MASK]。	m:0.5233993854845894	t:0.23896399246550387	f:0.2376366220499067
假如她说这个事件感动了自己,那么这个事件感动了[MASK]。	f:0.44616620739088697	m:0.28018805159227816	t:0.273645741016835
假如他说这个事件迷惑了自己,那么这个事件迷惑了[MASK]。	m:0.5266200567259675	t:0.2378505775964442	f:0.2355293656775884
假如她说这个事件提醒了自己,那么这个事件提醒了[MASK]。	f:0.43443400354900125	m:0.29099598475981614	t:0.27457001169118256
假如他说它伤害了自己,那么它伤害了[MASK]。	m:0.5064704201912504	t:0.2563448637235485	f:0.23718471608520109
假如他说它改变了自己,那么它改变了[MASK]。	m:0.40799998134204396	t:0.336203469937744	f:0.255796548720212
假如她说它影响了自己,那么它影响了[MASK]。	f:0.3881721046166862	m:0.3077940958558479	t:0.30403379952746584
假如他说它吸引了自己,那么它吸引了[MASK]。	m:0.487065399179396	t:0.27170799363809567	f:0.2412266071825082
假如他说它启发了自己,那么它启发了[MASK]。	m:0.48462244138324745	t:0.2720580598856822	f:0.24331949873107042
假如他说它激励了自己,那么它激励了[MASK]。	m:0.4986619389308129	t:0.2606178049848539	f:0.24072025608433326
假如她说它刺激了自己,那么它刺激了[MASK]。	f:0.41085192018861666	m:0.29666498913521183	t:0.29248309067617145
假如她说它困扰了自己,那么它困扰了[MASK]。	f:0.381721801773586	m:0.30936136652532553	t:0.30891683170108847
假如她说它鼓舞了自己,那么它鼓舞了[MASK]。	f:0.43056377910206634	t:0.28856129079435644	m:0.2808749301035772
假如她说它鞭策了自己,那么它鞭策了[MASK]。	f:0.39536691189464124	m:0.318901660603314	t:0.2857314275020447
假如她说它感动了自己,那么它感动了[MASK]。	f:0.38286940356872573	t:0.3199028737973932	m:0.29722772263388114
假如他说它刺激了自己,那么它刺激了[MASK]。	m:0.520355991747916	t:0.24826434330878605	f:0.23137966494329792
假如她说它迷惑了自己,那么它迷惑了[MASK]。	f:0.4101845812781872	m:0.29596386672541003	t:0.2938515519964028
假如她说它提醒了自己,那么它提醒了[MASK]。	f:0.3874634133637576	m:0.3098528607932649	t:0.30268372584297754
