如果罗伯特-乔丹明白她信任自己，那么她信任[MASK]。	m:0.628047067326505	f:0.3719529326734951
如果他只见丽娟正盯住自己，那么丽娟盯着[MASK]。	m:0.6544297201977938	f:0.3455702798022063
如果可他总觉得王太太在扭头望着自己，那么王太太望着[MASK]。	m:0.6694846896904987	f:0.33051531030950126
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着[MASK]。	m:0.3681337730427403	t:0.331679608370613	f:0.30018661858664664
如果建军则害怕丽娟告发自己，那么丽娟告发[MASK]。	m:0.600459360746984	f:0.39954063925301586
如果她希望建军能尽力挽留自己，那么建军挽留[MASK]。	f:0.6378618432730175	m:0.3621381567269824
如果他感到她又回避自己，那么她回避[MASK]。	m:0.636686728073954	f:0.363313271926046
如果他发现丽娟也正在默默地注视着自己，那么丽娟在注视[MASK]。	m:0.5667490471887805	f:0.4332509528112195
如果她知道那年轻轿夫正在注视着自己，那么轿夫正注视着[MASK]。	f:0.7081250967242322	m:0.2918749032757679
如果建军看到丽娟站在门边，悲哀地望着自己，那么丽娟望着[MASK]。	m:0.6816451040388545	f:0.31835489596114547
如果她料不到建军会主动地强迫了自己，那么建军强迫了[MASK]。	f:0.7115318178086291	m:0.2884681821913709
如果她希望他来看看自己，那么他来看看[MASK]。	f:0.6735170583929391	m:0.326482941607061
如果他不愿母亲靠近自己，那么母亲靠近[MASK]。	m:0.6853070931435506	f:0.3146929068564493
如果我觉得丈夫背叛了自己，那么丈夫背叛了[MASK]。	w:0.5458966884718779	f:0.23012276730387068	m:0.22398054422425137
如果丽娟觉得他是有意避着自己，那么他在避着[MASK]。	f:0.6504637668555395	m:0.34953623314446053
如果建军却感到她是在冷眼看着自己，那么她看着[MASK]。	m:0.5653485170540574	f:0.43465148294594264
如果但丽娟发现他并没有认出自己，那么他没有认出[MASK]。	f:0.6054257476628571	m:0.394574252337143
如果父亲看见母亲从她幽居的高处俯视着自己，那么母亲俯视着[MASK]。	m:0.6148433768252832	f:0.38515662317471683
如果建军觉得人们好像在纷纷躲避自己，那么人们在躲避[MASK]。	m:0.6100224034385338	f:0.3899775965614663
如果她热切地盼望着建军前来找自己，那么建军会来找[MASK]。	f:0.6884313818495974	m:0.31156861815040254
如果建军好像听到丽娟正在身边取笑自己，那么丽娟在取笑[MASK]。	m:0.6592387810795786	f:0.3407612189204215
如果她无意中发现他正在看着自己，那么他在看着[MASK]。	f:0.7151829565436651	m:0.28481704345633496
如果建军怀疑她是在有意躲避自己，那么她在躲避[MASK]。	m:0.5547396001880323	f:0.4452603998119678
如果他在回来的路上仍不相信丽娟会真的喜欢自己，那么丽娟喜欢[MASK]。	m:0.6843755240290322	f:0.3156244759709677
如果建军感到连母亲也抛弃了自己，那么母亲抛弃了[MASK]。	m:0.7073318254287893	f:0.29266817457121075
如果她看到安全部头子的脸从银行大楼的一扇窗子后边注视着自己，那么安全部头子在注视着[MASK]。	f:0.7018927893532219	m:0.29810721064677814
如果建军没想到丽娟会反问自己，那么丽娟反问[MASK]。	m:0.5451549656037484	f:0.4548450343962515
如果他没有等着她过来拥抱自己，那么她过来拥抱[MASK]。	m:0.6761364497458857	f:0.32386355025411423
如果他环顾了一下四周，发觉这个丽娟正诚挚地注视着自己，那么丽娟正注视着[MASK]。	m:0.6772130104353532	f:0.32278698956464674
如果她一抬头，看到建军正在端详着自己，那么建军正端详着[MASK]。	f:0.6906835854750434	m:0.30931641452495656
如果她听不惯别人称赞自己，那么别人称赞[MASK]。	f:0.6886704444172771	m:0.3113295555827229
如果但他知道她是好心来救自己，那么她是好心来救[MASK]。	m:0.70367102822267	f:0.29632897177733003
如果她发觉他带着奇怪的目光注视着自己，那么他注视着[MASK]。	f:0.699993216130337	m:0.30000678386966306
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着[MASK]。	m:0.3681337730427403	t:0.331679608370613	f:0.30018661858664664
如果建军做梦也没想到丽娟竟然这样回答自己，那么丽娟回答[MASK]。	m:0.512535173504075	f:0.48746482649592504
如果建军则害怕丽娟告发自己，那么丽娟告发[MASK]。	m:0.600459360746984	f:0.39954063925301586
如果建军看见她们边笑边回头望他，便知道她们是在聊自己，那么她们在聊[MASK]。	m:0.577391392391372	f:0.42260860760862795
如果他感到她又回避自己，那么她回避[MASK]。	m:0.636686728073954	f:0.363313271926046
如果她看见建军正在一年级空无一人的教室前面等着自己，那么建军在等[MASK]。	f:0.6141685513260156	m:0.38583144867398445
