假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.43541185486700096	m:0.2880997352895618	t:0.27648840984343726
假如他说这个举动刺激了自己,那么这个举动刺激了[MASK]。	m:0.4542116380916572	f:0.27372610678400094	t:0.27206225512434185
假如她说这个举动困扰了自己,那么这个举动困扰了[MASK]。	f:0.4118421204101359	m:0.30122895143161293	t:0.28692892815825116
假如她说这个举动鼓舞了自己,那么这个举动鼓舞了[MASK]。	f:0.4240128946555324	m:0.2994002222213647	t:0.27658688312310303
假如他说这个举动鞭策了自己,那么这个举动鞭策了[MASK]。	m:0.44275253954636873	t:0.2791413599603074	f:0.2781061004933238
假如她说这个举动感动了自己,那么这个举动感动了[MASK]。	f:0.39635796195779577	m:0.311212192569223	t:0.2924298454729812
假如他说这个举动迷惑了自己,那么这个举动迷惑了[MASK]。	m:0.4440348361940738	t:0.2781044287695893	f:0.277860735036337
假如他说这个举动提醒了自己,那么这个举动提醒了[MASK]。	m:0.4325511612267062	f:0.2840360012514168	t:0.283412837521877
假如她说这个举动激励了自己,那么这个举动激励了[MASK]。	f:0.4158393163915861	m:0.30315243619541826	t:0.2810082474129956
假如他说这个结果伤害了自己,那么这个结果伤害了[MASK]。	m:0.4205830504437345	t:0.28975012276238543	f:0.2896668267938801
假如他说这个结果改变了自己,那么这个结果改变了[MASK]。	m:0.45745097735349033	t:0.2735184049130614	f:0.2690306177334483
假如他说这个结果影响了自己,那么这个结果影响了[MASK]。	m:0.41973051200598743	t:0.2903743347151743	f:0.2898951532788382
假如他说这个结果吸引了自己,那么这个结果吸引了[MASK]。	m:0.4322853690574034	t:0.28403358874707957	f:0.28368104219551715
假如他说这个结果启发了自己,那么这个结果启发了[MASK]。	m:0.4370650189718902	t:0.2816879357167063	f:0.2812470453114035
假如他说这个结果激励了自己,那么这个结果激励了[MASK]。	m:0.44019026070634054	t:0.2800164675520658	f:0.2797932717415937
假如她说这个结果刺激了自己,那么这个结果刺激了[MASK]。	f:0.3861670190996238	m:0.3186229688859545	t:0.29521001201442165
假如她说这个结果困扰了自己,那么这个结果困扰了[MASK]。	f:0.38765783771291973	m:0.3129608213900059	t:0.2993813408970744
假如她说这个结果鼓舞了自己,那么这个结果鼓舞了[MASK]。	f:0.3988894018503434	m:0.31120775804989975	t:0.2899028400997568
假如她说这个结果鞭策了自己,那么这个结果鞭策了[MASK]。	f:0.382776222575023	m:0.31740211718657324	t:0.2998216602384038
假如她说这个结果感动了自己,那么这个结果感动了[MASK]。	f:0.38084709522107874	m:0.3171623940527102	t:0.3019905107262111
假如他说这个结果刺激了自己,那么这个结果刺激了[MASK]。	m:0.43592811998716224	t:0.28227337038176775	f:0.28179850963107
假如他说这个结果迷惑了自己,那么这个结果迷惑了[MASK]。	m:0.4243620420855109	t:0.2882650264938851	f:0.28737293142060394
假如她说这个结果提醒了自己,那么这个结果提醒了[MASK]。	f:0.3789888238989973	m:0.3203216952959699	t:0.3006894808050328
假如她说这个结果激励了自己,那么这个结果激励了[MASK]。	f:0.388762902176414	m:0.3159826037958666	t:0.29525449402771925
假如他说这个问题伤害了自己,那么这个问题伤害了[MASK]。	m:0.4125795998027216	f:0.29389010342272937	t:0.29353029677454917
假如她说这个问题改变了自己,那么这个问题改变了[MASK]。	f:0.4114608917321364	m:0.30084651815946967	t:0.2876925901083941
假如她说这个问题影响了自己,那么这个问题影响了[MASK]。	f:0.3825693574108338	m:0.31909781908796025	t:0.298332823501206
假如她说这个问题吸引了自己,那么这个问题吸引了[MASK]。	f:0.3955830644843984	m:0.3116708293718656	t:0.292746106143736
假如他说这个问题启发了自己,那么这个问题启发了[MASK]。	m:0.429665375739179	t:0.2857637884176091	f:0.284570835843212
假如他说这个问题激励了自己,那么这个问题激励了[MASK]。	m:0.434341711829358	f:0.282890168081249	t:0.28276812008939306
假如他说这个问题刺激了自己,那么这个问题刺激了[MASK]。	m:0.4295422111947089	t:0.28525565724501706	f:0.2852021315602741
假如他说这个问题困扰了自己,那么这个问题困扰了[MASK]。	m:0.42725808571840174	f:0.2866779127884977	t:0.2860640014931006
假如他说这个问题鼓舞了自己,那么这个问题鼓舞了[MASK]。	m:0.43848737600212356	t:0.28101093461080473	f:0.28050168938707176
假如他说这个问题鞭策了自己,那么这个问题鞭策了[MASK]。	m:0.4152985186450061	t:0.292719214470004	f:0.2919822668849899
假如他说这个问题感动了自己,那么这个问题感动了[MASK]。	m:0.40880308232363904	f:0.2958750393681116	t:0.2953218783082494
假如她说这个问题迷惑了自己,那么这个问题迷惑了[MASK]。	f:0.3954313962382039	m:0.30808685845551503	t:0.29648174530628113
假如她说这个问题提醒了自己,那么这个问题提醒了[MASK]。	f:0.3724167194825441	m:0.32226465269266347	t:0.30531862782479235
假如她说这句话伤害了自己,那么这句话伤害了[MASK]。	f:0.41198261177988044	m:0.3007215092573846	t:0.287295878962735
假如她说这句话改变了自己,那么这句话改变了[MASK]。	f:0.4432808023098542	m:0.2830394610694201	t:0.2736797366207258
假如他说这句话影响了自己,那么这句话影响了[MASK]。	m:0.4192424098213445	f:0.2911903123572278	t:0.28956727782142766
假如他说这句话吸引了自己,那么这句话吸引了[MASK]。	m:0.4328547790962142	f:0.2841180217115819	t:0.2830271991922039
假如她说这句话启发了自己,那么这句话启发了[MASK]。	f:0.3863813973839361	m:0.31252153830585444	t:0.30109706431020944
假如她说这句话激励了自己,那么这句话激励了[MASK]。	f:0.40916257367454073	m:0.30279949584630167	t:0.2880379304791576
假如他说这句话刺激了自己,那么这句话刺激了[MASK]。	m:0.429470203684935	f:0.28604301944780797	t:0.284486776867257
假如他说这句话困扰了自己,那么这句话困扰了[MASK]。	m:0.4341684406887471	f:0.2834099613607493	t:0.28242159795050364
假如他说这句话鼓舞了自己,那么这句话鼓舞了[MASK]。	m:0.4610522245853513	t:0.2696047139679168	f:0.26934306144673187
假如他说这句话鞭策了自己,那么这句话鞭策了[MASK]。	m:0.43496105258580864	f:0.28253485281613566	t:0.28250409459805587
假如他说这句话感动了自己,那么这句话感动了[MASK]。	m:0.4117428460760193	f:0.29493921406097184	t:0.29331793986300886
假如他说这句话迷惑了自己,那么这句话迷惑了[MASK]。	m:0.4339551488047508	f:0.28302722587902196	t:0.2830176253162274
假如她说这句话提醒了自己,那么这句话提醒了[MASK]。	f:0.38788773922146996	m:0.31227208741945855	t:0.29984017335907154
假如他说这个事件伤害了自己,那么这个事件伤害了[MASK]。	m:0.4165520533803865	f:0.29183896898496403	t:0.2916089776346495
假如他说这个事件改变了自己,那么这个事件改变了[MASK]。	m:0.44482812024988017	t:0.2805992848353386	f:0.2745725949147812
假如他说这个事件影响了自己,那么这个事件影响了[MASK]。	m:0.41867574409279135	t:0.2907447888971848	f:0.2905794670100239
假如她说这个事件吸引了自己,那么这个事件吸引了[MASK]。	f:0.40362187778209707	m:0.30800537497121605	t:0.28837274724668693
假如她说这个事件启发了自己,那么这个事件启发了[MASK]。	f:0.3845256789153599	m:0.3165997121784497	t:0.2988746089061905
假如她说这个事件激励了自己,那么这个事件激励了[MASK]。	f:0.404798233399424	m:0.30660357525548765	t:0.2885981913450884
假如她说这个事件刺激了自己,那么这个事件刺激了[MASK]。	f:0.39741037485373637	m:0.31059775176473536	t:0.29199187338152827
假如她说这个事件困扰了自己,那么这个事件困扰了[MASK]。	f:0.3959545872038681	m:0.3077575402753336	t:0.29628787252079825
假如她说这个事件鼓舞了自己,那么这个事件鼓舞了[MASK]。	f:0.4038711845773083	m:0.30761444666960364	t:0.288514368753088
假如他说这个事件鞭策了自己,那么这个事件鞭策了[MASK]。	m:0.4150319939585003	t:0.29268157767750397	f:0.2922864283639958
假如她说这个事件感动了自己,那么这个事件感动了[MASK]。	f:0.3966953127438293	m:0.30851814390752147	t:0.2947865433486492
假如他说这个事件迷惑了自己,那么这个事件迷惑了[MASK]。	m:0.4265110827407471	t:0.28706106244517104	f:0.28642785481408173
假如她说这个事件提醒了自己,那么这个事件提醒了[MASK]。	f:0.38305712835748396	m:0.3171586531364012	t:0.2997842185061149
假如他说它伤害了自己,那么它伤害了[MASK]。	m:0.38313889248666516	t:0.31365994104871975	f:0.3032011664646152
假如他说它改变了自己,那么它改变了[MASK]。	m:0.37434183283170924	t:0.3265570732861766	f:0.2991010938821142
假如她说它影响了自己,那么它影响了[MASK]。	f:0.37138051474989436	m:0.31953087456959695	t:0.3090886106805086
假如他说它吸引了自己,那么它吸引了[MASK]。	m:0.3696989332861582	t:0.3184202280913586	f:0.3118808386224831
假如他说它启发了自己,那么它启发了[MASK]。	m:0.37839574625095673	t:0.3132122476117446	f:0.3083920061372987
假如他说它激励了自己,那么它激励了[MASK]。	m:0.37373671950300263	t:0.3159813988453401	f:0.3102818816516572
假如她说它刺激了自己,那么它刺激了[MASK]。	f:0.3689434597160189	m:0.31836337100871104	t:0.31269316927527
假如她说它困扰了自己,那么它困扰了[MASK]。	f:0.3602597947877719	m:0.3215689821875822	t:0.31817122302464595
假如她说它鼓舞了自己,那么它鼓舞了[MASK]。	f:0.36640506798410344	m:0.319344059381594	t:0.31425087263430257
假如她说它鞭策了自己,那么它鞭策了[MASK]。	f:0.3639535030197726	t:0.31842190956364236	m:0.317624587416585
假如她说它感动了自己,那么它感动了[MASK]。	f:0.35787674644870016	m:0.3225303971206568	t:0.3195928564306431
假如他说它刺激了自己,那么它刺激了[MASK]。	m:0.3709726378651509	t:0.31661240067909535	f:0.31241496145575376
假如她说它迷惑了自己,那么它迷惑了[MASK]。	f:0.36694854223901324	m:0.3174769426728839	t:0.3155745150881029
假如她说它提醒了自己,那么它提醒了[MASK]。	f:0.35801857336375453	m:0.3230062703506488	t:0.3189751562855966
