假如她说他诬陷自己,那么他诬陷[MASK]。	f:0.6128716031150637	m:0.3871283968849364
假如她说他咬自己,那么他咬[MASK]。	f:0.6168544102205125	m:0.38314558977948754
假如她说他消灭自己,那么他消灭[MASK]。	f:0.5220857920225137	m:0.47791420797748624
假如她说他追赶自己,那么他追赶[MASK]。	f:0.574837189263935	m:0.42516281073606493
假如她说他追求自己,那么他追求[MASK]。	f:0.5401997233633358	m:0.4598002766366643
假如她说他阻挡自己,那么他阻挡[MASK]。	f:0.5250400387157061	m:0.4749599612842939
假如她说他孝敬自己,那么他孝敬[MASK]。	f:0.5625874147489982	m:0.4374125852510018
假如她说他赢自己,那么他赢[MASK]。	f:0.5047775279964498	m:0.49522247200355013
假如她说他招呼自己,那么他招呼[MASK]。	f:0.5921429895232059	m:0.40785701047679407
假如她说他指导自己,那么他指导[MASK]。	f:0.5894883176337292	m:0.41051168236627084
假如她说他支援自己,那么他支援[MASK]。	f:0.558699958573871	m:0.44130004142612894
假如她说他替换自己,那么他替换[MASK]。	f:0.6068041470206191	m:0.39319585297938087
假如她说他通知自己,那么他通知[MASK]。	f:0.6047770207631296	m:0.3952229792368704
假如她说他吸引自己,那么他吸引[MASK]。	f:0.6214498587784847	m:0.37855014122151537
假如她说他影响自己,那么他影响[MASK]。	f:0.599121498201788	m:0.40087850179821205
假如她说他杀害自己,那么他杀害[MASK]。	f:0.5924880053396552	m:0.4075119946603448
假如她说他赔偿自己,那么他赔偿[MASK]。	f:0.5767482568638478	m:0.4232517431361522
假如她说他衬托自己,那么他衬托[MASK]。	f:0.6291343224152028	m:0.3708656775847971
假如她说他扣留自己,那么他扣留[MASK]。	f:0.6124113602197787	m:0.38758863978022134
假如她说他恐吓自己,那么他恐吓[MASK]。	f:0.588301925885737	m:0.41169807411426307
假如她说他联络自己,那么他联络[MASK]。	f:0.6054055303365655	m:0.39459446966343453
假如她说他忍受自己,那么他忍受[MASK]。	f:0.5050014861604688	m:0.49499851383953125
假如她说他请示自己,那么他请示[MASK]。	f:0.5644821683264121	m:0.43551783167358793
假如她说他算计自己,那么他算计[MASK]。	f:0.5689108044693576	m:0.4310891955306424
