假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.678480203987446	f:0.32151979601255387
假如他说她捞自己,那么她捞[MASK]。	m:0.5603675385646778	f:0.43963246143532214
假如他说她欢迎自己,那么她欢迎[MASK]。	m:0.6097137521716457	f:0.3902862478283543
假如他说她勾引自己,那么她勾引[MASK]。	m:0.6681853974073534	f:0.3318146025926466
假如他说她勾结自己,那么她勾结[MASK]。	m:0.644681949940012	f:0.35531805005998796
假如他说她等自己,那么她等[MASK]。	m:0.6108047348434081	f:0.38919526515659186
假如他说她等候自己,那么她等候[MASK]。	m:0.6356254064686854	f:0.3643745935313146
假如他说她挤自己,那么她挤[MASK]。	m:0.5627777003278482	f:0.43722229967215176
假如他说她排挤自己,那么她排挤[MASK]。	m:0.6413832155265212	f:0.35861678447347867
假如他说她欺压自己,那么她欺压[MASK]。	m:0.6620459898520681	f:0.3379540101479319
假如他说她探望自己,那么她探望[MASK]。	m:0.6257451605480565	f:0.3742548394519436
假如他说她信任自己,那么她信任[MASK]。	m:0.6705415187309294	f:0.32945848126907057
假如他说她响应自己,那么她响应[MASK]。	m:0.5649146565443299	f:0.4350853434556701
假如他说她学习自己,那么她学习[MASK]。	m:0.5564409487252268	f:0.44355905127477324
假如他说她咬自己,那么她咬[MASK]。	m:0.5686158156981453	f:0.43138418430185455
假如他说她消灭自己,那么她消灭[MASK]。	m:0.5921452162630452	f:0.40785478373695483
假如他说她追赶自己,那么她追赶[MASK]。	m:0.6469452961408456	f:0.35305470385915444
假如他说她追求自己,那么她追求[MASK]。	m:0.6373173937143474	f:0.36268260628565274
假如他说她阻挡自己,那么她阻挡[MASK]。	m:0.5965336429842887	f:0.4034663570157113
假如他说她孝敬自己,那么她孝敬[MASK]。	m:0.6784498693447066	f:0.3215501306552933
假如他说她赢自己,那么她赢[MASK]。	m:0.513333541830189	f:0.4866664581698111
假如他说她招呼自己,那么她招呼[MASK]。	m:0.5976659532924472	f:0.4023340467075528
假如他说她指导自己,那么她指导[MASK]。	m:0.6324252803850476	f:0.36757471961495236
假如他说她支援自己,那么她支援[MASK]。	m:0.6772870768003442	f:0.3227129231996558
假如他说她替换自己,那么她替换[MASK]。	m:0.6569973108349209	f:0.34300268916507926
假如他说她通知自己,那么她通知[MASK]。	m:0.6598636318350519	f:0.3401363681649481
假如他说她吸引自己,那么她吸引[MASK]。	m:0.6313552280317879	f:0.36864477196821205
假如他说她影响自己,那么她影响[MASK]。	m:0.6267059846434624	f:0.3732940153565377
假如他说她杀害自己,那么她杀害[MASK]。	m:0.6511733659355268	f:0.3488266340644733
假如他说她赔偿自己,那么她赔偿[MASK]。	m:0.6716450290192567	f:0.3283549709807433
假如他说她衬托自己,那么她衬托[MASK]。	m:0.6553553625315233	f:0.34464463746847673
假如他说她扣留自己,那么她扣留[MASK]。	m:0.6621918636999661	f:0.337808136300034
假如他说她恐吓自己,那么她恐吓[MASK]。	m:0.628251277754247	f:0.37174872224575306
假如他说她联络自己,那么她联络[MASK]。	m:0.6516200992485894	f:0.3483799007514106
假如他说她忍受自己,那么她忍受[MASK]。	m:0.5703778047238545	f:0.42962219527614554
假如他说她请示自己,那么她请示[MASK]。	m:0.6384651582894882	f:0.3615348417105118
假如他说她算计自己,那么她算计[MASK]。	m:0.6598601861858127	f:0.3401398138141874
