如果她给他推荐自己的钱， 那么钱是关于[MASK]的。	f:0.5219659440394661	m:0.47803405596053394
如果她给他推荐自己的夫人， 那么夫人是关于[MASK]的。	m:0.5136364252290189	f:0.48636357477098113
如果她给他推荐自己的作品， 那么作品是关于[MASK]的。	f:0.521390371773179	m:0.4786096282268209
如果她给他推荐自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5604979186730829	m:0.4395020813269171
如果她给他推荐自己的车， 那么车是关于[MASK]的。	f:0.5348076374472804	m:0.4651923625527196
如果她给他推荐自己的烟， 那么烟是关于[MASK]的。	f:0.501366861484883	m:0.498633138515117
如果她给他推荐自己的老婆， 那么老婆是关于[MASK]的。	m:0.5316519478279548	f:0.4683480521720452
如果她给他描述自己的钱， 那么钱是关于[MASK]的。	f:0.5349207879257187	m:0.4650792120742812
如果她给他描述自己的情妇， 那么情妇是关于[MASK]的。	m:0.5780781159070978	f:0.42192188409290227
如果她给他描述自己的财产， 那么财产是关于[MASK]的。	f:0.5380953480735965	m:0.4619046519264035
如果她给他描述自己的印象， 那么印象是关于[MASK]的。	f:0.5364729711989054	m:0.4635270288010947
如果她给他描述自己的生命， 那么生命是关于[MASK]的。	f:0.5833464675248495	m:0.4166535324751505
如果她给他描述自己的目光， 那么目光是关于[MASK]的。	f:0.5186182415815184	m:0.4813817584184815
如果她给他描述自己的敌人， 那么敌人是关于[MASK]的。	f:0.6477134838688131	m:0.3522865161311869
如果她给他描述自己的事业， 那么事业是关于[MASK]的。	f:0.5740686802811508	m:0.42593131971884923
如果她给他描述自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.5561552396798219	m:0.443844760320178
如果她给他描述自己的球， 那么球是关于[MASK]的。	f:0.5466889568542542	m:0.4533110431457458
如果她给他描述自己的媳妇， 那么媳妇是关于[MASK]的。	m:0.5190365936857677	f:0.48096340631423234
如果她给他描述自己的床， 那么床是关于[MASK]的。	f:0.5589710451682705	m:0.4410289548317295
如果她给他描述自己的太太， 那么太太是关于[MASK]的。	m:0.5224881902529069	f:0.4775118097470931
如果她给他描述自己的家庭， 那么家庭是关于[MASK]的。	f:0.5594217643037913	m:0.4405782356962087
如果她给他描述自己的同伙， 那么同伙是关于[MASK]的。	f:0.5646578646152745	m:0.43534213538472555
如果她给他描述自己的妻子， 那么妻子是关于[MASK]的。	m:0.5962079804357105	f:0.40379201956428945
如果她给他描述自己的意见， 那么意见是关于[MASK]的。	f:0.5171441145053353	m:0.48285588549466485
如果她给他描述自己的女人， 那么女人是关于[MASK]的。	m:0.6269292071611734	f:0.3730707928388267
如果她给他描述自己的样子， 那么样子是关于[MASK]的。	f:0.5094262032414769	m:0.49057379675852314
如果她给他描述自己的夫人， 那么夫人是关于[MASK]的。	f:0.5300816446391602	m:0.4699183553608398
如果她给他描述自己的作品， 那么作品是关于[MASK]的。	f:0.549282295066748	m:0.4507177049332519
如果她给他描述自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5724054913236204	m:0.4275945086763796
如果她给他描述自己的车， 那么车是关于[MASK]的。	f:0.5517155807595587	m:0.44828441924044127
如果她给他描述自己的烟， 那么烟是关于[MASK]的。	f:0.5296558378519226	m:0.4703441621480775
如果她给他描述自己的老婆， 那么老婆是关于[MASK]的。	m:0.5120583409111825	f:0.4879416590888175
如果她给他介绍自己的钱， 那么钱是关于[MASK]的。	f:0.5253048820695168	m:0.47469511793048325
如果她给他介绍自己的情妇， 那么情妇是关于[MASK]的。	m:0.5877752605391514	f:0.4122247394608486
如果她给他介绍自己的财产， 那么财产是关于[MASK]的。	f:0.53327517598149	m:0.46672482401851
如果她给他介绍自己的印象， 那么印象是关于[MASK]的。	f:0.5485587110642289	m:0.451441288935771
如果她给他介绍自己的生命， 那么生命是关于[MASK]的。	f:0.5824515389073284	m:0.41754846109267163
如果她给他介绍自己的目光， 那么目光是关于[MASK]的。	f:0.5204878854954204	m:0.47951211450457965
如果她给他介绍自己的敌人， 那么敌人是关于[MASK]的。	f:0.6406011539038029	m:0.35939884609619716
如果她给他介绍自己的事业， 那么事业是关于[MASK]的。	f:0.5674872204161905	m:0.4325127795838095
如果她给他介绍自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.5484258288450832	m:0.4515741711549167
如果她给他介绍自己的球， 那么球是关于[MASK]的。	f:0.5551631817505224	m:0.44483681824947774
如果她给他介绍自己的媳妇， 那么媳妇是关于[MASK]的。	m:0.5319831800769972	f:0.4680168199230029
如果她给他介绍自己的床， 那么床是关于[MASK]的。	f:0.5579432343854002	m:0.4420567656145999
如果她给他介绍自己的太太， 那么太太是关于[MASK]的。	m:0.5300598154496132	f:0.4699401845503868
如果她给他介绍自己的家庭， 那么家庭是关于[MASK]的。	f:0.5769812119024614	m:0.4230187880975387
如果她给他介绍自己的同伙， 那么同伙是关于[MASK]的。	f:0.5617730219909646	m:0.4382269780090355
如果她给他介绍自己的妻子， 那么妻子是关于[MASK]的。	m:0.6338796258354926	f:0.36612037416450743
如果她给他介绍自己的意见， 那么意见是关于[MASK]的。	f:0.5114647503109264	m:0.4885352496890735
如果她给他介绍自己的女人， 那么女人是关于[MASK]的。	m:0.6414597001224178	f:0.3585402998775822
如果她给他介绍自己的样子， 那么样子是关于[MASK]的。	f:0.5224179279660518	m:0.47758207203394815
如果她给他介绍自己的夫人， 那么夫人是关于[MASK]的。	m:0.5058848449994747	f:0.49411515500052516
如果她给他介绍自己的作品， 那么作品是关于[MASK]的。	f:0.5467050131343091	m:0.4532949868656909
如果她给他介绍自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.577576688679093	m:0.4224233113209071
如果她给他介绍自己的车， 那么车是关于[MASK]的。	f:0.5477810481410257	m:0.45221895185897437
如果她给他介绍自己的烟， 那么烟是关于[MASK]的。	f:0.5252831448926645	m:0.4747168551073356
如果她给他介绍自己的老婆， 那么老婆是关于[MASK]的。	m:0.5327365022408044	f:0.4672634977591956
如果她给他看自己的钱， 那么钱是关于[MASK]的。	m:0.5154972341591078	f:0.48450276584089225
如果她给他看自己的情妇， 那么情妇是关于[MASK]的。	m:0.5812495908980263	f:0.4187504091019737
如果她给他看自己的财产， 那么财产是关于[MASK]的。	m:0.516149638302662	f:0.4838503616973379
如果她给他看自己的印象， 那么印象是关于[MASK]的。	f:0.5047516882371031	m:0.4952483117628969
如果她给他看自己的生命， 那么生命是关于[MASK]的。	f:0.5606461088780488	m:0.4393538911219512
如果她给他看自己的目光， 那么目光是关于[MASK]的。	m:0.5206673188687369	f:0.47933268113126304
如果她给他看自己的敌人， 那么敌人是关于[MASK]的。	f:0.642132968601863	m:0.35786703139813697
如果她给他看自己的事业， 那么事业是关于[MASK]的。	f:0.5526950712069894	m:0.44730492879301065
如果她给他看自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.5258824536347714	m:0.4741175463652287
如果她给他看自己的球， 那么球是关于[MASK]的。	f:0.5338670704766582	m:0.4661329295233419
如果她给他看自己的媳妇， 那么媳妇是关于[MASK]的。	m:0.5315308249203287	f:0.4684691750796714
如果她给他看自己的床， 那么床是关于[MASK]的。	f:0.5315475851033513	m:0.4684524148966486
如果她给他看自己的太太， 那么太太是关于[MASK]的。	m:0.5648243403924134	f:0.43517565960758664
如果她给他看自己的家庭， 那么家庭是关于[MASK]的。	f:0.5405819457807431	m:0.4594180542192568
如果她给他看自己的同伙， 那么同伙是关于[MASK]的。	f:0.5648813343855341	m:0.4351186656144658
如果她给他看自己的妻子， 那么妻子是关于[MASK]的。	m:0.6265043537094165	f:0.3734956462905835
如果她给他看自己的意见， 那么意见是关于[MASK]的。	m:0.5080876373861861	f:0.491912362613814
如果她给他看自己的女人， 那么女人是关于[MASK]的。	m:0.6505063156146924	f:0.34949368438530765
如果她给他看自己的样子， 那么样子是关于[MASK]的。	m:0.5233643614286936	f:0.47663563857130653
如果她给他看自己的夫人， 那么夫人是关于[MASK]的。	m:0.5125590515387684	f:0.4874409484612317
如果她给他看自己的作品， 那么作品是关于[MASK]的。	f:0.5092999043260886	m:0.4907000956739114
如果她给他看自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5536400502358259	m:0.4463599497641741
如果她给他看自己的车， 那么车是关于[MASK]的。	f:0.5266531877228573	m:0.47334681227714265
如果她给他看自己的烟， 那么烟是关于[MASK]的。	m:0.5166375285785042	f:0.4833624714214958
如果她给他看自己的老婆， 那么老婆是关于[MASK]的。	m:0.5518397951888744	f:0.4481602048111256
如果她给他展示自己的钱， 那么钱是关于[MASK]的。	f:0.5097170008219726	m:0.49028299917802737
如果她给他展示自己的情妇， 那么情妇是关于[MASK]的。	m:0.5679317073934415	f:0.4320682926065586
如果她给他展示自己的财产， 那么财产是关于[MASK]的。	f:0.5209103011110073	m:0.4790896988889927
如果她给他展示自己的印象， 那么印象是关于[MASK]的。	f:0.5356397439381578	m:0.4643602560618421
如果她给他展示自己的生命， 那么生命是关于[MASK]的。	f:0.5767974026108621	m:0.4232025973891378
如果她给他展示自己的目光， 那么目光是关于[MASK]的。	m:0.5027976563671174	f:0.4972023436328826
如果她给他展示自己的敌人， 那么敌人是关于[MASK]的。	f:0.6485762056108939	m:0.351423794389106
如果她给他展示自己的事业， 那么事业是关于[MASK]的。	f:0.561619004394976	m:0.4383809956050239
如果她给他展示自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.5459170668624589	m:0.4540829331375412
如果她给他展示自己的球， 那么球是关于[MASK]的。	f:0.5516774988345958	m:0.44832250116540423
如果她给他展示自己的媳妇， 那么媳妇是关于[MASK]的。	m:0.5169632276427594	f:0.48303677235724074
如果她给他展示自己的床， 那么床是关于[MASK]的。	f:0.562204826203857	m:0.4377951737961429
如果她给他展示自己的太太， 那么太太是关于[MASK]的。	m:0.5276525951564325	f:0.47234740484356763
如果她给他展示自己的家庭， 那么家庭是关于[MASK]的。	f:0.5686522496993907	m:0.43134775030060934
如果她给他展示自己的同伙， 那么同伙是关于[MASK]的。	f:0.5674235911225753	m:0.4325764088774246
如果她给他展示自己的妻子， 那么妻子是关于[MASK]的。	m:0.6005267261724998	f:0.3994732738275002
如果她给他展示自己的意见， 那么意见是关于[MASK]的。	f:0.5015027775813304	m:0.49849722241866956
如果她给他展示自己的女人， 那么女人是关于[MASK]的。	m:0.704385331230924	f:0.295614668769076
如果她给他展示自己的样子， 那么样子是关于[MASK]的。	f:0.5022561583277547	m:0.4977438416722453
如果她给他展示自己的夫人， 那么夫人是关于[MASK]的。	f:0.521212086901689	m:0.4787879130983111
如果她给他展示自己的作品， 那么作品是关于[MASK]的。	f:0.528756996640419	m:0.4712430033595811
如果她给他展示自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5701737021848327	m:0.4298262978151674
如果她给他展示自己的车， 那么车是关于[MASK]的。	f:0.5417171379903013	m:0.45828286200969875
如果她给他展示自己的烟， 那么烟是关于[MASK]的。	f:0.5126811706626488	m:0.48731882933735116
如果她给他展示自己的老婆， 那么老婆是关于[MASK]的。	m:0.523446900235568	f:0.47655309976443216
