不管他是否原谅[MASK]自己.	m:0.5821651798201353	f:0.41783482017986473
“我打算让[MASK]自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，另一方	m:0.7065570087603382	f:0.2934429912396617
王琦瑶让[MASK]自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的消息。	m:0.7057378787249442	f:0.2942621212750557
使善的事物成为[MASK]自己的。	m:0.5659492726421842	f:0.4340507273578158
有时候他会好气[MASK]自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什么的。	m:0.5264619176265097	f:0.4735380823734903
“没有一分钟留给[MASK]自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多少……	m:0.5814937547474607	f:0.4185062452525393
通过使美的东西成为[MASK]自己的，他将得到什么呢？	m:0.717544721161273	f:0.282455278838727
不过，这三天假日是属于[MASK]自己的，他要干自己想干的事。	m:0.7270742543611672	f:0.27292574563883265
让他捡，如果他拿[MASK]自己的，而且心满意足，你就把另外两把全赠给他。	m:0.5000733043038258	f:0.49992669569617415
他应该写[MASK]自己而不是克里斯塔尔……我辜负了他。	m:0.6499705917430213	f:0.35002940825697865
去年5月8日的下午，蒙蒂教授曾记载[MASK]自己要在多尼咖啡店与罗伯特?莱布朗会面。	m:0.5056680032049299	f:0.49433199679507017
你让[MASK]自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们——因	m:0.7281272584379944	f:0.27187274156200564
有时他会把玩[MASK]自己送给我作礼物的蒙古墨水瓶。	m:0.6205240602192333	f:0.37947593978076666
这让[MASK]自己都觉得不好意思了。	m:0.5225271726306924	f:0.4774728273693077
他恨[MASK]自己！	m:0.5225747240308961	f:0.4774252759691039
他只想到[MASK]自己！	m:0.5122983902299615	f:0.48770160977003846
他问[MASK]自己，“怎么！	m:0.6681208332107508	f:0.33187916678924917
“由于贫困，”陀思妥耶夫斯基说[MASK]自己，“我被迫为金钱而匆忙写作，所以接二连三地失败。”	m:0.5061580277035703	f:0.4938419722964297
他问[MASK]自己，“说到头来，这是我的，我的……	m:0.5940041706491839	f:0.40599582935081613
有保留在他印象中的完全，对于美人迟[MASK]自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫，把自	f:0.5000035832395041	m:0.49999641676049583
他恨[MASK]自己，什么本事也没有，连点力气都没有，到底是干什么的呢？	m:0.5187326878062651	f:0.48126731219373486
振保突然提醒[MASK]自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人睡觉。	m:0.5220529562177997	f:0.47794704378220026
同时，他更相信[MASK]自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人，好运	m:0.587430966890182	f:0.4125690331098179
“他到处炫示[MASK]自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂得什么	m:0.6866767478501168	f:0.3133232521498832
陪审员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起[MASK]自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里汲取生	m:0.6010767275512863	f:0.3989232724487138
他问[MASK]自己，但是他没法回答。	m:0.6046777867621966	f:0.39532221323780325
这也怪[MASK]自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这根弦。	m:0.7217048416984695	f:0.27829515830153045
这要怨[MASK]自己，小狮子不平地说，我们的满腹苦水对谁诉?办理结婚登记手续	m:0.5168751570348642	f:0.4831248429651358
我父亲不爱谈[MASK]自己，我们也不问。	m:0.571898617514904	f:0.42810138248509605
听到大师兄这么贬低[MASK]自己，楚玄玄自然大感不满。	m:0.5104199432558245	f:0.48958005674417543
他问[MASK]自己，脑子里一片混乱。	m:0.5390010481798722	f:0.46099895182012773
阿希礼用语言来禁闭[MASK]自己，这禁闭比任何监狱都牢固。	m:0.7005350314180545	f:0.2994649685819455
克雷默尔立刻述说[MASK]自己，述说关于他自己的一切。	m:0.5925985254021251	f:0.4074014745978749
但是，一个作者只能写[MASK]自己，难道不是真的吗？	m:0.6601307786564744	f:0.33986922134352554
他说[MASK]自己：“我这人我问他一天能卖多少钱。	m:0.621876280358419	f:0.37812371964158104
太对不起他的母亲，也太对不起他的夫人了，可是他尤其对不起[MASK]自己；他所失去的这位妻子，她的美貌足以使人间粉黛一齐失色，	m:0.7108734713153652	f:0.2891265286846349
