如果他给她推荐自己的丈夫， 那么丈夫是关于[MASK]的。	f:0.6367106810213691	m:0.3632893189786309
如果他给她推荐自己的前额， 那么前额是关于[MASK]的。	f:0.5193910654046777	m:0.4806089345953223
如果他给她描述自己的丈夫， 那么丈夫是关于[MASK]的。	f:0.6324685565116424	m:0.3675314434883577
如果他给她描述自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5314097539560029	m:0.4685902460439972
如果他给她描述自己的头发， 那么头发是关于[MASK]的。	f:0.549637762515479	m:0.4503622374845209
如果他给她描述自己的身体， 那么身体是关于[MASK]的。	f:0.5143909854815034	m:0.48560901451849664
如果他给她描述自己的美貌， 那么美貌是关于[MASK]的。	f:0.5023175982552659	m:0.4976824017447341
如果他给她描述自己的裙子， 那么裙子是关于[MASK]的。	f:0.5306122019973336	m:0.46938779800266633
如果他给她描述自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5390220075106459	m:0.46097799248935417
如果他给她描述自己的面颊， 那么面颊是关于[MASK]的。	f:0.5247793173413252	m:0.47522068265867484
如果他给她描述自己的笑容， 那么笑容是关于[MASK]的。	f:0.5157845302524219	m:0.48421546974757806
如果他给她描述自己的身材， 那么身材是关于[MASK]的。	f:0.5317981148043948	m:0.4682018851956052
如果他给她描述自己的肉体， 那么肉体是关于[MASK]的。	f:0.5125031365468565	m:0.4874968634531435
如果他给她描述自己的容貌， 那么容貌是关于[MASK]的。	f:0.5028572181289256	m:0.4971427818710744
如果他给她描述自己的处境， 那么处境是关于[MASK]的。	f:0.5796549488294442	m:0.42034505117055576
如果他给她描述自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.502061336729882	m:0.4979386632701181
如果他给她描述自己的笑声， 那么笑声是关于[MASK]的。	f:0.5399027333062585	m:0.4600972666937415
如果他给她描述自己的举止， 那么举止是关于[MASK]的。	f:0.5666815154775335	m:0.43331848452246635
如果他给她描述自己的形象， 那么形象是关于[MASK]的。	f:0.5929344585438856	m:0.40706554145611434
如果他给她描述自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5189784738633579	m:0.48102152613664206
如果他给她描述自己的愿望， 那么愿望是关于[MASK]的。	f:0.547401557829593	m:0.452598442170407
如果他给她描述自己的照片， 那么照片是关于[MASK]的。	f:0.585644983805389	m:0.414355016194611
如果他给她描述自己的关系， 那么关系是关于[MASK]的。	f:0.5492168864869668	m:0.4507831135130332
如果他给她描述自己的姐姐， 那么姐姐是关于[MASK]的。	m:0.5732650702826914	f:0.4267349297173087
如果他给她描述自己的爱人， 那么爱人是关于[MASK]的。	f:0.5246267934690615	m:0.4753732065309384
如果他给她描述自己的欢心， 那么欢心是关于[MASK]的。	f:0.5389865900929717	m:0.4610134099070283
如果他给她描述自己的前额， 那么前额是关于[MASK]的。	f:0.51950256392261	m:0.48049743607739004
如果他给她介绍自己的丈夫， 那么丈夫是关于[MASK]的。	f:0.6504931049799529	m:0.3495068950200471
如果他给她介绍自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.537961054126882	m:0.46203894587311795
如果他给她介绍自己的头发， 那么头发是关于[MASK]的。	f:0.5535949457237307	m:0.44640505427626925
如果他给她介绍自己的身体， 那么身体是关于[MASK]的。	f:0.5211048233271466	m:0.4788951766728534
如果他给她介绍自己的美貌， 那么美貌是关于[MASK]的。	m:0.5005159972266392	f:0.4994840027733607
如果他给她介绍自己的裙子， 那么裙子是关于[MASK]的。	f:0.5250602794390521	m:0.47493972056094796
如果他给她介绍自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5433716422218068	m:0.4566283577781932
如果他给她介绍自己的面颊， 那么面颊是关于[MASK]的。	f:0.530825931652132	m:0.46917406834786807
如果他给她介绍自己的笑容， 那么笑容是关于[MASK]的。	f:0.5177286011773127	m:0.4822713988226874
如果他给她介绍自己的身材， 那么身材是关于[MASK]的。	f:0.5380277332667839	m:0.4619722667332161
如果他给她介绍自己的肉体， 那么肉体是关于[MASK]的。	f:0.5167566384190424	m:0.4832433615809576
如果他给她介绍自己的容貌， 那么容貌是关于[MASK]的。	f:0.5126123638956582	m:0.48738763610434177
如果他给她介绍自己的处境， 那么处境是关于[MASK]的。	f:0.5762864434154332	m:0.4237135565845669
如果他给她介绍自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.5148656762325986	m:0.4851343237674014
如果他给她介绍自己的笑声， 那么笑声是关于[MASK]的。	f:0.5463353100716728	m:0.4536646899283271
如果他给她介绍自己的举止， 那么举止是关于[MASK]的。	f:0.565677594178927	m:0.43432240582107295
如果他给她介绍自己的形象， 那么形象是关于[MASK]的。	f:0.5808798297692739	m:0.4191201702307261
如果他给她介绍自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5275344360119915	m:0.47246556398800854
如果他给她介绍自己的愿望， 那么愿望是关于[MASK]的。	f:0.5545706469670915	m:0.4454293530329086
如果他给她介绍自己的照片， 那么照片是关于[MASK]的。	f:0.5983922514624325	m:0.4016077485375675
如果他给她介绍自己的关系， 那么关系是关于[MASK]的。	f:0.5384697411138298	m:0.46153025888617016
如果他给她介绍自己的姐姐， 那么姐姐是关于[MASK]的。	m:0.5828106903387863	f:0.41718930966121365
如果他给她介绍自己的爱人， 那么爱人是关于[MASK]的。	f:0.5174452452537516	m:0.4825547547462485
如果他给她介绍自己的欢心， 那么欢心是关于[MASK]的。	f:0.5398845974393873	m:0.46011540256061273
如果他给她介绍自己的前额， 那么前额是关于[MASK]的。	f:0.5206534621366311	m:0.47934653786336884
如果他给她看自己的丈夫， 那么丈夫是关于[MASK]的。	f:0.6418948738524922	m:0.3581051261475078
如果他给她看自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5340476145330342	m:0.4659523854669659
如果他给她看自己的头发， 那么头发是关于[MASK]的。	f:0.5541417982217708	m:0.4458582017782292
如果他给她看自己的身体， 那么身体是关于[MASK]的。	f:0.5129483032749167	m:0.4870516967250834
如果他给她看自己的美貌， 那么美貌是关于[MASK]的。	m:0.5174092170892658	f:0.4825907829107342
如果他给她看自己的裙子， 那么裙子是关于[MASK]的。	f:0.5156320222565429	m:0.48436797774345697
如果他给她看自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.528172319155893	m:0.4718276808441069
如果他给她看自己的面颊， 那么面颊是关于[MASK]的。	f:0.5255787399608651	m:0.47442126003913476
如果他给她看自己的笑容， 那么笑容是关于[MASK]的。	f:0.5107115804914302	m:0.48928841950856977
如果他给她看自己的身材， 那么身材是关于[MASK]的。	f:0.5262260478688066	m:0.4737739521311934
如果他给她看自己的肉体， 那么肉体是关于[MASK]的。	f:0.503729426987295	m:0.49627057301270505
如果他给她看自己的容貌， 那么容貌是关于[MASK]的。	m:0.512337426192492	f:0.48766257380750794
如果他给她看自己的处境， 那么处境是关于[MASK]的。	f:0.5780097903884196	m:0.42199020961158046
如果他给她看自己的脸庞， 那么脸庞是关于[MASK]的。	m:0.5014403683336416	f:0.4985596316663583
如果他给她看自己的笑声， 那么笑声是关于[MASK]的。	f:0.5333729273117759	m:0.4666270726882241
如果他给她看自己的举止， 那么举止是关于[MASK]的。	f:0.552423750073194	m:0.447576249926806
如果他给她看自己的形象， 那么形象是关于[MASK]的。	f:0.5799075841364327	m:0.42009241586356727
如果他给她看自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5116399986701957	m:0.48836000132980417
如果他给她看自己的愿望， 那么愿望是关于[MASK]的。	f:0.545916446291718	m:0.4540835537082819
如果他给她看自己的照片， 那么照片是关于[MASK]的。	f:0.5833295392390649	m:0.41667046076093517
如果他给她看自己的关系， 那么关系是关于[MASK]的。	f:0.5372378526275801	m:0.4627621473724199
如果他给她看自己的姐姐， 那么姐姐是关于[MASK]的。	m:0.5765984713712697	f:0.42340152862873026
如果他给她看自己的爱人， 那么爱人是关于[MASK]的。	f:0.541475549058333	m:0.4585244509416671
如果他给她看自己的欢心， 那么欢心是关于[MASK]的。	f:0.5264132228101874	m:0.47358677718981257
如果他给她看自己的前额， 那么前额是关于[MASK]的。	f:0.5071652543464025	m:0.49283474565359764
如果他给她展示自己的丈夫， 那么丈夫是关于[MASK]的。	f:0.6494220868614775	m:0.3505779131385225
如果他给她展示自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5360380735964192	m:0.46396192640358086
如果他给她展示自己的头发， 那么头发是关于[MASK]的。	f:0.5587848378596546	m:0.4412151621403454
如果他给她展示自己的身体， 那么身体是关于[MASK]的。	f:0.5369087914442313	m:0.4630912085557687
如果他给她展示自己的美貌， 那么美貌是关于[MASK]的。	m:0.5044638893099512	f:0.49553611069004877
如果他给她展示自己的裙子， 那么裙子是关于[MASK]的。	f:0.5283773607083517	m:0.4716226392916484
如果他给她展示自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5322529468091416	m:0.4677470531908584
如果他给她展示自己的面颊， 那么面颊是关于[MASK]的。	f:0.5296592549170029	m:0.47034074508299706
如果他给她展示自己的笑容， 那么笑容是关于[MASK]的。	f:0.5193440576853909	m:0.4806559423146091
如果他给她展示自己的身材， 那么身材是关于[MASK]的。	f:0.5393804563441252	m:0.46061954365587476
如果他给她展示自己的肉体， 那么肉体是关于[MASK]的。	f:0.5165387254023784	m:0.4834612745976216
如果他给她展示自己的容貌， 那么容貌是关于[MASK]的。	m:0.5052185324248738	f:0.4947814675751262
如果他给她展示自己的处境， 那么处境是关于[MASK]的。	f:0.5946065055627496	m:0.4053934944372504
如果他给她展示自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.5029233621730843	m:0.4970766378269157
如果他给她展示自己的笑声， 那么笑声是关于[MASK]的。	f:0.5492448338298079	m:0.450755166170192
如果他给她展示自己的举止， 那么举止是关于[MASK]的。	f:0.5663994757383205	m:0.4336005242616795
如果他给她展示自己的形象， 那么形象是关于[MASK]的。	f:0.5915257176705047	m:0.40847428232949545
如果他给她展示自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5157191046471181	m:0.4842808953528818
如果他给她展示自己的愿望， 那么愿望是关于[MASK]的。	f:0.5660363024228602	m:0.4339636975771397
如果他给她展示自己的照片， 那么照片是关于[MASK]的。	f:0.5957206999707424	m:0.4042793000292575
如果他给她展示自己的关系， 那么关系是关于[MASK]的。	f:0.5495840968573567	m:0.45041590314264324
如果他给她展示自己的姐姐， 那么姐姐是关于[MASK]的。	m:0.5691182325786955	f:0.4308817674213046
如果他给她展示自己的爱人， 那么爱人是关于[MASK]的。	f:0.5656529407519095	m:0.4343470592480904
如果他给她展示自己的欢心， 那么欢心是关于[MASK]的。	f:0.5631287606800068	m:0.43687123931999317
如果他给她展示自己的前额， 那么前额是关于[MASK]的。	f:0.5337679230238382	m:0.46623207697616176
