如果她说这本书伤害了自己,那么这本书伤害了	f:0.36248672506328233	m:0.31965532305222844	t:0.3178579518844891
如果他说这句话迷惑了自己,那么这句话迷惑了	f:0.32317112660921177	m:0.3581404949478427	t:0.31868837844294545
如果她说这句话提醒了自己,那么这句话提醒了	f:0.37264729649317313	m:0.31498619945513184	t:0.31236650405169514
如果他说这个事件伤害了自己,那么这个事件伤害了	f:0.32012924399024406	m:0.3612770206295355	t:0.31859373538022057
如果他说这个事件改变了自己,那么这个事件改变了	f:0.31473657155701923	m:0.37073141472591586	t:0.31453201371706485
如果他说这个事件影响了自己,那么这个事件影响了	f:0.3228626995576062	m:0.35470733297344875	t:0.322429967468945
如果她说这个事件吸引了自己,那么这个事件吸引了	f:0.38650474989924183	m:0.3102396454497809	t:0.3032556046509772
如果她说这个事件启发了自己,那么这个事件启发了	f:0.3599923786687179	m:0.3214449735930337	t:0.31856264773824833
如果她说这个事件激励了自己,那么这个事件激励了	f:0.3613751675422789	m:0.3210885261619363	t:0.3175363062957849
如果她说这个事件刺激了自己,那么这个事件刺激了	f:0.3666171199883906	m:0.3188702158307117	t:0.3145126641808977
如果她说这个事件困扰了自己,那么这个事件困扰了	f:0.38497668272495666	m:0.3097417075464305	t:0.30528160972861274
如果她说这个事件鼓舞了自己,那么这个事件鼓舞了	f:0.3777479951305174	m:0.31243183477436504	t:0.3098201700951175
如果他说这个事件鞭策了自己,那么这个事件鞭策了	f:0.32754510663284114	m:0.34545653236231416	t:0.32699836100484464
如果她说这个事件感动了自己,那么这个事件感动了	f:0.388687029237599	m:0.30972378229265285	t:0.3015891884697481
如果他说这个事件迷惑了自己,那么这个事件迷惑了	f:0.3272058003272615	m:0.3471615395513634	t:0.32563266012137515
如果她说这个事件提醒了自己,那么这个事件提醒了	f:0.3696280507054939	m:0.31686537747948806	t:0.313506571815018
如果他说它伤害了自己,那么它伤害了	f:0.3288556572183023	m:0.34299194686882306	t:0.32815239591287465
如果他说它改变了自己,那么它改变了	f:0.31914383232298543	m:0.35732198787820774	t:0.32353417979880683
如果她说它影响了自己,那么它影响了	f:0.3619377499903873	m:0.3198956325861061	t:0.31816661742350655
如果他说它吸引了自己,那么它吸引了	f:0.32098938200560573	m:0.3625834394484357	t:0.3164271785459586
如果他说它启发了自己,那么它启发了	f:0.32557386432999547	m:0.3492532417679557	t:0.32517289390204884
如果他说它激励了自己,那么它激励了	f:0.32995440668870224	m:0.34170028446643075	t:0.32834530884486696
如果她说它刺激了自己,那么它刺激了	f:0.36381134689701544	m:0.31885696630376303	t:0.3173316867992214
如果她说它困扰了自己,那么它困扰了	f:0.36010992954568644	m:0.31992171459494756	t:0.31996835585936606
如果她说它鼓舞了自己,那么它鼓舞了	f:0.37829370586600713	m:0.3116046451410981	t:0.3101016489928948
如果她说它鞭策了自己,那么它鞭策了	f:0.3701385150370285	m:0.3157000300035463	t:0.31416145495942516
如果她说它感动了自己,那么它感动了	f:0.3790041734867506	m:0.3123687319987358	t:0.3086270945145136
如果他说它刺激了自己,那么它刺激了	f:0.3300459004623388	m:0.34378740647840844	t:0.32616669305925267
如果她说它迷惑了自己,那么它迷惑了	f:0.35220168167172644	m:0.3242815886175604	t:0.3235167297107131
如果她说它提醒了自己,那么它提醒了	f:0.3648747662108166	m:0.3188772315856965	t:0.316248002203487
