如果他给她推荐自己的丈夫， 那么丈夫是关于[MASK]的。	m:0.5000002991462225	f:0.49999970085377754
如果他给她描述自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.5000014329079931	m:0.49999856709200685
如果他给她描述自己的笑声， 那么笑声是关于[MASK]的。	f:0.5000005188041996	m:0.4999994811958004
如果他给她描述自己的举止， 那么举止是关于[MASK]的。	f:0.500000947429271	m:0.49999905257072896
如果他给她描述自己的形象， 那么形象是关于[MASK]的。	f:0.5000000520303729	m:0.49999994796962705
如果他给她描述自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5000012172786228	m:0.4999987827213772
如果他给她描述自己的愿望， 那么愿望是关于[MASK]的。	m:0.5000006353441222	f:0.4999993646558778
如果他给她描述自己的照片， 那么照片是关于[MASK]的。	f:0.5000005951283129	m:0.49999940487168715
如果他给她描述自己的关系， 那么关系是关于[MASK]的。	f:0.5000002371782557	m:0.4999997628217443
如果他给她描述自己的姐姐， 那么姐姐是关于[MASK]的。	f:0.5000006911650416	m:0.49999930883495836
如果他给她描述自己的爱人， 那么爱人是关于[MASK]的。	m:0.5000000402781097	f:0.4999999597218903
如果他给她描述自己的欢心， 那么欢心是关于[MASK]的。	m:0.5000000380059646	f:0.4999999619940354
如果他给她描述自己的前额， 那么前额是关于[MASK]的。	f:0.5000021520077098	m:0.4999978479922902
如果他给她介绍自己的丈夫， 那么丈夫是关于[MASK]的。	m:0.5000000262239155	f:0.4999999737760845
如果他给她介绍自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5000021105206542	m:0.4999978894793458
如果他给她介绍自己的头发， 那么头发是关于[MASK]的。	f:0.50000228290628	m:0.49999771709372
如果他给她介绍自己的身体， 那么身体是关于[MASK]的。	f:0.5000008376359801	m:0.49999916236401987
如果他给她介绍自己的美貌， 那么美貌是关于[MASK]的。	m:0.5000003142497462	f:0.4999996857502538
如果他给她介绍自己的裙子， 那么裙子是关于[MASK]的。	f:0.500001528702569	m:0.499998471297431
如果他给她介绍自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5000031825841234	m:0.4999968174158767
如果他给她介绍自己的面颊， 那么面颊是关于[MASK]的。	f:0.5000025132339943	m:0.49999748676600575
如果他给她介绍自己的笑容， 那么笑容是关于[MASK]的。	f:0.5000010806829778	m:0.49999891931702223
如果他给她介绍自己的身材， 那么身材是关于[MASK]的。	f:0.500000498010877	m:0.49999950198912296
如果他给她介绍自己的肉体， 那么肉体是关于[MASK]的。	f:0.5000006174082046	m:0.49999938259179544
如果他给她介绍自己的容貌， 那么容貌是关于[MASK]的。	m:0.5000000662885213	f:0.4999999337114787
如果他给她介绍自己的处境， 那么处境是关于[MASK]的。	f:0.5000001550424713	m:0.4999998449575287
如果他给她介绍自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.5000019778046862	m:0.49999802219531375
如果他给她介绍自己的笑声， 那么笑声是关于[MASK]的。	f:0.5000011114921108	m:0.49999888850788926
如果他给她介绍自己的举止， 那么举止是关于[MASK]的。	f:0.5000015469759092	m:0.49999845302409085
如果他给她介绍自己的形象， 那么形象是关于[MASK]的。	f:0.5000007293483577	m:0.4999992706516423
如果他给她介绍自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.50000143621196	m:0.49999856378804
如果他给她介绍自己的愿望， 那么愿望是关于[MASK]的。	f:0.5000000637542144	m:0.4999999362457857
如果他给她介绍自己的照片， 那么照片是关于[MASK]的。	f:0.5000010406929505	m:0.4999989593070495
如果他给她介绍自己的关系， 那么关系是关于[MASK]的。	f:0.5000005132815204	m:0.4999994867184796
如果他给她介绍自己的姐姐， 那么姐姐是关于[MASK]的。	f:0.5000009242705801	m:0.49999907572942
如果他给她介绍自己的爱人， 那么爱人是关于[MASK]的。	f:0.500000406252866	m:0.499999593747134
如果他给她介绍自己的欢心， 那么欢心是关于[MASK]的。	f:0.5000005671531653	m:0.4999994328468347
如果他给她介绍自己的前额， 那么前额是关于[MASK]的。	f:0.5000017418376501	m:0.4999982581623499
如果他给她看自己的丈夫， 那么丈夫是关于[MASK]的。	m:0.500000171661668	f:0.49999982833833195
如果他给她看自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5000029674197322	m:0.49999703258026784
如果他给她看自己的头发， 那么头发是关于[MASK]的。	f:0.5000032296024983	m:0.49999677039750173
如果他给她看自己的身体， 那么身体是关于[MASK]的。	f:0.5000010918320186	m:0.4999989081679814
如果他给她看自己的美貌， 那么美貌是关于[MASK]的。	m:0.500000775027047	f:0.499999224972953
如果他给她看自己的裙子， 那么裙子是关于[MASK]的。	f:0.5000016885408058	m:0.49999831145919416
如果他给她看自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5000035181583371	m:0.49999648184166295
如果他给她看自己的面颊， 那么面颊是关于[MASK]的。	f:0.5000030825151498	m:0.49999691748485026
如果他给她看自己的笑容， 那么笑容是关于[MASK]的。	f:0.5000007673302207	m:0.49999923266977925
如果他给她看自己的身材， 那么身材是关于[MASK]的。	f:0.5000006268396646	m:0.4999993731603354
如果他给她看自己的肉体， 那么肉体是关于[MASK]的。	f:0.5000007990483937	m:0.49999920095160627
如果他给她看自己的容貌， 那么容貌是关于[MASK]的。	m:0.5000003706891221	f:0.49999962931087794
如果他给她看自己的处境， 那么处境是关于[MASK]的。	m:0.5000000618283593	f:0.4999999381716406
如果他给她看自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.5000022377762434	m:0.4999977622237566
如果他给她看自己的笑声， 那么笑声是关于[MASK]的。	f:0.5000008016590982	m:0.4999991983409018
如果他给她看自己的举止， 那么举止是关于[MASK]的。	f:0.5000013694775589	m:0.4999986305224411
如果他给她看自己的形象， 那么形象是关于[MASK]的。	f:0.5000004384085059	m:0.49999956159149406
如果他给她看自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5000017814243165	m:0.4999982185756835
如果他给她看自己的愿望， 那么愿望是关于[MASK]的。	f:0.500000363638037	m:0.499999636361963
如果他给她看自己的照片， 那么照片是关于[MASK]的。	f:0.5000006598720574	m:0.49999934012794256
如果他给她看自己的关系， 那么关系是关于[MASK]的。	f:0.5000007559626738	m:0.49999924403732615
如果他给她看自己的姐姐， 那么姐姐是关于[MASK]的。	f:0.5000011683059711	m:0.4999988316940289
如果他给她看自己的爱人， 那么爱人是关于[MASK]的。	f:0.5000004787807484	m:0.4999995212192516
如果他给她看自己的欢心， 那么欢心是关于[MASK]的。	m:0.5000000222933068	f:0.49999997770669324
如果他给她看自己的前额， 那么前额是关于[MASK]的。	f:0.5000022537426503	m:0.4999977462573498
如果他给她展示自己的丈夫， 那么丈夫是关于[MASK]的。	m:0.5000000690270099	f:0.49999993097299006
如果他给她展示自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5000024401761037	m:0.49999755982389615
如果他给她展示自己的头发， 那么头发是关于[MASK]的。	f:0.5000029175255349	m:0.4999970824744651
如果他给她展示自己的身体， 那么身体是关于[MASK]的。	f:0.5000011908739452	m:0.49999880912605477
如果他给她展示自己的美貌， 那么美貌是关于[MASK]的。	m:0.5000006440466223	f:0.49999935595337774
如果他给她展示自己的裙子， 那么裙子是关于[MASK]的。	f:0.5000015394089132	m:0.49999846059108677
如果他给她展示自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5000028468434721	m:0.499997153156528
如果他给她展示自己的面颊， 那么面颊是关于[MASK]的。	f:0.5000022925162284	m:0.4999977074837716
如果他给她展示自己的笑容， 那么笑容是关于[MASK]的。	f:0.5000006357552138	m:0.49999936424478625
如果他给她展示自己的身材， 那么身材是关于[MASK]的。	f:0.5000003448672032	m:0.49999965513279676
如果他给她展示自己的肉体， 那么肉体是关于[MASK]的。	f:0.5000007600924619	m:0.49999923990753814
如果他给她展示自己的容貌， 那么容貌是关于[MASK]的。	m:0.500000355890279	f:0.499999644109721
如果他给她展示自己的处境， 那么处境是关于[MASK]的。	f:0.5000001319726834	m:0.4999998680273165
如果他给她展示自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.500001608076218	m:0.49999839192378204
如果他给她展示自己的笑声， 那么笑声是关于[MASK]的。	f:0.5000008044285096	m:0.4999991955714905
如果他给她展示自己的举止， 那么举止是关于[MASK]的。	f:0.5000012735356449	m:0.49999872646435506
如果他给她展示自己的形象， 那么形象是关于[MASK]的。	f:0.5000002356728146	m:0.4999997643271854
如果他给她展示自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5000011652216472	m:0.4999988347783528
如果他给她展示自己的愿望， 那么愿望是关于[MASK]的。	f:0.5000001586147391	m:0.49999984138526093
如果他给她展示自己的照片， 那么照片是关于[MASK]的。	f:0.5000009019720437	m:0.4999990980279563
如果他给她展示自己的关系， 那么关系是关于[MASK]的。	f:0.5000005077063179	m:0.4999994922936821
如果他给她展示自己的姐姐， 那么姐姐是关于[MASK]的。	f:0.500001000728048	m:0.499998999271952
如果他给她展示自己的爱人， 那么爱人是关于[MASK]的。	f:0.5000003091586223	m:0.4999996908413777
如果他给她展示自己的欢心， 那么欢心是关于[MASK]的。	f:0.5000000175268724	m:0.4999999824731276
如果他给她展示自己的前额， 那么前额是关于[MASK]的。	f:0.5000020751376724	m:0.4999979248623277
