假如她说他诬陷自己,那么他诬陷[MASK]。	f:0.5000012432284393	m:0.4999987567715607
假如她说他欺负自己,那么他欺负[MASK]。	f:0.5000008418505786	m:0.4999991581494214
假如她说他追随自己,那么他追随[MASK]。	f:0.5000003199103276	m:0.49999968008967244
假如她说他回避自己,那么他回避[MASK]。	f:0.5000011701825997	m:0.4999988298174003
假如她说他思念自己,那么他思念[MASK]。	f:0.5000008040007629	m:0.4999991959992371
假如她说他仰慕自己,那么他仰慕[MASK]。	f:0.5000004391453103	m:0.49999956085468966
假如她说他冷落自己,那么他冷落[MASK]。	f:0.5000014321889239	m:0.4999985678110761
假如她说他靠近自己,那么他靠近[MASK]。	f:0.5000020884501737	m:0.4999979115498263
假如她说他辅导自己,那么他辅导[MASK]。	f:0.5000004909031759	m:0.49999950909682417
假如她说他干扰自己,那么他干扰[MASK]。	f:0.5000006953421234	m:0.49999930465787656
假如她说他加入自己,那么他加入[MASK]。	f:0.5000009933479532	m:0.4999990066520468
假如她说他接近自己,那么他接近[MASK]。	f:0.5000023731807914	m:0.49999762681920856
假如她说他看望自己,那么他看望[MASK]。	f:0.5000008748993423	m:0.4999991251006577
假如她说他捞自己,那么他捞[MASK]。	f:0.5000003133068276	m:0.4999996866931724
假如她说他欢迎自己,那么他欢迎[MASK]。	f:0.5000002602375844	m:0.49999973976241563
假如她说他勾引自己,那么他勾引[MASK]。	f:0.500000844372039	m:0.49999915562796104
假如她说他勾结自己,那么他勾结[MASK]。	f:0.5000006927525646	m:0.4999993072474354
假如她说他等自己,那么他等[MASK]。	m:0.5000001512021299	f:0.49999984879787
假如她说他等候自己,那么他等候[MASK]。	f:0.5000006164366368	m:0.49999938356336315
假如她说他挤自己,那么他挤[MASK]。	f:0.5000013132257664	m:0.49999868677423365
假如她说他排挤自己,那么他排挤[MASK]。	f:0.5000009335713003	m:0.49999906642869973
假如她说他欺压自己,那么他欺压[MASK]。	f:0.5000018740659016	m:0.4999981259340984
假如她说他探望自己,那么他探望[MASK]。	f:0.5000008635469158	m:0.49999913645308425
假如她说他信任自己,那么他信任[MASK]。	f:0.5000004002329774	m:0.4999995997670226
假如她说他响应自己,那么他响应[MASK]。	f:0.5000003130935511	m:0.4999996869064489
假如她说他学习自己,那么他学习[MASK]。	f:0.5000005116989996	m:0.4999994883010003
假如她说他咬自己,那么他咬[MASK]。	f:0.5000005603053523	m:0.49999943969464766
假如她说他消灭自己,那么他消灭[MASK]。	f:0.5000012816666413	m:0.49999871833335874
假如她说他追赶自己,那么他追赶[MASK]。	f:0.5000013095780105	m:0.4999986904219895
假如她说他追求自己,那么他追求[MASK]。	f:0.5000009591851722	m:0.4999990408148278
假如她说他阻挡自己,那么他阻挡[MASK]。	f:0.5000006286304597	m:0.49999937136954026
假如她说他孝敬自己,那么他孝敬[MASK]。	f:0.5000005947765658	m:0.49999940522343417
假如她说他赢自己,那么他赢[MASK]。	f:0.5000010050919172	m:0.49999899490808275
假如她说他招呼自己,那么他招呼[MASK]。	f:0.5000006429427231	m:0.49999935705727694
假如她说他指导自己,那么他指导[MASK]。	f:0.5000007057326457	m:0.4999992942673544
假如她说他支援自己,那么他支援[MASK]。	f:0.5000004146962738	m:0.49999958530372623
假如她说他替换自己,那么他替换[MASK]。	f:0.5000008844777994	m:0.49999911552220055
假如她说他通知自己,那么他通知[MASK]。	f:0.5000007444782	m:0.4999992555218
假如她说他吸引自己,那么他吸引[MASK]。	f:0.5000010778485375	m:0.49999892215146247
假如她说他影响自己,那么他影响[MASK]。	f:0.5000007063774774	m:0.4999992936225226
假如她说他杀害自己,那么他杀害[MASK]。	f:0.5000013364095821	m:0.4999986635904179
假如她说他赔偿自己,那么他赔偿[MASK]。	f:0.5000007531308484	m:0.4999992468691516
假如她说他衬托自己,那么他衬托[MASK]。	f:0.5000009700273722	m:0.4999990299726278
假如她说他扣留自己,那么他扣留[MASK]。	f:0.5000014393104948	m:0.49999856068950516
假如她说他恐吓自己,那么他恐吓[MASK]。	f:0.5000010731149587	m:0.49999892688504133
假如她说他联络自己,那么他联络[MASK]。	f:0.5000009733105912	m:0.49999902668940877
假如她说他忍受自己,那么他忍受[MASK]。	f:0.5000000132081368	m:0.49999998679186325
假如她说他请示自己,那么他请示[MASK]。	f:0.5000004721001687	m:0.49999952789983126
假如她说他算计自己,那么他算计[MASK]。	f:0.500000994160132	m:0.499999005839868
