假如他说她诬陷自己,那么她诬陷[MASK]。	f:0.5000010632743397	m:0.49999893672566037
假如他说她学习自己,那么她学习[MASK]。	f:0.5000004946382433	m:0.49999950536175675
假如他说她咬自己,那么她咬[MASK]。	f:0.500000240046802	m:0.499999759953198
假如他说她消灭自己,那么她消灭[MASK]。	f:0.5000010758385542	m:0.49999892416144576
假如他说她追赶自己,那么她追赶[MASK]。	f:0.5000011061408713	m:0.49999889385912866
假如他说她追求自己,那么她追求[MASK]。	f:0.500000939632173	m:0.49999906036782704
假如他说她阻挡自己,那么她阻挡[MASK]。	f:0.5000005325790653	m:0.4999994674209347
假如他说她孝敬自己,那么她孝敬[MASK]。	f:0.5000005324342283	m:0.4999994675657717
假如他说她赢自己,那么她赢[MASK]。	f:0.5000008751447922	m:0.49999912485520775
假如他说她招呼自己,那么她招呼[MASK]。	f:0.5000004192839924	m:0.4999995807160076
假如他说她指导自己,那么她指导[MASK]。	f:0.5000005883297263	m:0.49999941167027373
假如他说她支援自己,那么她支援[MASK]。	f:0.5000004054067517	m:0.4999995945932483
假如他说她替换自己,那么她替换[MASK]。	f:0.5000007588181461	m:0.49999924118185385
假如他说她通知自己,那么她通知[MASK]。	f:0.5000006536797628	m:0.49999934632023724
假如他说她吸引自己,那么她吸引[MASK]。	f:0.5000007499986623	m:0.4999992500013377
假如他说她影响自己,那么她影响[MASK]。	f:0.5000005758710131	m:0.4999994241289869
假如他说她杀害自己,那么她杀害[MASK]。	f:0.5000012185208789	m:0.49999878147912113
假如他说她赔偿自己,那么她赔偿[MASK]。	f:0.500000480166932	m:0.499999519833068
假如他说她衬托自己,那么她衬托[MASK]。	f:0.500000852714038	m:0.49999914728596195
假如他说她扣留自己,那么她扣留[MASK]。	f:0.5000011580733599	m:0.4999988419266401
假如他说她恐吓自己,那么她恐吓[MASK]。	f:0.5000009029079138	m:0.49999909709208623
假如他说她联络自己,那么她联络[MASK]。	f:0.5000009088325328	m:0.4999990911674672
假如他说她忍受自己,那么她忍受[MASK]。	m:0.5000000503504225	f:0.4999999496495775
假如他说她请示自己,那么她请示[MASK]。	f:0.5000004790601906	m:0.49999952093980937
假如他说她算计自己,那么她算计[MASK]。	f:0.5000008221898611	m:0.4999991778101389
