假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	t:0.333339694281713	f:0.3333307825872664	m:0.33332952313102054
假如她说这个举动鼓舞了自己,那么这个举动鼓舞了[MASK]。	t:0.333337911507681	f:0.33333151481427403	m:0.333330573678045
假如他说这个举动鞭策了自己,那么这个举动鞭策了[MASK]。	t:0.3333406457277014	f:0.3333302825298823	m:0.33332907174241627
假如她说这个举动感动了自己,那么这个举动感动了[MASK]。	t:0.33333717301716503	f:0.333331832626984	m:0.33333099435585084
假如他说这个举动迷惑了自己,那么这个举动迷惑了[MASK]。	t:0.33333872729746616	f:0.33333117533870465	m:0.33333009736382907
假如他说这个举动提醒了自己,那么这个举动提醒了[MASK]。	t:0.3333385057250962	f:0.33333125719313	m:0.33333023708177384
假如她说这个举动激励了自己,那么这个举动激励了[MASK]。	t:0.3333390853185797	f:0.33333085875728524	m:0.333330055924135
假如他说这个结果伤害了自己,那么这个结果伤害了[MASK]。	t:0.3333400245661252	f:0.3333305339841373	m:0.3333294414497375
假如他说这个结果改变了自己,那么这个结果改变了[MASK]。	t:0.33333954427418994	f:0.3333309437152712	m:0.3333295120105388
假如他说这个结果影响了自己,那么这个结果影响了[MASK]。	t:0.3333397117765455	f:0.33333060837894046	m:0.33332967984451406
假如他说这个结果吸引了自己,那么这个结果吸引了[MASK]。	t:0.3333401952902839	f:0.33333043869329404	m:0.3333293660164221
假如他说这个结果启发了自己,那么这个结果启发了[MASK]。	t:0.333339402494158	f:0.3333307243968865	m:0.3333298731089554
假如他说这个结果激励了自己,那么这个结果激励了[MASK]。	t:0.3333410601438738	f:0.33333008780780354	m:0.3333288520483225
假如她说这个结果刺激了自己,那么这个结果刺激了[MASK]。	t:0.333340764469128	f:0.333330321886718	m:0.33332891364415407
假如她说这个结果困扰了自己,那么这个结果困扰了[MASK]。	t:0.33333900045499715	f:0.33333069181059943	m:0.3333303077344034
假如她说这个结果鼓舞了自己,那么这个结果鼓舞了[MASK]。	t:0.3333394842519738	f:0.33333086817237206	m:0.33332964757565414
假如她说这个结果鞭策了自己,那么这个结果鞭策了[MASK]。	t:0.333342760250132	f:0.33332938652143934	m:0.3333278532284286
假如她说这个结果感动了自己,那么这个结果感动了[MASK]。	t:0.3333387396230714	f:0.3333310254650712	m:0.3333302349118573
假如他说这个结果刺激了自己,那么这个结果刺激了[MASK]。	t:0.33334085973132843	f:0.3333303427596279	m:0.33332879750904365
假如他说这个结果迷惑了自己,那么这个结果迷惑了[MASK]。	t:0.33334083651959995	f:0.33333028592704045	m:0.3333288775533597
假如她说这个结果提醒了自己,那么这个结果提醒了[MASK]。	t:0.3333399679006657	f:0.33333059640458723	m:0.333329435694747
假如她说这个结果激励了自己,那么这个结果激励了[MASK]。	t:0.33334084753084997	f:0.3333301410704994	m:0.3333290113986507
假如他说这个问题伤害了自己,那么这个问题伤害了[MASK]。	t:0.33333823799520806	f:0.33333132231330126	m:0.3333304396914906
假如她说这个问题改变了自己,那么这个问题改变了[MASK]。	t:0.33333745799625103	f:0.33333179479376135	m:0.3333307472099877
假如她说这个问题影响了自己,那么这个问题影响了[MASK]。	t:0.33333768300914735	f:0.33333150726587585	m:0.33333080972497686
假如她说这个问题吸引了自己,那么这个问题吸引了[MASK]。	t:0.3333369996903667	f:0.3333319558722143	m:0.333331044437419
假如他说这个问题启发了自己,那么这个问题启发了[MASK]。	t:0.33333789299679367	f:0.33333138821803415	m:0.3333307187851722
假如他说这个问题激励了自己,那么这个问题激励了[MASK]。	t:0.3333389481558532	f:0.33333096275017754	m:0.33333008909396933
假如他说这个问题刺激了自己,那么这个问题刺激了[MASK]。	t:0.3333390102029453	f:0.33333100687704326	m:0.33332998292001137
假如他说这个问题困扰了自己,那么这个问题困扰了[MASK]。	t:0.33333722770137597	f:0.3333316696631886	m:0.3333311026354353
假如他说这个问题鼓舞了自己,那么这个问题鼓舞了[MASK]。	t:0.3333377708192725	f:0.33333158036489025	m:0.33333064881583724
假如他说这个问题鞭策了自己,那么这个问题鞭策了[MASK]。	t:0.33334011780699385	f:0.33333049211818916	m:0.33332939007481704
假如他说这个问题感动了自己,那么这个问题感动了[MASK]。	t:0.3333369277488606	f:0.33333190962475984	m:0.3333311626263796
假如她说这个问题迷惑了自己,那么这个问题迷惑了[MASK]。	t:0.33333755311068236	f:0.3333316494849023	m:0.33333079740441535
假如她说这个问题提醒了自己,那么这个问题提醒了[MASK]。	t:0.3333375105631325	f:0.3333316802084467	m:0.33333080922842073
假如她说这句话伤害了自己,那么这句话伤害了[MASK]。	t:0.3333387418223409	f:0.33333114377111633	m:0.3333301144065427
假如她说这句话改变了自己,那么这句话改变了[MASK]。	t:0.3333380383419016	f:0.33333154289727973	m:0.33333041876081865
假如他说这句话影响了自己,那么这句话影响了[MASK]。	t:0.3333391928195749	f:0.33333072310251843	m:0.3333300840779066
假如他说这句话吸引了自己,那么这句话吸引了[MASK]。	t:0.33333867756757835	f:0.33333107821148966	m:0.3333302442209319
假如她说这句话启发了自己,那么这句话启发了[MASK]。	t:0.33333924974747986	f:0.3333306840575712	m:0.3333300661949488
假如她说这句话激励了自己,那么这句话激励了[MASK]。	t:0.3333398001100078	f:0.3333304935829902	m:0.33332970630700204
假如他说这句话刺激了自己,那么这句话刺激了[MASK]。	t:0.33334005569212394	f:0.3333304721487624	m:0.33332947215911374
假如他说这句话困扰了自己,那么这句话困扰了[MASK]。	t:0.3333390588158788	f:0.33333071424678185	m:0.3333302269373393
假如他说这句话鼓舞了自己,那么这句话鼓舞了[MASK]。	t:0.3333390785852746	f:0.3333309777360172	m:0.33332994367870816
假如他说这句话鞭策了自己,那么这句话鞭策了[MASK]。	t:0.33334213161131077	f:0.33332943992803943	m:0.3333284284606498
假如他说这句话感动了自己,那么这句话感动了[MASK]。	t:0.33333836764128993	f:0.33333118821164404	m:0.33333044414706603
假如他说这句话迷惑了自己,那么这句话迷惑了[MASK]。	t:0.33333986801259075	f:0.33333056558152324	m:0.333329566405886
假如她说这句话提醒了自己,那么这句话提醒了[MASK]。	t:0.33333861751823307	f:0.33333114803090097	m:0.33333023445086596
假如他说这个事件伤害了自己,那么这个事件伤害了[MASK]。	t:0.3333394532324455	f:0.3333308970785954	m:0.33332964968895906
假如他说这个事件改变了自己,那么这个事件改变了[MASK]。	t:0.33333819885946353	f:0.33333151164862884	m:0.33333028949190757
假如他说这个事件影响了自己,那么这个事件影响了[MASK]。	t:0.3333393307178496	f:0.333330820564792	m:0.3333298487173584
假如她说这个事件吸引了自己,那么这个事件吸引了[MASK]。	t:0.3333389413411151	f:0.3333310821565232	m:0.3333299765023616
假如她说这个事件启发了自己,那么这个事件启发了[MASK]。	t:0.3333390056601336	f:0.3333308639181259	m:0.3333301304217406
假如她说这个事件激励了自己,那么这个事件激励了[MASK]。	t:0.33333966951323957	f:0.3333306789395985	m:0.33332965154716193
假如她说这个事件刺激了自己,那么这个事件刺激了[MASK]。	t:0.3333392579889463	f:0.3333309968076566	m:0.3333297452033971
假如她说这个事件困扰了自己,那么这个事件困扰了[MASK]。	t:0.33333794977064346	f:0.3333313664331708	m:0.3333306837961858
假如她说这个事件鼓舞了自己,那么这个事件鼓舞了[MASK]。	t:0.3333385269391891	f:0.33333132527501164	m:0.3333301477857992
假如他说这个事件鞭策了自己,那么这个事件鞭策了[MASK]。	t:0.33334127697444976	f:0.33333002369009046	m:0.3333286993354597
假如她说这个事件感动了自己,那么这个事件感动了[MASK]。	t:0.3333377507453063	f:0.33333155832346395	m:0.3333306909312298
假如他说这个事件迷惑了自己,那么这个事件迷惑了[MASK]。	t:0.333339972236108	f:0.3333305587164458	m:0.33332946904744626
假如她说这个事件提醒了自己,那么这个事件提醒了[MASK]。	t:0.3333389688845399	f:0.3333311086282242	m:0.33332992248723603
假如他说它伤害了自己,那么它伤害了[MASK]。	t:0.33333829084842864	f:0.33333207423605915	m:0.33332963491551215
假如他说它改变了自己,那么它改变了[MASK]。	t:0.33333730201582434	f:0.3333319526901018	m:0.33333074529407386
假如她说它影响了自己,那么它影响了[MASK]。	t:0.333339144108294	f:0.33333096642644544	m:0.33332988946526054
假如他说它吸引了自己,那么它吸引了[MASK]。	t:0.33333745496638406	f:0.3333318998929853	m:0.33333064514063065
假如他说它启发了自己,那么它启发了[MASK]。	t:0.3333381437064748	f:0.33333139496735675	m:0.3333304613261684
假如他说它激励了自己,那么它激励了[MASK]。	t:0.3333394563492274	f:0.3333308825454693	m:0.33332966110530327
假如她说它刺激了自己,那么它刺激了[MASK]。	t:0.33334003939906093	f:0.3333307628423786	m:0.33332919775856046
假如她说它困扰了自己,那么它困扰了[MASK]。	t:0.3333392457215524	f:0.33333093490661103	m:0.33332981937183676
假如她说它鼓舞了自己,那么它鼓舞了[MASK]。	t:0.33333976458541054	f:0.3333309283577954	m:0.33332930705679414
假如她说它鞭策了自己,那么它鞭策了[MASK]。	t:0.3333428447511674	f:0.33332978199520863	m:0.33332737325362405
假如她说它感动了自己,那么它感动了[MASK]。	t:0.33333815477148193	f:0.33333174921860825	m:0.33333009600990976
假如他说它刺激了自己,那么它刺激了[MASK]。	t:0.33333898399914863	f:0.33333129014923524	m:0.33332972585161613
假如她说它迷惑了自己,那么它迷惑了[MASK]。	t:0.33334065440465654	f:0.33333064493299824	m:0.33332870066234527
假如她说它提醒了自己,那么它提醒了[MASK]。	t:0.33333996717237463	f:0.3333308042757671	m:0.3333292285518583
