如果她给他推荐自己的钱， 那么钱是关于[MASK]的。	f:0.5000000578661457	m:0.49999994213385435
如果她给他看自己的生命， 那么生命是关于[MASK]的。	m:0.5000018480820927	f:0.4999981519179073
如果她给他看自己的目光， 那么目光是关于[MASK]的。	f:0.5000016794501789	m:0.4999983205498211
如果她给他看自己的敌人， 那么敌人是关于[MASK]的。	f:0.5000014934398678	m:0.4999985065601322
如果她给他看自己的事业， 那么事业是关于[MASK]的。	m:0.500000667743052	f:0.49999933225694804
如果她给他看自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.5000009307527762	m:0.49999906924722376
如果她给他看自己的球， 那么球是关于[MASK]的。	f:0.5000024966166166	m:0.49999750338338345
如果她给他看自己的媳妇， 那么媳妇是关于[MASK]的。	f:0.5000000191021172	m:0.4999999808978828
如果她给他看自己的床， 那么床是关于[MASK]的。	f:0.5000008069889645	m:0.49999919301103546
如果她给他看自己的太太， 那么太太是关于[MASK]的。	m:0.5000000299387466	f:0.49999997006125346
如果她给他看自己的家庭， 那么家庭是关于[MASK]的。	m:0.5000005018027878	f:0.4999994981972123
如果她给他看自己的同伙， 那么同伙是关于[MASK]的。	f:0.5000012752457224	m:0.49999872475427765
如果她给他看自己的妻子， 那么妻子是关于[MASK]的。	f:0.5000001582129698	m:0.49999984178703016
如果她给他看自己的意见， 那么意见是关于[MASK]的。	m:0.5000003783404736	f:0.4999996216595264
如果她给他看自己的女人， 那么女人是关于[MASK]的。	m:0.5000000626255314	f:0.4999999373744686
如果她给他看自己的样子， 那么样子是关于[MASK]的。	m:0.5000003510272109	f:0.49999964897278915
如果她给他看自己的夫人， 那么夫人是关于[MASK]的。	m:0.5000002179940566	f:0.4999997820059434
如果她给他看自己的作品， 那么作品是关于[MASK]的。	m:0.5000007421388091	f:0.49999925786119087
如果她给他看自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5000004715400337	m:0.4999995284599663
如果她给他看自己的车， 那么车是关于[MASK]的。	m:0.5000000550949153	f:0.4999999449050847
如果她给他看自己的烟， 那么烟是关于[MASK]的。	f:0.5000004513904059	m:0.49999954860959406
如果她给他看自己的老婆， 那么老婆是关于[MASK]的。	m:0.5000000441827979	f:0.4999999558172022
如果她给他展示自己的钱， 那么钱是关于[MASK]的。	f:0.5000004053028988	m:0.49999959469710126
如果她给他展示自己的情妇， 那么情妇是关于[MASK]的。	f:0.5000004916214493	m:0.49999950837855067
如果她给他展示自己的财产， 那么财产是关于[MASK]的。	m:0.5000001458447514	f:0.49999985415524867
如果她给他展示自己的印象， 那么印象是关于[MASK]的。	f:0.5000006215470876	m:0.4999993784529124
如果她给他展示自己的生命， 那么生命是关于[MASK]的。	m:0.5000015217976852	f:0.4999984782023148
如果她给他展示自己的目光， 那么目光是关于[MASK]的。	f:0.5000013225919702	m:0.49999867740802983
如果她给他展示自己的敌人， 那么敌人是关于[MASK]的。	f:0.5000012470995898	m:0.4999987529004102
如果她给他展示自己的事业， 那么事业是关于[MASK]的。	m:0.5000003235190889	f:0.49999967648091115
如果她给他展示自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.5000006738516731	m:0.4999993261483269
如果她给他展示自己的球， 那么球是关于[MASK]的。	f:0.5000019817457542	m:0.49999801825424584
如果她给他展示自己的媳妇， 那么媳妇是关于[MASK]的。	f:0.5000001746616363	m:0.49999982533836373
如果她给他展示自己的床， 那么床是关于[MASK]的。	f:0.500000868755933	m:0.49999913124406703
如果她给他展示自己的太太， 那么太太是关于[MASK]的。	f:0.5000001834307568	m:0.49999981656924325
如果她给他展示自己的家庭， 那么家庭是关于[MASK]的。	m:0.5000004360283583	f:0.4999995639716417
如果她给他展示自己的同伙， 那么同伙是关于[MASK]的。	f:0.5000012416066966	m:0.49999875839330343
如果她给他展示自己的妻子， 那么妻子是关于[MASK]的。	f:0.5000002632014002	m:0.49999973679859977
如果她给他展示自己的意见， 那么意见是关于[MASK]的。	f:0.5000003571140041	m:0.49999964288599585
如果她给他展示自己的女人， 那么女人是关于[MASK]的。	m:0.5000003959505648	f:0.4999996040494353
如果她给他展示自己的样子， 那么样子是关于[MASK]的。	f:0.5000000208074198	m:0.49999997919258016
如果她给他展示自己的夫人， 那么夫人是关于[MASK]的。	f:0.5000002132949248	m:0.49999978670507517
如果她给他展示自己的作品， 那么作品是关于[MASK]的。	m:0.5000002411034075	f:0.4999997588965926
如果她给他展示自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5000006111461062	m:0.49999938885389383
如果她给他展示自己的车， 那么车是关于[MASK]的。	f:0.5000000143372745	m:0.4999999856627255
如果她给他展示自己的烟， 那么烟是关于[MASK]的。	f:0.5000005044880709	m:0.49999949551192907
如果她给他展示自己的老婆， 那么老婆是关于[MASK]的。	f:0.5000001872426765	m:0.4999998127573235
