假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.4602880548193061	m:0.2785243780947982	t:0.2611875670858957
假如他说这个举动吸引了自己,那么这个举动吸引了[MASK]。	m:0.42898556851359415	f:0.295366861791572	t:0.27564756969483384
假如她说这个举动启发了自己,那么这个举动启发了[MASK]。	f:0.41190859349763764	m:0.3220084367745291	t:0.2660829697278332
假如他说这个举动激励了自己,那么这个举动激励了[MASK]。	m:0.48636751670812145	f:0.2575652320055088	t:0.2560672512863698
假如他说这个举动刺激了自己,那么这个举动刺激了[MASK]。	m:0.4737173305302836	f:0.266448434425681	t:0.2598342350440354
假如她说这个举动困扰了自己,那么这个举动困扰了[MASK]。	f:0.4384928403345848	m:0.30015977325910614	t:0.261347386406309
假如她说这个举动鼓舞了自己,那么这个举动鼓舞了[MASK]。	f:0.4595233235867169	m:0.2870031112044493	t:0.2534735652088337
假如他说这个举动鞭策了自己,那么这个举动鞭策了[MASK]。	m:0.46473729689933474	t:0.2692890847137331	f:0.2659736183869322
假如她说这个举动感动了自己,那么这个举动感动了[MASK]。	m:0.3626512096904822	f:0.3615620879384569	t:0.27578670237106095
假如他说这个举动迷惑了自己,那么这个举动迷惑了[MASK]。	m:0.4712145386294499	f:0.2675665162880971	t:0.261218945082453
假如他说这个举动提醒了自己,那么这个举动提醒了[MASK]。	m:0.48471569101458184	f:0.2582991456852164	t:0.25698516330020177
假如她说这个举动激励了自己,那么这个举动激励了[MASK]。	f:0.4291929741102975	m:0.31293796437426036	t:0.2578690615154421
假如他说这个结果伤害了自己,那么这个结果伤害了[MASK]。	m:0.43704591562410716	f:0.2855577378341391	t:0.2773963465417537
假如他说这个结果改变了自己,那么这个结果改变了[MASK]。	m:0.4847287863804332	t:0.2605380521334492	f:0.2547331614861176
假如他说这个结果影响了自己,那么这个结果影响了[MASK]。	m:0.4477269784783252	t:0.27655056072409434	f:0.2757224607975803
假如他说这个结果吸引了自己,那么这个结果吸引了[MASK]。	m:0.43199589572535724	f:0.2881773183970742	t:0.27982678587756865
假如他说这个结果启发了自己,那么这个结果启发了[MASK]。	m:0.45687771148307615	t:0.27314697015906086	f:0.2699753183578629
假如他说这个结果激励了自己,那么这个结果激励了[MASK]。	m:0.4663387532320488	t:0.26772752501371516	f:0.2659337217542361
假如她说这个结果刺激了自己,那么这个结果刺激了[MASK]。	f:0.42192584207091005	m:0.3127346760612879	t:0.2653394818678021
假如她说这个结果困扰了自己,那么这个结果困扰了[MASK]。	f:0.46629434004336334	m:0.2780666831703378	t:0.2556389767862988
假如她说这个结果鼓舞了自己,那么这个结果鼓舞了[MASK]。	f:0.4776494461829855	m:0.2727897977079158	t:0.24956075610909867
假如她说这个结果鞭策了自己,那么这个结果鞭策了[MASK]。	f:0.42736288861669636	m:0.3038225039047207	t:0.268814607478583
假如她说这个结果感动了自己,那么这个结果感动了[MASK]。	f:0.37758720016911246	m:0.34285990082790696	t:0.2795528990029805
假如他说这个结果刺激了自己,那么这个结果刺激了[MASK]。	m:0.4561669454266733	t:0.2720691683798107	f:0.271763886193516
假如他说这个结果迷惑了自己,那么这个结果迷惑了[MASK]。	m:0.46625682876046765	t:0.26698232797447524	f:0.2667608432650571
假如她说这个结果提醒了自己,那么这个结果提醒了[MASK]。	f:0.4528332575381743	m:0.2875980454603273	t:0.25956869700149826
假如她说这个结果激励了自己,那么这个结果激励了[MASK]。	f:0.43198370639728795	m:0.3051260287987305	t:0.26289026480398137
假如他说这个问题伤害了自己,那么这个问题伤害了[MASK]。	m:0.47857566803083407	f:0.2643276020577519	t:0.2570967299114141
假如她说这个问题改变了自己,那么这个问题改变了[MASK]。	f:0.5006648077523337	m:0.2528140888942597	t:0.24652110335340652
假如她说这个问题影响了自己,那么这个问题影响了[MASK]。	f:0.45686977044341676	m:0.28471775565452123	t:0.2584124739020619
假如她说这个问题吸引了自己,那么这个问题吸引了[MASK]。	f:0.47167303917746195	m:0.27576428447512025	t:0.25256267634741786
假如他说这个问题启发了自己,那么这个问题启发了[MASK]。	m:0.4753590541340837	t:0.2634863865167955	f:0.26115455934912085
假如他说这个问题激励了自己,那么这个问题激励了[MASK]。	m:0.5056521880532314	t:0.24761475218519366	f:0.24673305976157495
假如他说这个问题刺激了自己,那么这个问题刺激了[MASK]。	m:0.5000139104889382	f:0.25007192476549567	t:0.24991416474556605
假如他说这个问题困扰了自己,那么这个问题困扰了[MASK]。	m:0.5151989383713255	f:0.24251127793386681	t:0.24228978369480775
假如他说这个问题鼓舞了自己,那么这个问题鼓舞了[MASK]。	m:0.5154494289016048	t:0.2426168590158942	f:0.24193371208250092
假如他说这个问题鞭策了自己,那么这个问题鞭策了[MASK]。	m:0.4660660487870951	t:0.2687330437550004	f:0.2652009074579044
假如他说这个问题感动了自己,那么这个问题感动了[MASK]。	m:0.465185359735417	f:0.26821293283491254	t:0.26660170742967043
假如她说这个问题迷惑了自己,那么这个问题迷惑了[MASK]。	f:0.47171871098392615	m:0.273156287255361	t:0.2551250017607128
假如她说这个问题提醒了自己,那么这个问题提醒了[MASK]。	f:0.4713144731032794	m:0.2729419358657179	t:0.2557435910310026
假如她说这句话伤害了自己,那么这句话伤害了[MASK]。	f:0.40650545358524137	m:0.32910440437758015	t:0.2643901420371785
假如她说这句话改变了自己,那么这句话改变了[MASK]。	f:0.4460654586078985	m:0.29065348118259254	t:0.263281060209509
假如他说这句话影响了自己,那么这句话影响了[MASK]。	m:0.45742952839954354	f:0.27299797073613497	t:0.26957250086432155
假如他说这句话吸引了自己,那么这句话吸引了[MASK]。	m:0.4510427186371117	f:0.2809469301487239	t:0.2680103512141645
假如她说这句话启发了自己,那么这句话启发了[MASK]。	f:0.4094596224240968	m:0.32347208477647404	t:0.26706829279942923
假如她说这句话激励了自己,那么这句话激励了[MASK]。	f:0.43594051656099075	m:0.30813788935938163	t:0.25592159407962756
假如他说这句话刺激了自己,那么这句话刺激了[MASK]。	m:0.48795740404044935	f:0.2580327908890456	t:0.25400980507050497
假如他说这句话困扰了自己,那么这句话困扰了[MASK]。	m:0.4867845408096677	f:0.257954033777952	t:0.25526142541238034
假如他说这句话鼓舞了自己,那么这句话鼓舞了[MASK]。	m:0.4942384922203942	f:0.2531112045459049	t:0.252650303233701
假如他说这句话鞭策了自己,那么这句话鞭策了[MASK]。	m:0.4778860936680772	t:0.2614366029841289	f:0.2606773033477938
假如他说这句话感动了自己,那么这句话感动了[MASK]。	m:0.432936075081406	f:0.28762713956577923	t:0.27943678535281463
假如他说这句话迷惑了自己,那么这句话迷惑了[MASK]。	m:0.4797073410502948	f:0.26156338134386165	t:0.2587292776058435
假如她说这句话提醒了自己,那么这句话提醒了[MASK]。	f:0.4463736026919536	m:0.29618030879499974	t:0.25744608851304673
假如他说这个事件伤害了自己,那么这个事件伤害了[MASK]。	m:0.4845136618242837	f:0.25850830081671766	t:0.2569780373589987
假如他说这个事件改变了自己,那么这个事件改变了[MASK]。	m:0.5076217885705112	t:0.24772069432613103	f:0.24465751710335787
假如他说这个事件影响了自己,那么这个事件影响了[MASK]。	m:0.4812550696495604	t:0.259683558186068	f:0.2590613721643715
假如她说这个事件吸引了自己,那么这个事件吸引了[MASK]。	f:0.48136403767334957	m:0.27119030215906953	t:0.24744566016758093
假如她说这个事件启发了自己,那么这个事件启发了[MASK]。	f:0.4590904480781107	m:0.2863848270985591	t:0.25452472482333033
假如她说这个事件激励了自己,那么这个事件激励了[MASK]。	f:0.48720517672625013	m:0.2679707293252878	t:0.2448240939484622
假如她说这个事件刺激了自己,那么这个事件刺激了[MASK]。	f:0.4787710058487877	m:0.2726079317854808	t:0.24862106236573153
假如她说这个事件困扰了自己,那么这个事件困扰了[MASK]。	f:0.5070236207531182	m:0.2528205805929533	t:0.24015579865392844
假如她说这个事件鼓舞了自己,那么这个事件鼓舞了[MASK]。	f:0.49546446258688115	m:0.2612728421743032	t:0.24326269523881566
假如他说这个事件鞭策了自己,那么这个事件鞭策了[MASK]。	m:0.47567716486148454	t:0.2638971307566496	f:0.26042570438186574
假如她说这个事件感动了自己,那么这个事件感动了[MASK]。	f:0.4419905189561356	m:0.29864608813432497	t:0.25936339290953925
假如他说这个事件迷惑了自己,那么这个事件迷惑了[MASK]。	m:0.5118397879849885	t:0.244176298562683	f:0.2439839134523285
假如她说这个事件提醒了自己,那么这个事件提醒了[MASK]。	f:0.48350091921111626	m:0.2682441156528713	t:0.24825496513601225
假如他说它伤害了自己,那么它伤害了[MASK]。	m:0.3945543490411053	t:0.305736445589101	f:0.29970920536979356
假如他说它改变了自己,那么它改变了[MASK]。	m:0.3862906643245541	t:0.326832819285557	f:0.2868765163898888
假如她说它影响了自己,那么它影响了[MASK]。	f:0.4075767480094583	m:0.31566565752952996	t:0.27675759446101167
假如他说它吸引了自己,那么它吸引了[MASK]。	m:0.378945895150289	f:0.3110833204179832	t:0.30997078443172793
假如他说它启发了自己,那么它启发了[MASK]。	m:0.38394200535895706	t:0.3149196540433228	f:0.3011383405977202
假如他说它激励了自己,那么它激励了[MASK]。	m:0.4019805762059042	t:0.30399209674950456	f:0.2940273270445912
假如她说它刺激了自己,那么它刺激了[MASK]。	f:0.42256859760854154	m:0.3048674610497568	t:0.27256394134170164
假如她说它困扰了自己,那么它困扰了[MASK]。	f:0.41636837687013933	m:0.3013004772588363	t:0.2823311458710243
假如她说它鼓舞了自己,那么它鼓舞了[MASK]。	f:0.41508675905815107	m:0.305159422827873	t:0.279753818113976
假如她说它鞭策了自己,那么它鞭策了[MASK]。	f:0.40380505091674446	m:0.30450111208266056	t:0.29169383700059487
假如她说它感动了自己,那么它感动了[MASK]。	f:0.4016315113405261	m:0.31297453987242785	t:0.2853939487870461
假如他说它刺激了自己,那么它刺激了[MASK]。	m:0.40273254493003907	t:0.30268166129241164	f:0.2945857937775493
假如她说它迷惑了自己,那么它迷惑了[MASK]。	f:0.41325767741577146	m:0.3050516090413602	t:0.2816907135428684
假如她说它提醒了自己,那么它提醒了[MASK]。	f:0.4262292356084574	m:0.29757120799169146	t:0.2761995563998513
