假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.6503742090370833	f:0.34962579096291674
假如他说她思念自己,那么她思念[MASK]。	m:0.6495961951670702	f:0.35040380483292977
假如他说她仰慕自己,那么她仰慕[MASK]。	m:0.6447979967378609	f:0.355202003262139
假如他说她冷落自己,那么她冷落[MASK]。	m:0.6597800201099018	f:0.34021997989009817
假如他说她靠近自己,那么她靠近[MASK]。	m:0.6470047777959784	f:0.3529952222040217
假如他说她辅导自己,那么她辅导[MASK]。	m:0.6843213083626932	f:0.3156786916373067
假如他说她干扰自己,那么她干扰[MASK]。	m:0.6541647797914438	f:0.34583522020855617
假如他说她加入自己,那么她加入[MASK]。	m:0.5907574735595884	f:0.4092425264404116
假如他说她接近自己,那么她接近[MASK]。	m:0.622324286392694	f:0.37767571360730606
假如他说她看望自己,那么她看望[MASK]。	m:0.6025461526760658	f:0.39745384732393413
假如他说她捞自己,那么她捞[MASK]。	m:0.5829352156658337	f:0.4170647843341663
假如他说她欢迎自己,那么她欢迎[MASK]。	m:0.6260654244687829	f:0.37393457553121706
假如他说她勾引自己,那么她勾引[MASK]。	m:0.6758534252936149	f:0.3241465747063851
假如他说她勾结自己,那么她勾结[MASK]。	m:0.6546456769941317	f:0.3453543230058683
假如他说她等自己,那么她等[MASK]。	m:0.5657548985407248	f:0.43424510145927514
假如他说她等候自己,那么她等候[MASK]。	m:0.6259798866426541	f:0.3740201133573458
假如他说她挤自己,那么她挤[MASK]。	m:0.5888076192973443	f:0.4111923807026558
假如他说她排挤自己,那么她排挤[MASK]。	m:0.680746924353363	f:0.319253075646637
假如他说她欺压自己,那么她欺压[MASK]。	m:0.6689343294496188	f:0.3310656705503811
假如他说她探望自己,那么她探望[MASK]。	m:0.6236159120649459	f:0.3763840879350541
假如他说她信任自己,那么她信任[MASK]。	m:0.6522551285620608	f:0.3477448714379391
假如他说她响应自己,那么她响应[MASK]。	m:0.624028347466558	f:0.375971652533442
假如他说她学习自己,那么她学习[MASK]。	m:0.5299595949444336	f:0.4700404050555664
假如他说她咬自己,那么她咬[MASK]。	m:0.6147317587894368	f:0.38526824121056336
假如他说她消灭自己,那么她消灭[MASK]。	m:0.57471795670526	f:0.42528204329474
假如他说她追赶自己,那么她追赶[MASK]。	m:0.6787906405028986	f:0.3212093594971014
假如他说她追求自己,那么她追求[MASK]。	m:0.5998493262281319	f:0.40015067377186814
假如他说她阻挡自己,那么她阻挡[MASK]。	m:0.6494022844648063	f:0.35059771553519375
假如他说她孝敬自己,那么她孝敬[MASK]。	m:0.6368830391661747	f:0.3631169608338254
假如他说她赢自己,那么她赢[MASK]。	m:0.5068458592246976	f:0.49315414077530234
假如他说她招呼自己,那么她招呼[MASK]。	m:0.6520461632580268	f:0.3479538367419732
假如他说她指导自己,那么她指导[MASK]。	m:0.6895586065791308	f:0.3104413934208692
假如他说她支援自己,那么她支援[MASK]。	m:0.6865853332051575	f:0.3134146667948426
假如他说她替换自己,那么她替换[MASK]。	m:0.6469128734310049	f:0.35308712656899516
假如他说她通知自己,那么她通知[MASK]。	m:0.6454129791117748	f:0.3545870208882252
假如他说她吸引自己,那么她吸引[MASK]。	m:0.6580852924601925	f:0.3419147075398074
假如他说她影响自己,那么她影响[MASK]。	m:0.6855750578799944	f:0.31442494212000566
假如他说她杀害自己,那么她杀害[MASK]。	m:0.6674665812165663	f:0.3325334187834337
假如他说她赔偿自己,那么她赔偿[MASK]。	m:0.649649276945182	f:0.350350723054818
假如他说她衬托自己,那么她衬托[MASK]。	m:0.6699785840676962	f:0.33002141593230383
假如他说她扣留自己,那么她扣留[MASK]。	m:0.6682508447383506	f:0.33174915526164933
假如他说她恐吓自己,那么她恐吓[MASK]。	m:0.6789833715395734	f:0.32101662846042645
假如他说她联络自己,那么她联络[MASK]。	m:0.6429128917631565	f:0.35708710823684353
假如他说她忍受自己,那么她忍受[MASK]。	m:0.5640130522272672	f:0.43598694777273284
假如他说她请示自己,那么她请示[MASK]。	m:0.6225728222411135	f:0.37742717775888635
假如他说她算计自己,那么她算计[MASK]。	m:0.670679155672908	f:0.3293208443270919
