如果她说这本书伤害了自己,那么这本书伤害了	f:0.35990169226926794	m:0.32016342565429995	t:0.3199348820764321
如果她说这句话激励了自己,那么这句话激励了	f:0.34792846628686497	m:0.32651114752870514	t:0.32556038618443
如果他说这句话刺激了自己,那么这句话刺激了	f:0.3329348217309778	m:0.3341098769723166	t:0.33295530129670553
如果他说这句话困扰了自己,那么这句话困扰了	f:0.32298696889681117	m:0.3535908186847857	t:0.323422212418403
如果他说这句话鼓舞了自己,那么这句话鼓舞了	f:0.33286780601154914	m:0.33418913065362227	t:0.33294306333482854
如果他说这句话鞭策了自己,那么这句话鞭策了	f:0.33270154604118296	m:0.33454634747637935	t:0.33275210648243775
如果他说这句话感动了自己,那么这句话感动了	f:0.3319491803564451	m:0.3358381172044862	t:0.33221270243906875
如果他说这句话迷惑了自己,那么这句话迷惑了	f:0.2984281951618865	m:0.4034690714106264	t:0.29810273342748717
如果她说这句话提醒了自己,那么这句话提醒了	f:0.33652930871608444	m:0.3318395537725902	t:0.3316311375113253
如果他说这个事件伤害了自己,那么这个事件伤害了	f:0.31947915399547994	m:0.36088682295894503	t:0.3196340230455751
如果他说这个事件改变了自己,那么这个事件改变了	f:0.32818898888591286	m:0.343190200589633	t:0.328620810524454
如果他说这个事件影响了自己,那么这个事件影响了	f:0.3314662004156731	m:0.336878860245096	t:0.33165493933923085
如果她说这个事件吸引了自己,那么这个事件吸引了	f:0.3434954218138232	m:0.32849447566143	t:0.32801010252474677
如果她说这个事件启发了自己,那么这个事件启发了	f:0.36693088335014284	m:0.3165283858540421	t:0.31654073079581496
如果她说这个事件激励了自己,那么这个事件激励了	f:0.40645985332548457	m:0.29746653878643586	t:0.29607360788807957
如果她说这个事件刺激了自己,那么这个事件刺激了	f:0.33985502886969055	m:0.3302844968577449	t:0.3298604742725645
如果她说这个事件困扰了自己,那么这个事件困扰了	f:0.3525825464397548	m:0.3237249272628156	t:0.3236925262974296
如果她说这个事件鼓舞了自己,那么这个事件鼓舞了	f:0.3440535971900044	m:0.3281910355347152	t:0.32775536727528043
如果他说这个事件鞭策了自己,那么这个事件鞭策了	f:0.33264778514941756	m:0.3346344413053456	t:0.3327177735452369
如果她说这个事件感动了自己,那么这个事件感动了	f:0.3741014248946873	m:0.3133953343884432	t:0.3125032407168695
如果他说这个事件迷惑了自己,那么这个事件迷惑了	f:0.3115578309016426	m:0.37668114753639215	t:0.3117610215619652
如果她说这个事件提醒了自己,那么这个事件提醒了	f:0.3549818350328518	m:0.3226543523708913	t:0.32236381259625685
如果他说它伤害了自己,那么它伤害了	f:0.328719681528246	m:0.3338356973047009	t:0.33744462116705315
如果他说它改变了自己,那么它改变了	f:0.32972350636566405	m:0.33255376056733593	t:0.337722733067
如果她说它影响了自己,那么它影响了	f:0.3326029421757945	m:0.3310271431147773	t:0.3363699147094282
如果他说它吸引了自己,那么它吸引了	f:0.32440113314260977	m:0.3318212415352936	t:0.34377762532209666
如果他说它启发了自己,那么它启发了	f:0.32682715613631186	m:0.3340379163309428	t:0.3391349275327453
如果他说它激励了自己,那么它激励了	f:0.3274891438204585	m:0.3364321602616586	t:0.3360786959178828
如果她说它刺激了自己,那么它刺激了	f:0.332869810989107	m:0.3323743597420157	t:0.33475582926887737
如果她说它困扰了自己,那么它困扰了	f:0.33558782991528896	m:0.32352193040802185	t:0.3408902396766892
如果她说它鼓舞了自己,那么它鼓舞了	f:0.333605470945451	m:0.33205375534213183	t:0.3343407737124172
如果她说它鞭策了自己,那么它鞭策了	f:0.333199411456164	m:0.33313051665453214	t:0.3336700718893039
如果她说它感动了自己,那么它感动了	f:0.3325467276619116	m:0.32550890294659207	t:0.34194436939149625
如果他说它刺激了自己,那么它刺激了	f:0.3312158835853623	m:0.3341052426922467	t:0.33467887372239097
如果她说它迷惑了自己,那么它迷惑了	f:0.33758386962277315	m:0.3294558722088411	t:0.3329602581683857
如果她说它提醒了自己,那么它提醒了	f:0.3329885457109883	m:0.3317955319862432	t:0.3352159223027686
