不管他是否原谅<mask>自己.	m:0.5092538914156083	f:0.49074610858439166
他的空虚令<mask>自己吃惊。	m:0.5527029676616276	f:0.4472970323383723
“假如他说到<mask>自己呢？”	m:0.508389628618731	f:0.49161037138126895
“我打算让<mask>自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，另一方	m:0.5125027009022595	f:0.48749729909774064
王琦瑶让<mask>自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的消息。	m:0.5024013818933721	f:0.49759861810662787
使善的事物成为<mask>自己的。	m:0.5101096477833637	f:0.48989035221663646
有时候他会好气<mask>自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什么的。	m:0.5456530973174671	f:0.4543469026825328
“没有一分钟留给<mask>自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多少……	m:0.5876732569779771	f:0.4123267430220229
通过使美的东西成为<mask>自己的，他将得到什么呢？	m:0.6097482949824136	f:0.39025170501758655
不过，这三天假日是属于<mask>自己的，他要干自己想干的事。	m:0.7108117856705047	f:0.28918821432949526
让他捡，如果他拿<mask>自己的，而且心满意足，你就把另外两把全赠给他。	m:0.5043936662875146	f:0.4956063337124854
他应该写<mask>自己而不是克里斯塔尔……我辜负了他。	m:0.50394681897195	f:0.4960531810280499
去年5月8日的下午，蒙蒂教授曾记载<mask>自己要在多尼咖啡店与罗伯特?莱布朗会面。	m:0.5001077165599488	f:0.4998922834400512
你让<mask>自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们——因	m:0.5647815552139838	f:0.43521844478601635
有时他会把玩<mask>自己送给我作礼物的蒙古墨水瓶。	m:0.5024993579925717	f:0.4975006420074284
这让<mask>自己都觉得不好意思了。	f:0.5034280757634677	m:0.4965719242365323
他恨<mask>自己！	m:0.511289506812782	f:0.488710493187218
他只想到<mask>自己！	m:0.5131239738237646	f:0.4868760261762355
他问<mask>自己，“怎么！	m:0.5040832225059262	f:0.49591677749407376
“由于贫困，”陀思妥耶夫斯基说<mask>自己，“我被迫为金钱而匆忙写作，所以接二连三地失败。”	m:0.5000903999743214	f:0.49990960002567864
他问<mask>自己，“说到头来，这是我的，我的……	m:0.504256845509011	f:0.49574315449098894
有保留在他印象中的完全，对于美人迟<mask>自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫，把自	f:0.5000278877268721	m:0.49997211227312777
他恨<mask>自己，什么本事也没有，连点力气都没有，到底是干什么的呢？	m:0.5030850284917251	f:0.4969149715082749
振保突然提醒<mask>自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人睡觉。	m:0.5107454033537213	f:0.48925459664627874
同时，他更相信<mask>自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人，好运	m:0.5649593462478285	f:0.43504065375217155
“他到处炫示<mask>自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂得什么	m:0.5600113499983533	f:0.4399886500016466
陪审员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起<mask>自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里汲取生	m:0.5010058201389569	f:0.49899417986104316
他问<mask>自己，但是他没法回答。	m:0.5110640231799469	f:0.48893597682005296
这也怪<mask>自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这根弦。	m:0.5648583974486704	f:0.4351416025513295
这要怨<mask>自己，小狮子不平地说，我们的满腹苦水对谁诉?办理结婚登记手续	m:0.5000884132450545	f:0.49991158675494557
我父亲不爱谈<mask>自己，我们也不问。	m:0.505084022280833	f:0.494915977719167
听到大师兄这么贬低<mask>自己，楚玄玄自然大感不满。	m:0.515866603406138	f:0.48413339659386195
他问<mask>自己，脑子里一片混乱。	m:0.5016964995391545	f:0.4983035004608456
阿希礼用语言来禁闭<mask>自己，这禁闭比任何监狱都牢固。	m:0.5211746341192012	f:0.4788253658807988
克雷默尔立刻述说<mask>自己，述说关于他自己的一切。	m:0.5854983061525257	f:0.41450169384747426
但是，一个作者只能写<mask>自己，难道不是真的吗？	m:0.5064113321511078	f:0.4935886678488922
他说<mask>自己：“我这人我问他一天能卖多少钱。	m:0.5010713819839068	f:0.4989286180160932
太对不起他的母亲，也太对不起他的夫人了，可是他尤其对不起<mask>自己；他所失去的这位妻子，她的美貌足以使人间粉黛一齐失色，	f:0.5469839957678078	m:0.4530160042321922
