假如她说这本书伤害了自己,那么这本书伤害了<mask>。	f:0.48956780554008794	m:0.2570298751020172	t:0.253402319357895
假如他说这个举动激励了自己,那么这个举动激励了<mask>。	m:0.4042653838233566	f:0.30023341640313517	t:0.2955011997735082
假如他说这个举动刺激了自己,那么这个举动刺激了<mask>。	m:0.429713029119087	f:0.2885649401392	t:0.2817220307417132
假如她说这个举动困扰了自己,那么这个举动困扰了<mask>。	f:0.4917781126483864	m:0.2570848198562335	t:0.2511370674953802
假如她说这个举动鼓舞了自己,那么这个举动鼓舞了<mask>。	f:0.4961563504576571	m:0.254517034717968	t:0.24932661482437476
假如他说这个举动鞭策了自己,那么这个举动鞭策了<mask>。	m:0.4196329177144505	f:0.2917035827661372	t:0.2886634995194123
假如她说这个举动感动了自己,那么这个举动感动了<mask>。	f:0.4806754316957614	m:0.26239841758934285	t:0.2569261507148958
假如他说这个举动迷惑了自己,那么这个举动迷惑了<mask>。	m:0.39927587495782185	f:0.3029910972587582	t:0.29773302778341987
假如他说这个举动提醒了自己,那么这个举动提醒了<mask>。	m:0.42304698422858233	f:0.29078591061696385	t:0.28616710515445376
假如她说这个举动激励了自己,那么这个举动激励了<mask>。	f:0.4799418700165757	m:0.2626624009567958	t:0.2573957290266285
假如他说这个结果伤害了自己,那么这个结果伤害了<mask>。	m:0.3954322511749955	f:0.305795642472447	t:0.2987721063525575
假如他说这个结果改变了自己,那么这个结果改变了<mask>。	m:0.3903757322737277	f:0.30692772831003534	t:0.30269653941623703
假如他说这个结果影响了自己,那么这个结果影响了<mask>。	m:0.3903537131855322	f:0.3070940126741521	t:0.3025522741403157
假如他说这个结果吸引了自己,那么这个结果吸引了<mask>。	m:0.4439616309330442	f:0.2830620208151189	t:0.2729763482518368
假如他说这个结果启发了自己,那么这个结果启发了<mask>。	m:0.420129325650124	f:0.29182739534469676	t:0.2880432790051793
假如他说这个结果激励了自己,那么这个结果激励了<mask>。	m:0.39596083247513336	f:0.3050518735920059	t:0.29898729393286083
假如她说这个结果刺激了自己,那么这个结果刺激了<mask>。	f:0.47940693769992127	m:0.26574114204002397	t:0.25485192026005477
假如她说这个结果困扰了自己,那么这个结果困扰了<mask>。	f:0.4713089488399162	m:0.268720884996525	t:0.25997016616355884
假如她说这个结果鼓舞了自己,那么这个结果鼓舞了<mask>。	f:0.48601887519073994	m:0.26074386778159114	t:0.2532372570276689
假如她说这个结果鞭策了自己,那么这个结果鞭策了<mask>。	f:0.4787010119027727	m:0.264518649900048	t:0.25678033819717944
假如她说这个结果感动了自己,那么这个结果感动了<mask>。	f:0.4700719809560596	m:0.26875466551084615	t:0.2611733535330942
假如他说这个结果刺激了自己,那么这个结果刺激了<mask>。	m:0.4154282157820242	f:0.29693289212510354	t:0.2876388920928723
假如他说这个结果迷惑了自己,那么这个结果迷惑了<mask>。	m:0.394470844486172	f:0.306209731067108	t:0.29931942444672005
假如她说这个结果提醒了自己,那么这个结果提醒了<mask>。	f:0.4887031916931211	m:0.26020933581881417	t:0.2510874724880648
假如她说这个结果激励了自己,那么这个结果激励了<mask>。	f:0.4688763749787677	m:0.2693059871726629	t:0.26181763784856926
假如他说这个问题伤害了自己,那么这个问题伤害了<mask>。	m:0.37562137054784284	f:0.31541276153932846	t:0.30896586791282865
假如她说这个问题改变了自己,那么这个问题改变了<mask>。	f:0.45260192485277884	m:0.2756537254003145	t:0.2717443497469066
假如她说这个问题影响了自己,那么这个问题影响了<mask>。	f:0.4245965199260675	m:0.2915239904181129	t:0.2838794896558195
假如她说这个问题吸引了自己,那么这个问题吸引了<mask>。	f:0.4444610259114735	m:0.2859667121521964	t:0.2695722619363302
假如他说这个问题启发了自己,那么这个问题启发了<mask>。	m:0.3975292194399283	f:0.3032592954128661	t:0.2992114851472055
假如他说这个问题激励了自己,那么这个问题激励了<mask>。	m:0.38777123172439504	f:0.3109708463107306	t:0.3012579219648745
假如他说这个问题刺激了自己,那么这个问题刺激了<mask>。	m:0.4057728646467134	f:0.30234816296812433	t:0.2918789723851622
假如他说这个问题困扰了自己,那么这个问题困扰了<mask>。	m:0.3943969192887386	f:0.3063057069679762	t:0.29929737374328513
假如他说这个问题鼓舞了自己,那么这个问题鼓舞了<mask>。	m:0.38836433642886775	f:0.309809694838023	t:0.3018259687331094
假如他说这个问题鞭策了自己,那么这个问题鞭策了<mask>。	m:0.38538725998833895	f:0.31020666460346663	t:0.30440607540819437
假如他说这个问题感动了自己,那么这个问题感动了<mask>。	m:0.37954909002750503	f:0.31418313718708335	t:0.30626777278541173
假如她说这个问题迷惑了自己,那么这个问题迷惑了<mask>。	f:0.44748809442807563	m:0.28004166101826894	t:0.2724702445536554
假如她说这个问题提醒了自己,那么这个问题提醒了<mask>。	f:0.46212205025223313	m:0.2726181416743343	t:0.26525980807343263
假如她说这句话伤害了自己,那么这句话伤害了<mask>。	f:0.44284380000705914	m:0.2817376122553554	t:0.27541858773758543
假如她说这句话改变了自己,那么这句话改变了<mask>。	f:0.43272042025405855	m:0.2852546581960498	t:0.2820249215498916
假如他说这句话影响了自己,那么这句话影响了<mask>。	m:0.3607077664961677	f:0.32378598426227795	t:0.3155062492415544
假如他说这句话吸引了自己,那么这句话吸引了<mask>。	m:0.397496757735927	f:0.3086864755451614	t:0.2938167667189116
假如她说这句话启发了自己,那么这句话启发了<mask>。	f:0.4525597339569466	m:0.2771710144256874	t:0.27026925161736604
假如她说这句话激励了自己,那么这句话激励了<mask>。	f:0.4562403504421991	m:0.2744494235364966	t:0.2693102260213043
假如他说这句话刺激了自己,那么这句话刺激了<mask>。	m:0.3803529268971399	f:0.31958237403955975	t:0.3000646990633004
假如他说这句话困扰了自己,那么这句话困扰了<mask>。	m:0.37828012621312784	f:0.3154826138974301	t:0.3062372598894421
假如他说这句话鼓舞了自己,那么这句话鼓舞了<mask>。	m:0.37029025686593503	f:0.32035025340667017	t:0.30935948972739474
假如他说这句话鞭策了自己,那么这句话鞭策了<mask>。	m:0.37655477553734684	f:0.31510706219209916	t:0.30833816227055405
假如他说这句话感动了自己,那么这句话感动了<mask>。	m:0.36547655527330886	f:0.32251909596358724	t:0.312004348763104
假如他说这句话迷惑了自己,那么这句话迷惑了<mask>。	m:0.370396142275876	f:0.31877516969091646	t:0.3108286880332075
假如她说这句话提醒了自己,那么这句话提醒了<mask>。	f:0.45728099237406955	m:0.275129123230168	t:0.2675898843957623
假如他说这个事件伤害了自己,那么这个事件伤害了<mask>。	m:0.40251979408239646	f:0.30143965788752825	t:0.2960405480300752
假如他说这个事件改变了自己,那么这个事件改变了<mask>。	m:0.3961616945890317	f:0.3034009166731583	t:0.30043738873780995
假如他说这个事件影响了自己,那么这个事件影响了<mask>。	m:0.3976305729956903	f:0.3036646012244801	t:0.29870482577982965
假如她说这个事件吸引了自己,那么这个事件吸引了<mask>。	f:0.49570080308035985	m:0.25938350289109957	t:0.24491569402854063
假如她说这个事件启发了自己,那么这个事件启发了<mask>。	f:0.5025791617238006	m:0.2514020858567538	t:0.24601875241944574
假如她说这个事件激励了自己,那么这个事件激励了<mask>。	f:0.4918873400205819	m:0.2569776109010336	t:0.25113504907838463
假如她说这个事件刺激了自己,那么这个事件刺激了<mask>。	f:0.502963721196063	m:0.25181605899516313	t:0.24522021980877376
假如她说这个事件困扰了自己,那么这个事件困扰了<mask>。	f:0.4924144202686332	m:0.2571247117110805	t:0.25046086802028633
假如她说这个事件鼓舞了自己,那么这个事件鼓舞了<mask>。	f:0.5087775353729169	m:0.24832795987843334	t:0.24289450474864963
假如他说这个事件鞭策了自己,那么这个事件鞭策了<mask>。	m:0.4174260973561885	f:0.29385708532332333	t:0.2887168173204882
假如她说这个事件感动了自己,那么这个事件感动了<mask>。	f:0.4880389995817549	m:0.2588900760923106	t:0.2530709243259345
假如他说这个事件迷惑了自己,那么这个事件迷惑了<mask>。	m:0.39809132774804884	f:0.3041651019242887	t:0.2977435703276626
假如她说这个事件提醒了自己,那么这个事件提醒了<mask>。	f:0.49845171222105783	m:0.25414103352641126	t:0.24740725425253088
假如他说它伤害了自己,那么它伤害了<mask>。	m:0.3649750275103674	f:0.31770108312647377	t:0.3173238893631588
假如他说它改变了自己,那么它改变了<mask>。	m:0.34175527438085174	t:0.33049628954404836	f:0.32774843607509985
假如她说它影响了自己,那么它影响了<mask>。	f:0.4159721277405086	m:0.29404601808216374	t:0.28998185417732775
假如他说它吸引了自己,那么它吸引了<mask>。	m:0.3922264581925734	f:0.30571741297350763	t:0.3020561288339189
假如他说它启发了自己,那么它启发了<mask>。	m:0.37017903564991833	t:0.3157315375993172	f:0.3140894267507644
假如他说它激励了自己,那么它激励了<mask>。	m:0.3795126427940685	f:0.31172662460362904	t:0.30876073260230247
假如她说它刺激了自己,那么它刺激了<mask>。	f:0.4496860787574702	m:0.2756084018590695	t:0.27470551938346033
假如她说它困扰了自己,那么它困扰了<mask>。	f:0.4403239020517425	m:0.28134430895505097	t:0.2783317889932066
假如她说它鼓舞了自己,那么它鼓舞了<mask>。	f:0.4277906620800208	m:0.28649352289862473	t:0.2857158150213544
假如她说它鞭策了自己,那么它鞭策了<mask>。	f:0.4360501469945698	t:0.2833932239009581	m:0.28055662910447215
假如她说它感动了自己,那么它感动了<mask>。	f:0.4237395432076828	m:0.2883902414385968	t:0.2878702153537204
假如他说它刺激了自己,那么它刺激了<mask>。	m:0.3843195909255296	f:0.31272694347166397	t:0.30295346560280634
假如她说它迷惑了自己,那么它迷惑了<mask>。	f:0.4390049838757993	m:0.28130566899130083	t:0.2796893471329
假如她说它提醒了自己,那么它提醒了<mask>。	f:0.4350113086778682	t:0.28428123194402966	m:0.28070745937810226
