在“不管他是否原谅自己”这句话中，自己指的是	f:0.49966800217739266	m:0.5003319978226074
在“去年5月8日的下午，蒙蒂教授曾记载自己要在多尼咖啡店与罗伯特?莱布朗会面”这句话中，自己指的是	f:0.4999480694534262	m:0.5000519305465738
在“你让自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们——”这句话中，自己指的是	f:0.49990333616853977	m:0.5000966638314601
在“有时他会把玩自己送给我作礼物的蒙古墨水瓶”这句话中，自己指的是	f:0.4982273503901723	m:0.5017726496098277
在“这让自己都觉得不好意思了”这句话中，自己指的是	f:0.4999790787696961	m:0.500020921230304
在“他恨自己”这句话中，自己指的是	f:0.49461695489751467	m:0.5053830451024853
在“他只想到自己”这句话中，自己指的是	f:0.49521709666817937	m:0.5047829033318206
在“他问自己，“怎么”这句话中，自己指的是	f:0.492076062043654	m:0.507923937956346
在““由于贫困，”陀思妥耶夫斯基说自己，“我被迫为金钱而匆忙写作，所以接二连三地失败。”这句话中，自己指的是	f:0.4997120052894553	m:0.5002879947105447
在“他问自己，“说到头来，这是我的，我的…”这句话中，自己指的是	f:0.4905669558342305	m:0.5094330441657695
在“有保留在他印象中的完全，对于美人迟自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫，把”这句话中，自己指的是	f:0.4961587052323807	m:0.5038412947676193
在“他恨自己，什么本事也没有，连点力气都没有，到底是干什么的呢”这句话中，自己指的是	f:0.49701990735819124	m:0.5029800926418088
在“振保突然提醒自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人睡觉”这句话中，自己指的是	f:0.4991821653983867	m:0.5008178346016133
在“同时，他更相信自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人，好”这句话中，自己指的是	f:0.49716863082394985	m:0.5028313691760501
在““他到处炫示自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂得什”这句话中，自己指的是	f:0.49366171339781756	m:0.5063382866021824
在“陪审员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里汲取”这句话中，自己指的是	f:0.4993227426379304	m:0.5006772573620696
在“他问自己，但是他没法回答”这句话中，自己指的是	f:0.4926635226254872	m:0.5073364773745127
在“这也怪自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这根弦”这句话中，自己指的是	f:0.49930544242234304	m:0.500694557577657
在“这要怨自己，小狮子不平地说，我们的满腹苦水对谁诉?办理结婚登记手”这句话中，自己指的是	f:0.49997840821744355	m:0.5000215917825565
在“我父亲不爱谈自己，我们也不问”这句话中，自己指的是	f:0.4997647702867486	m:0.5002352297132514
在“听到大师兄这么贬低自己，楚玄玄自然大感不满”这句话中，自己指的是	f:0.49999459087848686	m:0.5000054091215131
在“他问自己，脑子里一片混乱”这句话中，自己指的是	f:0.4934178370141128	m:0.5065821629858871
在“阿希礼用语言来禁闭自己，这禁闭比任何监狱都牢固”这句话中，自己指的是	f:0.4998835772296965	m:0.5001164227703034
在“克雷默尔立刻述说自己，述说关于他自己的一切”这句话中，自己指的是	f:0.49949738400222804	m:0.500502615997772
在“但是，一个作者只能写自己，难道不是真的吗”这句话中，自己指的是	f:0.4999683797359888	m:0.5000316202640112
在“他说自己：“我这人我问他一天能卖多少钱”这句话中，自己指的是	f:0.4944184207984491	m:0.5055815792015509
在“太对不起他的母亲，也太对不起他的夫人了，可是他尤其对不起自己；他所失去的这位妻子，她的美貌足以使人间粉黛一齐失色”这句话中，自己指的是	f:0.4979502524523638	m:0.5020497475476361
