在“他给她推荐自己的丈夫”这句话中，自己指的是	f:0.4958592407847118	m:0.5041407592152882
在“他给她看自己的头发”这句话中，自己指的是	f:0.48672558942753397	m:0.5132744105724661
在“他给她看自己的身体”这句话中，自己指的是	f:0.47993974411091095	m:0.520060255889089
在“他给她看自己的美貌”这句话中，自己指的是	f:0.4903793289516036	m:0.5096206710483965
在“他给她看自己的裙子”这句话中，自己指的是	f:0.4942143161708112	m:0.5057856838291889
在“他给她看自己的胸脯”这句话中，自己指的是	f:0.4896388583298919	m:0.510361141670108
在“他给她看自己的面颊”这句话中，自己指的是	f:0.48662647772940554	m:0.5133735222705945
在“他给她看自己的笑容”这句话中，自己指的是	f:0.49241934694463546	m:0.5075806530553646
在“他给她看自己的身材”这句话中，自己指的是	f:0.48260770873181885	m:0.5173922912681812
在“他给她看自己的肉体”这句话中，自己指的是	f:0.48591080860602814	m:0.5140891913939719
在“他给她看自己的容貌”这句话中，自己指的是	f:0.4843119634002375	m:0.5156880365997624
在“他给她看自己的处境”这句话中，自己指的是	f:0.481294068206912	m:0.518705931793088
在“他给她看自己的脸庞”这句话中，自己指的是	f:0.4906436399296603	m:0.5093563600703397
在“他给她看自己的笑声”这句话中，自己指的是	f:0.4956080851040158	m:0.5043919148959841
在“他给她看自己的举止”这句话中，自己指的是	f:0.48717398749184687	m:0.5128260125081532
在“他给她看自己的形象”这句话中，自己指的是	f:0.4860165830312161	m:0.5139834169687838
在“他给她看自己的脸蛋”这句话中，自己指的是	f:0.48977708251399377	m:0.5102229174860062
在“他给她看自己的愿望”这句话中，自己指的是	f:0.485403871388923	m:0.5145961286110771
在“他给她看自己的照片”这句话中，自己指的是	f:0.4894689400836294	m:0.5105310599163706
在“他给她看自己的关系”这句话中，自己指的是	f:0.48610854109471097	m:0.5138914589052891
在“他给她看自己的姐姐”这句话中，自己指的是	f:0.48722211647268043	m:0.5127778835273196
在“他给她看自己的爱人”这句话中，自己指的是	f:0.4836517454890894	m:0.5163482545109106
在“他给她看自己的欢心”这句话中，自己指的是	f:0.4942116939177579	m:0.5057883060822421
在“他给她看自己的前额”这句话中，自己指的是	f:0.4876874547951629	m:0.5123125452048372
在“他给她展示自己的丈夫”这句话中，自己指的是	f:0.4952250978607514	m:0.5047749021392486
在“他给她展示自己的胳膊”这句话中，自己指的是	f:0.4872667908624965	m:0.5127332091375034
在“他给她展示自己的头发”这句话中，自己指的是	f:0.48948824343722036	m:0.5105117565627797
在“他给她展示自己的身体”这句话中，自己指的是	f:0.48247888150634627	m:0.5175211184936537
在“他给她展示自己的美貌”这句话中，自己指的是	f:0.49210375636928655	m:0.5078962436307134
在“他给她展示自己的裙子”这句话中，自己指的是	f:0.49400549048193626	m:0.5059945095180637
在“他给她展示自己的胸脯”这句话中，自己指的是	f:0.49061360974173523	m:0.5093863902582648
在“他给她展示自己的面颊”这句话中，自己指的是	f:0.4882438396177587	m:0.5117561603822414
在“他给她展示自己的笑容”这句话中，自己指的是	f:0.4923731044372798	m:0.5076268955627202
在“他给她展示自己的身材”这句话中，自己指的是	f:0.484924119167182	m:0.515075880832818
在“他给她展示自己的肉体”这句话中，自己指的是	f:0.4896124052608352	m:0.5103875947391648
在“他给她展示自己的容貌”这句话中，自己指的是	f:0.48834082277624236	m:0.5116591772237576
在“他给她展示自己的处境”这句话中，自己指的是	f:0.48425527584221767	m:0.5157447241577824
在“他给她展示自己的脸庞”这句话中，自己指的是	f:0.49142778476216825	m:0.5085722152378317
在“他给她展示自己的笑声”这句话中，自己指的是	f:0.49480075503479237	m:0.5051992449652075
在“他给她展示自己的举止”这句话中，自己指的是	f:0.48964958256361646	m:0.5103504174363835
在“他给她展示自己的形象”这句话中，自己指的是	f:0.48734863487186386	m:0.5126513651281361
在“他给她展示自己的脸蛋”这句话中，自己指的是	f:0.491080276846665	m:0.508919723153335
在“他给她展示自己的愿望”这句话中，自己指的是	f:0.4863491611872228	m:0.5136508388127771
在“他给她展示自己的照片”这句话中，自己指的是	f:0.48852490255524206	m:0.5114750974447579
在“他给她展示自己的关系”这句话中，自己指的是	f:0.4861042528739045	m:0.5138957471260954
在“他给她展示自己的姐姐”这句话中，自己指的是	f:0.48908883730814334	m:0.5109111626918568
在“他给她展示自己的爱人”这句话中，自己指的是	f:0.4868444771918673	m:0.5131555228081327
在“他给她展示自己的欢心”这句话中，自己指的是	f:0.49208766713708135	m:0.5079123328629187
在“他给她展示自己的前额”这句话中，自己指的是	f:0.4885214473072715	m:0.5114785526927286
