如果她说这本书伤害了自己,那么这本书伤害了	f:0.3331399279990128	m:0.3332076064621629	t:0.3336524655388243
如果他说这个问题鼓舞了自己,那么这个问题鼓舞了	f:0.3325326641923152	m:0.33347904937116496	t:0.33398828643651984
如果他说这个问题鞭策了自己,那么这个问题鞭策了	f:0.3324543642869429	m:0.33354809063237023	t:0.3339975450806868
如果他说这个问题感动了自己,那么这个问题感动了	f:0.33274549178829144	m:0.3336721163214166	t:0.3335823918902921
如果她说这个问题迷惑了自己,那么这个问题迷惑了	f:0.33329044298221444	m:0.3333011308778315	t:0.3334084261399541
如果她说这个问题提醒了自己,那么这个问题提醒了	f:0.3332232180899349	m:0.33326715495952786	t:0.3335096269505373
如果她说这句话伤害了自己,那么这句话伤害了	f:0.3331280034842722	m:0.3333758187744644	t:0.33349617774126344
如果她说这句话改变了自己,那么这句话改变了	f:0.43047785753674683	m:0.2847369779410801	t:0.284785164522173
如果他说这句话影响了自己,那么这句话影响了	f:0.33419451102921705	m:0.3328103674970299	t:0.33299512147375315
如果他说这句话吸引了自己,那么这句话吸引了	f:0.3541015588387669	m:0.3227687009118482	t:0.32312974024938484
如果她说这句话启发了自己,那么这句话启发了	f:0.39191647019081505	m:0.30417424798054865	t:0.30390928182863625
如果她说这句话激励了自己,那么这句话激励了	f:0.3332105274676778	m:0.33332315777414073	t:0.3334663147581814
如果他说这句话刺激了自己,那么这句话刺激了	f:0.3327715378556511	m:0.33363713854344923	t:0.33359132360089966
如果他说这句话困扰了自己,那么这句话困扰了	f:0.3331290615253504	m:0.33336551169284945	t:0.33350542678180023
如果他说这句话鼓舞了自己,那么这句话鼓舞了	f:0.33299760520418603	m:0.33361712717462816	t:0.33338526762118575
如果他说这句话鞭策了自己,那么这句话鞭策了	f:0.33299327421702785	m:0.33354916260839207	t:0.33345756317458003
如果他说这句话感动了自己,那么这句话感动了	f:0.3330183347758549	m:0.333697400632016	t:0.33328426459212906
如果他说这句话迷惑了自己,那么这句话迷惑了	f:0.33318494753260663	m:0.333408877573024	t:0.3334061748943694
如果她说这句话提醒了自己,那么这句话提醒了	f:0.3332069423886665	m:0.3332757071624096	t:0.3335173504489239
如果他说这个事件伤害了自己,那么这个事件伤害了	f:0.33308584773380256	m:0.33346725243546776	t:0.3334468998307296
如果他说这个事件改变了自己,那么这个事件改变了	f:0.33347509445318113	m:0.33307938625892725	t:0.3334455192878916
如果他说这个事件影响了自己,那么这个事件影响了	f:0.33357458491029895	m:0.33307614314413014	t:0.33334927194557085
如果她说这个事件吸引了自己,那么这个事件吸引了	f:0.4686733561540812	m:0.2656115818193923	t:0.2657150620265266
如果她说这个事件启发了自己,那么这个事件启发了	f:0.44188488897759054	m:0.27911355924727105	t:0.2790015517751384
如果她说这个事件激励了自己,那么这个事件激励了	f:0.33312082018561906	m:0.33333894519760265	t:0.3335402346167782
如果她说这个事件刺激了自己,那么这个事件刺激了	f:0.33325237558112863	m:0.3332943297003251	t:0.3334532947185463
如果她说这个事件困扰了自己,那么这个事件困扰了	f:0.33320515765458286	m:0.3332399949242633	t:0.3335548474211539
如果她说这个事件鼓舞了自己,那么这个事件鼓舞了	f:0.33317938629567256	m:0.3332978267919922	t:0.3335227869123353
如果他说这个事件鞭策了自己,那么这个事件鞭策了	f:0.33267584894893293	m:0.333550703796544	t:0.333773447254523
如果她说这个事件感动了自己,那么这个事件感动了	f:0.3332220780934118	m:0.3333387257243436	t:0.3334391961822445
如果他说这个事件迷惑了自己,那么这个事件迷惑了	f:0.3331536411085186	m:0.3333804115229679	t:0.3334659473685136
如果她说这个事件提醒了自己,那么这个事件提醒了	f:0.33319199395552174	m:0.3332454409378296	t:0.33356256510664867
如果他说它伤害了自己,那么它伤害了	f:0.3142974429396085	m:0.31469094453448754	t:0.37101161252590403
如果他说它改变了自己,那么它改变了	f:0.3309102601672727	m:0.3308185966961989	t:0.3382711431365284
如果她说它影响了自己,那么它影响了	f:0.41275570773460046	m:0.2934747244186251	t:0.2937695678467743
如果他说它吸引了自己,那么它吸引了	f:0.3327483377827248	m:0.33151722472131706	t:0.33573443749595805
如果他说它启发了自己,那么它启发了	f:0.3331247885034315	m:0.3337437513826765	t:0.33313146011389205
如果他说它激励了自己,那么它激励了	f:0.33140506103264655	m:0.33162668790504063	t:0.3369682510623129
如果她说它刺激了自己,那么它刺激了	f:0.33169449217128827	m:0.33183902647337604	t:0.33646648135533574
如果她说它困扰了自己,那么它困扰了	f:0.332701499317541	m:0.33270970926847504	t:0.33458879141398395
如果她说它鼓舞了自己,那么它鼓舞了	f:0.3328414945866784	m:0.33289496471408087	t:0.3342635406992408
如果她说它鞭策了自己,那么它鞭策了	f:0.33109927990844384	m:0.3312070705856371	t:0.337693649505919
如果她说它感动了自己,那么它感动了	f:0.3325829612962646	m:0.3326770370556497	t:0.33474000164808565
如果他说它刺激了自己,那么它刺激了	f:0.32560781093941815	m:0.3258539940753561	t:0.34853819498522565
如果她说它迷惑了自己,那么它迷惑了	f:0.33258420216263107	m:0.3326248627761229	t:0.334790935061246
如果她说它提醒了自己,那么它提醒了	f:0.3327671001160567	m:0.3328406544394869	t:0.3343922454444564
