假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.5299561705276704	m:0.23894834432756076	t:0.23109548514476874
假如她说这封信启发了自己,那么这封信启发了[MASK]。	f:0.4287047098840658	m:0.30002651135600705	t:0.2712687787599273
假如他说这封信激励了自己,那么这封信激励了[MASK]。	m:0.4619691225717605	f:0.2742207790436329	t:0.2638100983846066
假如他说这封信刺激了自己,那么这封信刺激了[MASK]。	m:0.4612818214745744	f:0.2772446037023785	t:0.26147357482304695
假如她说这封信困扰了自己,那么这封信困扰了[MASK]。	f:0.49448645831073823	m:0.25984307317723976	t:0.245670468512022
假如她说这封信鼓舞了自己,那么这封信鼓舞了[MASK]。	f:0.43346649260181597	m:0.29722559940688326	t:0.2693079079913007
假如他说这封信鞭策了自己,那么这封信鞭策了[MASK]。	m:0.45799105692789627	f:0.274432154302894	t:0.2675767887692097
假如她说这封信感动了自己,那么这封信感动了[MASK]。	f:0.4225659909197897	m:0.3027456477219016	t:0.27468836135830876
假如她说这封信刺激了自己,那么这封信刺激了[MASK]。	f:0.450442009748051	m:0.2861290802308557	t:0.2634289100210934
假如她说这封信迷惑了自己,那么这封信迷惑了[MASK]。	f:0.4783114678877204	m:0.2687959522971347	t:0.25289257981514496
假如她说这封信提醒了自己,那么这封信提醒了[MASK]。	f:0.44059798391463884	m:0.2908424722493249	t:0.26855954383603636
假如她说这封信激励了自己,那么这封信激励了[MASK]。	f:0.44939926923538664	m:0.2864413000043937	t:0.2641594307602197
假如他说这个举动伤害了自己,那么这个举动伤害了[MASK]。	m:0.42447776022376	f:0.298543522459169	t:0.2769787173170709
假如她说这个举动改变了自己,那么这个举动改变了[MASK]。	f:0.44662866024660697	m:0.2893718899161728	t:0.2639994498372203
假如她说这个举动影响了自己,那么这个举动影响了[MASK]。	f:0.4378150793135981	m:0.2943288206624162	t:0.26785610002398574
假如他说这个举动吸引了自己,那么这个举动吸引了[MASK]。	m:0.4282525988338823	f:0.2985106732006052	t:0.27323672796551246
假如她说这个举动启发了自己,那么这个举动启发了[MASK]。	f:0.418547841733022	m:0.30400908122753073	t:0.2774430770394472
假如他说这个举动激励了自己,那么这个举动激励了[MASK]。	m:0.43827246740374026	f:0.28717394227661086	t:0.27455359031964877
假如他说这个举动刺激了自己,那么这个举动刺激了[MASK]。	m:0.4430792715362167	f:0.2883903597629908	t:0.2685303687007925
假如她说这个举动困扰了自己,那么这个举动困扰了[MASK]。	f:0.46408125894810615	m:0.27708593589206415	t:0.25883280515982976
假如她说这个举动鼓舞了自己,那么这个举动鼓舞了[MASK]。	f:0.42135192410606237	m:0.3031466810025791	t:0.2755013948913586
假如他说这个举动鞭策了自己,那么这个举动鞭策了[MASK]。	m:0.4247102428556126	f:0.2920714463418558	t:0.2832183108025317
假如她说这个举动感动了自己,那么这个举动感动了[MASK]。	f:0.39377496836099174	m:0.3174619757882656	t:0.28876305585074263
假如他说这个举动迷惑了自己,那么这个举动迷惑了[MASK]。	m:0.4309567076937947	f:0.2950591185765323	t:0.2739841737296729
假如他说这个举动提醒了自己,那么这个举动提醒了[MASK]。	m:0.4310827158184162	f:0.2916329674589022	t:0.2772843167226817
假如她说这个举动激励了自己,那么这个举动激励了[MASK]。	f:0.4325672166843977	m:0.295601596726772	t:0.2718311865888304
假如他说这个结果伤害了自己,那么这个结果伤害了[MASK]。	m:0.4394870559393348	f:0.2949522634598043	t:0.265560680600861
假如他说这个结果改变了自己,那么这个结果改变了[MASK]。	m:0.45160190263284244	f:0.28312761048876467	t:0.265270486878393
假如他说这个结果影响了自己,那么这个结果影响了[MASK]。	m:0.45990464865098957	f:0.28002913205978053	t:0.26006621928922985
假如他说这个结果吸引了自己,那么这个结果吸引了[MASK]。	m:0.4369047250027086	f:0.29660557628350753	t:0.2664896987137837
假如他说这个结果启发了自己,那么这个结果启发了[MASK]。	m:0.43867179879627527	f:0.28770687154893615	t:0.2736213296547885
假如他说这个结果激励了自己,那么这个结果激励了[MASK]。	m:0.4620953867283492	f:0.27614152291495003	t:0.26176309035670087
假如她说这个结果刺激了自己,那么这个结果刺激了[MASK]。	f:0.4506428606209988	m:0.2874505812705044	t:0.2619065581084967
假如她说这个结果困扰了自己,那么这个结果困扰了[MASK]。	f:0.4604419295824198	m:0.2791086802441862	t:0.26044939017339397
假如她说这个结果鼓舞了自己,那么这个结果鼓舞了[MASK]。	f:0.4336218617572462	m:0.2976635043916633	t:0.2687146338510905
假如她说这个结果鞭策了自己,那么这个结果鞭策了[MASK]。	f:0.43454690009575747	m:0.29829667368542384	t:0.2671564262188187
假如她说这个结果感动了自己,那么这个结果感动了[MASK]。	f:0.40340727376632435	m:0.31382777574907567	t:0.28276495048460004
假如他说这个结果刺激了自己,那么这个结果刺激了[MASK]。	m:0.45516212398730077	f:0.28419427379317225	t:0.26064360221952687
假如他说这个结果迷惑了自己,那么这个结果迷惑了[MASK]。	m:0.4563858854059441	f:0.2832419115772967	t:0.2603722030167593
假如她说这个结果提醒了自己,那么这个结果提醒了[MASK]。	f:0.4290142733573789	m:0.29736606034511764	t:0.27361966629750345
假如她说这个结果激励了自己,那么这个结果激励了[MASK]。	f:0.4475396893456954	m:0.2881608881028345	t:0.26429942255147004
假如他说这个问题伤害了自己,那么这个问题伤害了[MASK]。	m:0.4757580944728796	f:0.2727149879905316	t:0.25152691753658873
假如她说这个问题改变了自己,那么这个问题改变了[MASK]。	f:0.466332979341719	m:0.27622796416312945	t:0.25743905649515153
假如她说这个问题影响了自己,那么这个问题影响了[MASK]。	f:0.48899767393471366	m:0.26428394613571377	t:0.24671837992957263
假如她说这个问题吸引了自己,那么这个问题吸引了[MASK]。	f:0.4771963801594805	m:0.2707850554913008	t:0.25201856434921877
假如他说这个问题启发了自己,那么这个问题启发了[MASK]。	m:0.4526519832587981	f:0.2816286587291021	t:0.2657193580120998
假如他说这个问题激励了自己,那么这个问题激励了[MASK]。	m:0.4818156868715089	f:0.2652069498164699	t:0.2529773633120212
假如他说这个问题刺激了自己,那么这个问题刺激了[MASK]。	m:0.4770308585346205	f:0.27109502644773104	t:0.2518741150176484
假如他说这个问题困扰了自己,那么这个问题困扰了[MASK]。	m:0.47040782226330674	f:0.2783832038680125	t:0.25120897386868074
假如他说这个问题鼓舞了自己,那么这个问题鼓舞了[MASK]。	m:0.4692421031437346	f:0.2716529552796003	t:0.2591049415766651
假如他说这个问题鞭策了自己,那么这个问题鞭策了[MASK]。	m:0.46543427349034133	f:0.27344178077270753	t:0.2611239457369511
假如他说这个问题感动了自己,那么这个问题感动了[MASK]。	m:0.4399355883556806	f:0.291553243763565	t:0.26851116788075446
假如她说这个问题迷惑了自己,那么这个问题迷惑了[MASK]。	f:0.49873740020518686	m:0.2575773267318862	t:0.24368527306292687
假如她说这个问题提醒了自己,那么这个问题提醒了[MASK]。	f:0.45467227368937935	m:0.2828174009815072	t:0.2625103253291135
假如她说这句话伤害了自己,那么这句话伤害了[MASK]。	f:0.44277750990810005	m:0.2913814225090803	t:0.2658410675828198
假如她说这句话改变了自己,那么这句话改变了[MASK]。	f:0.45668603228684	m:0.28304926439211253	t:0.26026470332104756
假如他说这句话影响了自己,那么这句话影响了[MASK]。	m:0.4778303145533186	f:0.2682617793950907	t:0.2539079060515906
假如他说这句话吸引了自己,那么这句话吸引了[MASK]。	m:0.47619529045889564	f:0.27186136886550794	t:0.2519433406755964
假如她说这句话启发了自己,那么这句话启发了[MASK]。	f:0.423016369796683	m:0.3033571290224985	t:0.2736265011808184
假如她说这句话激励了自己,那么这句话激励了[MASK]。	f:0.43381332727967353	m:0.2961626635083642	t:0.2700240092119622
假如他说这句话刺激了自己,那么这句话刺激了[MASK]。	m:0.45010517801497524	f:0.28391565635116117	t:0.2659791656338637
假如他说这句话困扰了自己,那么这句话困扰了[MASK]。	m:0.46584772026341525	f:0.27811703720210146	t:0.2560352425344833
假如他说这句话鼓舞了自己,那么这句话鼓舞了[MASK]。	m:0.4500418080741582	f:0.2801199105832112	t:0.2698382813426307
假如他说这句话鞭策了自己,那么这句话鞭策了[MASK]。	m:0.452839694761483	f:0.27656857048581446	t:0.27059173475270243
假如他说这句话感动了自己,那么这句话感动了[MASK]。	m:0.4301413563677864	f:0.2981883825008824	t:0.2716702611313311
假如他说这句话迷惑了自己,那么这句话迷惑了[MASK]。	m:0.4598190962391113	f:0.27799704388632046	t:0.2621838598745683
假如她说这句话提醒了自己,那么这句话提醒了[MASK]。	f:0.42860716015628153	m:0.29669629418571003	t:0.27469654565800855
假如他说这个事件伤害了自己,那么这个事件伤害了[MASK]。	m:0.48449968259308757	f:0.26602007258319627	t:0.24948024482371617
假如他说这个事件改变了自己,那么这个事件改变了[MASK]。	m:0.5070031620264221	f:0.25154181984953167	t:0.2414550181240462
假如他说这个事件影响了自己,那么这个事件影响了[MASK]。	m:0.487100483150446	f:0.26485721834706566	t:0.24804229850248843
假如她说这个事件吸引了自己,那么这个事件吸引了[MASK]。	f:0.5009635926751393	m:0.25638868424274075	t:0.24264772308211993
假如她说这个事件启发了自己,那么这个事件启发了[MASK]。	f:0.47047757609455215	m:0.2740718358048813	t:0.2554505881005666
假如她说这个事件激励了自己,那么这个事件激励了[MASK]。	f:0.48099256247117306	m:0.2670135143782211	t:0.25199392315060576
假如她说这个事件刺激了自己,那么这个事件刺激了[MASK]。	f:0.4938854282448306	m:0.2603348699818076	t:0.24577970177336184
假如她说这个事件困扰了自己,那么这个事件困扰了[MASK]。	f:0.5219152066651199	m:0.24321972003700074	t:0.23486507329787937
假如她说这个事件鼓舞了自己,那么这个事件鼓舞了[MASK]。	f:0.47258180251636983	m:0.27234611714927526	t:0.2550720803343548
假如他说这个事件鞭策了自己,那么这个事件鞭策了[MASK]。	m:0.470428210826115	f:0.2687402669657455	t:0.2608315222081394
假如她说这个事件感动了自己,那么这个事件感动了[MASK]。	f:0.46433333262989906	m:0.2759530842162556	t:0.25971358315384546
假如他说这个事件迷惑了自己,那么这个事件迷惑了[MASK]。	m:0.501120403860732	f:0.25505530776547053	t:0.24382428837379758
假如她说这个事件提醒了自己,那么这个事件提醒了[MASK]。	f:0.47032324933648395	m:0.2720579602268768	t:0.2576187904366392
假如他说它伤害了自己,那么它伤害了[MASK]。	m:0.35777748419431005	f:0.32715539794488546	t:0.3150671178608045
假如他说它改变了自己,那么它改变了[MASK]。	m:0.36268873590887535	t:0.32592198775741293	f:0.3113892763337116
假如她说它影响了自己,那么它影响了[MASK]。	f:0.4005871656829569	m:0.31846443271818414	t:0.2809484015988589
假如他说它吸引了自己,那么它吸引了[MASK]。	m:0.3514871923495093	f:0.3295602105376686	t:0.31895259711282203
假如他说它启发了自己,那么它启发了[MASK]。	m:0.36313980142237484	t:0.319780391005007	f:0.3170798075726182
假如他说它激励了自己,那么它激励了[MASK]。	m:0.3820427791976922	f:0.31104110301631677	t:0.30691611778599104
假如她说它刺激了自己,那么它刺激了[MASK]。	f:0.39749370254324856	m:0.31297366885042377	t:0.2895326286063277
假如她说它困扰了自己,那么它困扰了[MASK]。	f:0.4188522486207132	m:0.3034482354654893	t:0.27769951591379755
假如她说它鼓舞了自己,那么它鼓舞了[MASK]。	f:0.3897987640221427	m:0.3170617456249133	t:0.29313949035294395
假如她说它鞭策了自己,那么它鞭策了[MASK]。	f:0.385329172290724	m:0.31624581993239004	t:0.29842500777688596
假如她说它感动了自己,那么它感动了[MASK]。	f:0.3697542781787888	m:0.33002036361407017	t:0.30022535820714114
假如他说它刺激了自己,那么它刺激了[MASK]。	m:0.37607627527423493	f:0.3179353267645903	t:0.30598839796117483
假如她说它迷惑了自己,那么它迷惑了[MASK]。	f:0.3927124272220184	m:0.31628367901481885	t:0.29100389376316266
假如她说它提醒了自己,那么它提醒了[MASK]。	f:0.37595982192665034	m:0.32439489406659383	t:0.29964528400675583
