假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.647663962383456	f:0.352336037616544
假如他说她欺压自己,那么她欺压[MASK]。	m:0.6787854242778889	f:0.3212145757221111
假如他说她探望自己,那么她探望[MASK]。	m:0.6714646383080262	f:0.3285353616919739
假如他说她信任自己,那么她信任[MASK]。	m:0.6664668096817096	f:0.3335331903182905
假如他说她响应自己,那么她响应[MASK]。	m:0.5723455959787634	f:0.4276544040212366
假如他说她学习自己,那么她学习[MASK]。	m:0.6014348762752848	f:0.39856512372471525
假如他说她咬自己,那么她咬[MASK]。	m:0.6257384725610566	f:0.3742615274389433
假如他说她消灭自己,那么她消灭[MASK]。	m:0.6085021809900908	f:0.39149781900990926
假如他说她追赶自己,那么她追赶[MASK]。	m:0.6655475627067527	f:0.33445243729324725
假如他说她追求自己,那么她追求[MASK]。	m:0.6648124613562955	f:0.33518753864370454
假如他说她阻挡自己,那么她阻挡[MASK]。	m:0.6112089040585975	f:0.3887910959414024
假如他说她孝敬自己,那么她孝敬[MASK]。	m:0.6481347181059183	f:0.3518652818940817
假如他说她赢自己,那么她赢[MASK]。	m:0.5409389288125951	f:0.45906107118740497
假如他说她招呼自己,那么她招呼[MASK]。	m:0.6551739576482817	f:0.3448260423517183
假如他说她指导自己,那么她指导[MASK]。	m:0.6173527473971222	f:0.38264725260287785
假如他说她支援自己,那么她支援[MASK]。	m:0.6400338195116566	f:0.35996618048834345
假如他说她替换自己,那么她替换[MASK]。	m:0.5856126908445993	f:0.41438730915540073
假如他说她通知自己,那么她通知[MASK]。	m:0.6187469294517391	f:0.38125307054826074
假如他说她吸引自己,那么她吸引[MASK]。	m:0.6248658168664867	f:0.3751341831335134
假如他说她影响自己,那么她影响[MASK]。	m:0.6446201015941646	f:0.3553798984058354
假如他说她杀害自己,那么她杀害[MASK]。	m:0.6398458503001773	f:0.3601541496998226
假如他说她赔偿自己,那么她赔偿[MASK]。	m:0.6146239952659028	f:0.3853760047340971
假如他说她衬托自己,那么她衬托[MASK]。	m:0.6042834982570193	f:0.39571650174298073
假如他说她扣留自己,那么她扣留[MASK]。	m:0.6083419488970259	f:0.3916580511029741
假如他说她恐吓自己,那么她恐吓[MASK]。	m:0.6614757228742634	f:0.33852427712573663
假如他说她联络自己,那么她联络[MASK]。	m:0.6566950953082439	f:0.3433049046917561
假如他说她忍受自己,那么她忍受[MASK]。	m:0.5897279042759092	f:0.41027209572409096
假如他说她请示自己,那么她请示[MASK]。	m:0.628974048429681	f:0.371025951570319
假如他说她算计自己,那么她算计[MASK]。	m:0.6045456131194016	f:0.3954543868805983
