如果她推荐他的情妇是关于自己的， 那么情妇是关于<mask>的。	m:0.5112222879967796	f:0.4887777120032204
如果她看他的意见是关于自己的， 那么意见是关于<mask>的。	m:0.5046707187913102	f:0.4953292812086898
如果她看他的女人是关于自己的， 那么女人是关于<mask>的。	m:0.5356735532173529	f:0.46432644678264706
如果她看他的样子是关于自己的， 那么样子是关于<mask>的。	m:0.5751567835686676	f:0.4248432164313324
如果她看他的夫人是关于自己的， 那么夫人是关于<mask>的。	m:0.5000957474100807	f:0.4999042525899193
如果她看他的作品是关于自己的， 那么作品是关于<mask>的。	f:0.529188856254884	m:0.470811143745116
如果她看他的兄弟是关于自己的， 那么兄弟是关于<mask>的。	f:0.5105289076535781	m:0.48947109234642194
如果她看他的车是关于自己的， 那么车是关于<mask>的。	f:0.5407529970436952	m:0.45924700295630483
如果她看他的烟是关于自己的， 那么烟是关于<mask>的。	f:0.5137238667913759	m:0.486276133208624
如果她看他的老婆是关于自己的， 那么老婆是关于<mask>的。	m:0.5172462676653953	f:0.4827537323346047
如果她展示他的钱是关于自己的， 那么钱是关于<mask>的。	f:0.5137357917602431	m:0.4862642082397569
如果她展示他的情妇是关于自己的， 那么情妇是关于<mask>的。	m:0.5000147074460941	f:0.4999852925539059
如果她展示他的财产是关于自己的， 那么财产是关于<mask>的。	f:0.5200831341533902	m:0.4799168658466097
如果她展示他的印象是关于自己的， 那么印象是关于<mask>的。	f:0.5032599534837033	m:0.49674004651629655
如果她展示他的生命是关于自己的， 那么生命是关于<mask>的。	f:0.5304377826294281	m:0.46956221737057197
如果她展示他的目光是关于自己的， 那么目光是关于<mask>的。	f:0.5000249668955595	m:0.49997503310444047
如果她展示他的敌人是关于自己的， 那么敌人是关于<mask>的。	f:0.5303409970918533	m:0.4696590029081466
如果她展示他的事业是关于自己的， 那么事业是关于<mask>的。	f:0.5182881542552622	m:0.4817118457447379
如果她展示他的伙伴是关于自己的， 那么伙伴是关于<mask>的。	f:0.527997287165495	m:0.47200271283450496
如果她展示他的球是关于自己的， 那么球是关于<mask>的。	f:0.5228383934736995	m:0.4771616065263005
如果她展示他的媳妇是关于自己的， 那么媳妇是关于<mask>的。	m:0.5014118924462724	f:0.49858810755372773
如果她展示他的床是关于自己的， 那么床是关于<mask>的。	f:0.5161680480659018	m:0.48383195193409817
如果她展示他的太太是关于自己的， 那么太太是关于<mask>的。	m:0.5011654661349834	f:0.49883453386501664
如果她展示他的家庭是关于自己的， 那么家庭是关于<mask>的。	f:0.5218841117779247	m:0.4781158882220753
如果她展示他的同伙是关于自己的， 那么同伙是关于<mask>的。	f:0.516612689757391	m:0.48338731024260895
如果她展示他的妻子是关于自己的， 那么妻子是关于<mask>的。	m:0.5002484097872437	f:0.4997515902127563
如果她展示他的意见是关于自己的， 那么意见是关于<mask>的。	f:0.5020787819653213	m:0.49792121803467876
如果她展示他的女人是关于自己的， 那么女人是关于<mask>的。	m:0.515334634667521	f:0.4846653653324789
如果她展示他的样子是关于自己的， 那么样子是关于<mask>的。	m:0.5403989345448014	f:0.4596010654551986
如果她展示他的夫人是关于自己的， 那么夫人是关于<mask>的。	f:0.5040788527987025	m:0.4959211472012975
如果她展示他的作品是关于自己的， 那么作品是关于<mask>的。	f:0.5313105389811124	m:0.46868946101888764
如果她展示他的兄弟是关于自己的， 那么兄弟是关于<mask>的。	f:0.5178437046475673	m:0.4821562953524327
如果她展示他的车是关于自己的， 那么车是关于<mask>的。	f:0.5150594914144163	m:0.48494050858558363
如果她展示他的烟是关于自己的， 那么烟是关于<mask>的。	f:0.5150209230232119	m:0.4849790769767881
如果她展示他的老婆是关于自己的， 那么老婆是关于<mask>的。	m:0.5046875109292492	f:0.49531248907075076
