假如她说这本书伤害了自己,那么这本书伤害了<mask>。	f:0.431167136683173	m:0.2849362500700288	t:0.28389661324679827
假如他说这个结果伤害了自己,那么这个结果伤害了<mask>。	m:0.3494947015153174	t:0.32530421062312015	f:0.32520108786156243
假如他说这个结果改变了自己,那么这个结果改变了<mask>。	m:0.34682456314154486	t:0.3270684610312243	f:0.32610697582723086
假如他说这个结果影响了自己,那么这个结果影响了<mask>。	m:0.34683365884166434	t:0.32693571962130574	f:0.32623062153702986
假如他说这个结果吸引了自己,那么这个结果吸引了<mask>。	m:0.3620590005351342	t:0.319593714039921	f:0.3183472854249447
假如他说这个结果启发了自己,那么这个结果启发了<mask>。	m:0.34254393718506976	t:0.32901752579217886	f:0.32843853702275144
假如他说这个结果激励了自己,那么这个结果激励了<mask>。	m:0.33689745968433354	f:0.3316691861599325	t:0.33143335415573394
假如她说这个结果刺激了自己,那么这个结果刺激了<mask>。	f:0.3890117370584252	m:0.3069234819920498	t:0.30406478094952505
假如她说这个结果困扰了自己,那么这个结果困扰了<mask>。	f:0.38873151128048683	m:0.306453390502037	t:0.3048150982174762
假如她说这个结果鼓舞了自己,那么这个结果鼓舞了<mask>。	f:0.4015045051807083	m:0.30007400075957397	t:0.2984214940597177
假如她说这个结果鞭策了自己,那么这个结果鞭策了<mask>。	f:0.3893450798335788	m:0.30642177259565745	t:0.3042331475707638
假如她说这个结果感动了自己,那么这个结果感动了<mask>。	f:0.382031273548029	m:0.31026278861207124	t:0.30770593783989986
假如他说这个结果刺激了自己,那么这个结果刺激了<mask>。	m:0.3480148203327032	f:0.32618347772534667	t:0.32580170194195024
假如他说这个结果迷惑了自己,那么这个结果迷惑了<mask>。	m:0.35288731068058476	t:0.32418164327590504	f:0.32293104604351014
假如她说这个结果提醒了自己,那么这个结果提醒了<mask>。	f:0.3925685324612331	m:0.3043534594788493	t:0.3030780080599176
假如她说这个结果激励了自己,那么这个结果激励了<mask>。	f:0.3776785601563202	m:0.3117482969974866	t:0.31057314284619336
假如他说这个问题伤害了自己,那么这个问题伤害了<mask>。	m:0.3539822852413509	f:0.32338270896887156	t:0.3226350057897775
假如她说这个问题改变了自己,那么这个问题改变了<mask>。	f:0.4000046512564778	m:0.30136467510636344	t:0.2986306736371589
假如她说这个问题影响了自己,那么这个问题影响了<mask>。	f:0.3816488042940746	m:0.3117579117705311	t:0.30659328393539426
假如她说这个问题吸引了自己,那么这个问题吸引了<mask>。	f:0.3433610777404634	m:0.3400526114643808	t:0.3165863107951558
假如他说这个问题启发了自己,那么这个问题启发了<mask>。	m:0.352061890863291	f:0.32406453670452207	t:0.323873572432187
假如他说这个问题激励了自己,那么这个问题激励了<mask>。	m:0.35229660354071435	t:0.32388182330225496	f:0.3238215731570307
假如他说这个问题刺激了自己,那么这个问题刺激了<mask>。	m:0.35379452210452245	f:0.3238284637510408	t:0.32237701414443676
假如他说这个问题困扰了自己,那么这个问题困扰了<mask>。	m:0.3445705953990553	f:0.3278558663411144	t:0.3275735382598303
假如他说这个问题鼓舞了自己,那么这个问题鼓舞了<mask>。	m:0.3564488455485218	t:0.32177943395453584	f:0.32177172049694247
假如他说这个问题鞭策了自己,那么这个问题鞭策了<mask>。	m:0.3480366407437785	f:0.32604297026630025	t:0.32592038898992126
假如他说这个问题感动了自己,那么这个问题感动了<mask>。	m:0.3524031916878726	f:0.32411670196705433	t:0.323480106345073
假如她说这个问题迷惑了自己,那么这个问题迷惑了<mask>。	f:0.3956288743338376	m:0.3038057977558396	t:0.30056532791032275
假如她说这个问题提醒了自己,那么这个问题提醒了<mask>。	f:0.3948695158429039	m:0.3042271692966395	t:0.30090331486045657
假如她说这句话伤害了自己,那么这句话伤害了<mask>。	f:0.40117287195003015	m:0.3009966910616186	t:0.29783043698835127
假如她说这句话改变了自己,那么这句话改变了<mask>。	f:0.3965673566981069	m:0.30304493405805116	t:0.30038770924384184
假如他说这句话影响了自己,那么这句话影响了<mask>。	m:0.35464420379112327	f:0.32292290339092206	t:0.3224328928179546
假如他说这句话吸引了自己,那么这句话吸引了<mask>。	m:0.3902217613091486	f:0.3051351743115537	t:0.3046430643792977
假如她说这句话启发了自己,那么这句话启发了<mask>。	f:0.37329341327579774	m:0.31530459414542816	t:0.311401992578774
假如她说这句话激励了自己,那么这句话激励了<mask>。	f:0.38713808354442786	m:0.30767114270892476	t:0.30519077374664744
假如他说这句话刺激了自己,那么这句话刺激了<mask>。	m:0.35214296006139134	f:0.32440788581639163	t:0.3234491541222171
假如他说这句话困扰了自己,那么这句话困扰了<mask>。	m:0.3496441354115286	f:0.32537122208038693	t:0.32498464250808445
假如他说这句话鼓舞了自己,那么这句话鼓舞了<mask>。	m:0.35356515024963203	f:0.3233586604423791	t:0.3230761893079888
假如他说这句话鞭策了自己,那么这句话鞭策了<mask>。	m:0.34663428861583656	f:0.3271295857548332	t:0.3262361256293303
假如他说这句话感动了自己,那么这句话感动了<mask>。	m:0.3507450422774604	f:0.3251619306869783	t:0.3240930270355613
假如他说这句话迷惑了自己,那么这句话迷惑了<mask>。	m:0.3569431740654364	f:0.32165213066270826	t:0.32140469527185533
假如她说这句话提醒了自己,那么这句话提醒了<mask>。	f:0.3906690241708873	m:0.30574216031255586	t:0.3035888155165568
假如他说这个事件伤害了自己,那么这个事件伤害了<mask>。	m:0.34435813982735425	f:0.32796887331569036	t:0.32767298685695534
假如他说这个事件改变了自己,那么这个事件改变了<mask>。	m:0.3513622675730593	f:0.32434820132361974	t:0.3242895311033209
假如他说这个事件影响了自己,那么这个事件影响了<mask>。	m:0.3472805119379869	f:0.3265423641574999	t:0.32617712390451314
假如她说这个事件吸引了自己,那么这个事件吸引了<mask>。	f:0.38825471368451625	m:0.3107229855226732	t:0.30102230079281056
假如她说这个事件启发了自己,那么这个事件启发了<mask>。	f:0.3842331302831427	m:0.3091210783433846	t:0.30664579137347275
假如她说这个事件激励了自己,那么这个事件激励了<mask>。	f:0.3903073397760664	m:0.3056074577149597	t:0.304085202508974
假如她说这个事件刺激了自己,那么这个事件刺激了<mask>。	f:0.40018072744435956	m:0.30115665831546956	t:0.29866261424017093
假如她说这个事件困扰了自己,那么这个事件困扰了<mask>。	f:0.39676328290434415	m:0.3025041122825909	t:0.300732604813065
假如她说这个事件鼓舞了自己,那么这个事件鼓舞了<mask>。	f:0.4092035556831463	m:0.29623734538189256	t:0.294559098934961
假如他说这个事件鞭策了自己,那么这个事件鞭策了<mask>。	m:0.3489918441916038	f:0.3258747183423393	t:0.3251334374660569
假如她说这个事件感动了自己,那么这个事件感动了<mask>。	f:0.38779448474341854	m:0.30726320736352575	t:0.3049423078930557
假如他说这个事件迷惑了自己,那么这个事件迷惑了<mask>。	m:0.3490433414812668	f:0.32557875179354356	t:0.32537790672518957
假如她说这个事件提醒了自己,那么这个事件提醒了<mask>。	f:0.3839992308842022	m:0.3088081625692614	t:0.30719260654653635
假如他说它伤害了自己,那么它伤害了<mask>。	m:0.34456027239179937	f:0.3280024921070535	t:0.32743723550114706
假如他说它改变了自己,那么它改变了<mask>。	m:0.34359627397951137	t:0.32854304381567506	f:0.3278606822048136
假如她说它影响了自己,那么它影响了<mask>。	f:0.3634795140760222	m:0.3191599646027741	t:0.3173605213212036
假如他说它吸引了自己,那么它吸引了<mask>。	m:0.37314455847255956	f:0.31358094745397974	t:0.31327449407346064
假如他说它启发了自己,那么它启发了<mask>。	m:0.3399743673144987	t:0.33018514672066346	f:0.3298404859648379
假如他说它激励了自己,那么它激励了<mask>。	m:0.3397349842978272	t:0.33041314622629236	f:0.32985186947588047
假如她说它刺激了自己,那么它刺激了<mask>。	f:0.37654992448526375	m:0.3128623440793289	t:0.31058773143540735
假如她说它困扰了自己,那么它困扰了<mask>。	f:0.3888990354659224	m:0.30618925545469033	t:0.30491170907938725
假如她说它鼓舞了自己,那么它鼓舞了<mask>。	f:0.3839929365916057	m:0.30875997368507163	t:0.30724708972332265
假如她说它鞭策了自己,那么它鞭策了<mask>。	f:0.3715366704910553	m:0.31480427034605835	t:0.3136590591628864
假如她说它感动了自己,那么它感动了<mask>。	f:0.37847427466316097	m:0.31170628182906357	t:0.30981944350777546
假如他说它刺激了自己,那么它刺激了<mask>。	m:0.34362867718928386	f:0.3289316289819565	t:0.3274396938287597
假如她说它迷惑了自己,那么它迷惑了<mask>。	f:0.3777352782302582	m:0.3119886481519648	t:0.3102760736177769
假如她说它提醒了自己,那么它提醒了<mask>。	f:0.37918210084765935	t:0.31045835477045025	m:0.3103595443818904
