如果罗伯特-乔丹明白她信任自己，那么她信任<mask>。	m:0.5594179584907251	f:0.44058204150927494
如果她知道那年轻轿夫正在注视着自己，那么轿夫正注视着<mask>。	f:0.6620969244409849	m:0.3379030755590152
如果建军看到丽娟站在门边，悲哀地望着自己，那么丽娟望着<mask>。	m:0.5756796623581951	f:0.4243203376418049
如果她料不到建军会主动地强迫了自己，那么建军强迫了<mask>。	f:0.6660563518243935	m:0.33394364817560657
如果她希望他来看看自己，那么他来看看<mask>。	m:0.507321990505709	f:0.49267800949429097
如果他不愿母亲靠近自己，那么母亲靠近<mask>。	m:0.5068393814597975	f:0.4931606185402025
如果我觉得丈夫背叛了自己，那么丈夫背叛了<mask>。	f:0.5023140850326375	m:0.49768591496736253
如果丽娟觉得他是有意避着自己，那么他在避着<mask>。	m:0.5036952251199306	f:0.49630477488006947
如果建军却感到她是在冷眼看着自己，那么她看着<mask>。	m:0.5196298592994961	f:0.4803701407005039
如果但丽娟发现他并没有认出自己，那么他没有认出<mask>。	f:0.5085184205339832	m:0.49148157946601684
如果父亲看见母亲从她幽居的高处俯视着自己，那么母亲俯视着<mask>。	m:0.5230457302573402	f:0.4769542697426597
如果建军觉得人们好像在纷纷躲避自己，那么人们在躲避<mask>。	m:0.5040640208695091	f:0.4959359791304909
如果她热切地盼望着建军前来找自己，那么建军会来找<mask>。	f:0.6225129145710568	m:0.3774870854289432
如果建军好像听到丽娟正在身边取笑自己，那么丽娟在取笑<mask>。	m:0.6049844581167686	f:0.3950155418832314
如果她无意中发现他正在看着自己，那么他在看着<mask>。	f:0.6591678556854041	m:0.34083214431459596
如果建军怀疑她是在有意躲避自己，那么她在躲避<mask>。	m:0.5009044110224581	f:0.4990955889775418
如果他在回来的路上仍不相信丽娟会真的喜欢自己，那么丽娟喜欢<mask>。	m:0.5931570753297111	f:0.4068429246702889
如果建军感到连母亲也抛弃了自己，那么母亲抛弃了<mask>。	m:0.5229758791464543	f:0.4770241208535458
如果她看到安全部头子的脸从银行大楼的一扇窗子后边注视着自己，那么安全部头子在注视着<mask>。	f:0.6705575465822292	m:0.3294424534177709
如果建军没想到丽娟会反问自己，那么丽娟反问<mask>。	m:0.500565035959458	f:0.499434964040542
如果他没有等着她过来拥抱自己，那么她过来拥抱<mask>。	m:0.6032518537846947	f:0.39674814621530524
如果他环顾了一下四周，发觉这个丽娟正诚挚地注视着自己，那么丽娟正注视着<mask>。	m:0.6175810511329358	f:0.38241894886706423
如果她一抬头，看到建军正在端详着自己，那么建军正端详着<mask>。	f:0.6798491823906901	m:0.32015081760930986
如果她听不惯别人称赞自己，那么别人称赞<mask>。	f:0.6342717882902116	m:0.3657282117097885
如果但他知道她是好心来救自己，那么她是好心来救<mask>。	m:0.557132774017544	f:0.442867225982456
如果她发觉他带着奇怪的目光注视着自己，那么他注视着<mask>。	f:0.6650793330580747	m:0.33492066694192535
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着<mask>。	m:0.5716497025566799	f:0.42835029744332015
如果建军做梦也没想到丽娟竟然这样回答自己，那么丽娟回答<mask>。	m:0.509128329060802	f:0.4908716709391981
如果建军则害怕丽娟告发自己，那么丽娟告发<mask>。	m:0.5214378587950789	f:0.4785621412049211
如果建军看见她们边笑边回头望他，便知道她们是在聊自己，那么她们在聊<mask>。	m:0.5387867063529188	f:0.46121329364708114
如果他感到她又回避自己，那么她回避<mask>。	m:0.5704390733842202	f:0.42956092661577977
如果她看见建军正在一年级空无一人的教室前面等着自己，那么建军在等<mask>。	f:0.6460349522357358	m:0.3539650477642642
