如果她说这本书伤害了自己,那么这本书伤害了	f:0.33713167786430054	m:0.3314902235825441	t:0.3313780985531554
如果她说这个举动感动了自己,那么这个举动感动了	f:0.34454137052625067	m:0.3278346527541368	t:0.3276239767196125
如果他说这个举动迷惑了自己,那么这个举动迷惑了	f:0.32717142983678554	m:0.34514302135860897	t:0.32768554880460543
如果他说这个举动提醒了自己,那么这个举动提醒了	f:0.33196275633367095	m:0.33587184078238363	t:0.33216540288394536
如果她说这个举动激励了自己,那么这个举动激励了	f:0.3437540745815004	m:0.3283736347368422	t:0.32787229068165724
如果他说这个结果伤害了自己,那么这个结果伤害了	f:0.32773805952848306	m:0.3440865744321473	t:0.3281753660393697
如果他说这个结果改变了自己,那么这个结果改变了	f:0.3310828717013604	m:0.33749219009614845	t:0.3314249382024912
如果他说这个结果影响了自己,那么这个结果影响了	f:0.3293713643477231	m:0.34092993724227	t:0.3296986984100069
如果他说这个结果吸引了自己,那么这个结果吸引了	f:0.3298255267991624	m:0.34005366242019913	t:0.33012081078063843
如果他说这个结果启发了自己,那么这个结果启发了	f:0.33084289199196054	m:0.3380599641963258	t:0.3310971438117137
如果他说这个结果激励了自己,那么这个结果激励了	f:0.3287634539930643	m:0.34200612502900724	t:0.32923042097792854
如果她说这个结果刺激了自己,那么这个结果刺激了	f:0.3478586522558923	m:0.3263805286298958	t:0.32576081911421195
如果她说这个结果困扰了自己,那么这个结果困扰了	f:0.34643184599902177	m:0.3271804098676345	t:0.32638774413334376
如果她说这个结果鼓舞了自己,那么这个结果鼓舞了	f:0.35008972372989877	m:0.32525947878148115	t:0.32465079748861997
如果她说这个结果鞭策了自己,那么这个结果鞭策了	f:0.3505571638250842	m:0.3250616906087775	t:0.3243811455661383
如果她说这个结果感动了自己,那么这个结果感动了	f:0.34590517905030543	m:0.32727523960482596	t:0.32681958134486866
如果他说这个结果刺激了自己,那么这个结果刺激了	f:0.328344009691144	m:0.34276856353574153	t:0.32888742677311456
如果他说这个结果迷惑了自己,那么这个结果迷惑了	f:0.32697433199311016	m:0.3457216095934136	t:0.32730405841347626
如果她说这个结果提醒了自己,那么这个结果提醒了	f:0.3376018569631161	m:0.33139855534182516	t:0.3309995876950588
如果她说这个结果激励了自己,那么这个结果激励了	f:0.34541513822609143	m:0.32766847026039053	t:0.326916391513518
如果他说这个问题伤害了自己,那么这个问题伤害了	f:0.3268622991657463	m:0.34578471481661976	t:0.32735298601763396
如果她说这个问题改变了自己,那么这个问题改变了	f:0.33979289095288856	m:0.33021825717383013	t:0.32998885187328125
如果她说这个问题影响了自己,那么这个问题影响了	f:0.3483117025872481	m:0.32617227985020353	t:0.32551601756254844
如果她说这个问题吸引了自己,那么这个问题吸引了	f:0.34257731792425494	m:0.32898821252949784	t:0.3284344695462471
如果他说这个问题启发了自己,那么这个问题启发了	f:0.3313010596937194	m:0.3372000849477333	t:0.3314988553585474
如果他说这个问题激励了自己,那么这个问题激励了	f:0.32954900654064545	m:0.3405060165275154	t:0.3299449769318393
如果他说这个问题刺激了自己,那么这个问题刺激了	f:0.3289951947643415	m:0.34144861237844953	t:0.32955619285720905
如果他说这个问题困扰了自己,那么这个问题困扰了	f:0.328890984019284	m:0.34169199581076226	t:0.3294170201699538
如果他说这个问题鼓舞了自己,那么这个问题鼓舞了	f:0.32805948460627476	m:0.3433088377284925	t:0.32863167766523266
如果他说这个问题鞭策了自己,那么这个问题鞭策了	f:0.3295824603386295	m:0.34058858670749065	t:0.32982895295387976
如果他说这个问题感动了自己,那么这个问题感动了	f:0.3277797506660742	m:0.344023348406559	t:0.32819690092736686
如果她说这个问题迷惑了自己,那么这个问题迷惑了	f:0.35412798029412307	m:0.323040609967091	t:0.3228314097387859
如果她说这个问题提醒了自己,那么这个问题提醒了	f:0.33775180239127545	m:0.33131905961154057	t:0.33092913799718404
如果她说这句话伤害了自己,那么这句话伤害了	f:0.3367258842695593	m:0.3317210440821506	t:0.3315530716482901
如果她说这句话改变了自己,那么这句话改变了	f:0.3366293042416704	m:0.33176226554269095	t:0.33160843021563857
如果他说这句话影响了自己,那么这句话影响了	f:0.33230062073684874	m:0.33524763780753175	t:0.3324517414556195
如果他说这句话吸引了自己,那么这句话吸引了	f:0.33227371612075857	m:0.33527934300662815	t:0.3324469408726133
如果她说这句话启发了自己,那么这句话启发了	f:0.3365133714532218	m:0.33180679033439636	t:0.33167983821238195
如果她说这句话激励了自己,那么这句话激励了	f:0.33672539909950233	m:0.3317319817261383	t:0.33154261917435934
如果他说这句话刺激了自己,那么这句话刺激了	f:0.3322546213472748	m:0.33528619581701224	t:0.33245918283571296
如果他说这句话困扰了自己,那么这句话困扰了	f:0.33245641983553514	m:0.3349310806880578	t:0.3326124994764071
如果他说这句话鼓舞了自己,那么这句话鼓舞了	f:0.33226124388450307	m:0.33534327296172006	t:0.33239548315377676
如果他说这句话鞭策了自己,那么这句话鞭策了	f:0.33227373863788356	m:0.33534135702438495	t:0.3323849043377315
如果他说这句话感动了自己,那么这句话感动了	f:0.33215703671846764	m:0.33551850369623076	t:0.3323244595853016
如果他说这句话迷惑了自己,那么这句话迷惑了	f:0.3318770048479822	m:0.33606977640705826	t:0.3320532187449595
如果她说这句话提醒了自己,那么这句话提醒了	f:0.3357372493852381	m:0.3321901756561785	t:0.3320725749585834
如果他说这个事件伤害了自己,那么这个事件伤害了	f:0.32714944047741845	m:0.3450458302255479	t:0.32780472929703364
如果他说这个事件改变了自己,那么这个事件改变了	f:0.33094671766924266	m:0.3375878119139242	t:0.3314654704168332
如果他说这个事件影响了自己,那么这个事件影响了	f:0.328826371299464	m:0.34188286630465964	t:0.32929076239587635
如果她说这个事件吸引了自己,那么这个事件吸引了	f:0.3421278804927489	m:0.3292251624432046	t:0.3286469570640465
如果她说这个事件启发了自己,那么这个事件启发了	f:0.34121829238311835	m:0.32950603060255995	t:0.32927567701432175
如果她说这个事件激励了自己,那么这个事件激励了	f:0.34637260348076715	m:0.32716360998268845	t:0.3264637865365445
如果她说这个事件刺激了自己,那么这个事件刺激了	f:0.34681911110860003	m:0.3268850412271154	t:0.32629584766428454
如果她说这个事件困扰了自己,那么这个事件困扰了	f:0.34768464862364235	m:0.3265268713266674	t:0.3257884800496903
如果她说这个事件鼓舞了自己,那么这个事件鼓舞了	f:0.35540451516137034	m:0.32247129404207037	t:0.32212419079655935
如果他说这个事件鞭策了自己,那么这个事件鞭策了	f:0.3290028308639611	m:0.3416398514720416	t:0.32935731766399723
如果她说这个事件感动了自己,那么这个事件感动了	f:0.3512174690948058	m:0.32470389623082996	t:0.3240786346743642
如果他说这个事件迷惑了自己,那么这个事件迷惑了	f:0.32667836883063506	m:0.34622463828199834	t:0.3270969928873665
如果她说这个事件提醒了自己,那么这个事件提醒了	f:0.33802647416371306	m:0.33120343826872733	t:0.33077008756755966
如果他说它伤害了自己,那么它伤害了	f:0.32967940244993926	m:0.3381594495936026	t:0.33216114795645807
如果他说它改变了自己,那么它改变了	f:0.3318315110800706	m:0.33509333338382763	t:0.3330751555361018
如果她说它影响了自己,那么它影响了	f:0.3379643272660473	m:0.33053225162430305	t:0.33150342110964964
如果他说它吸引了自己,那么它吸引了	f:0.3317399190410513	m:0.33521390715863897	t:0.33304617380030965
如果他说它启发了自己,那么它启发了	f:0.3323347501645847	m:0.3344477129128155	t:0.33321753692259987
如果他说它激励了自己,那么它激励了	f:0.33117136571544825	m:0.3361776268078096	t:0.33265100747674203
如果她说它刺激了自己,那么它刺激了	f:0.3374661977826648	m:0.33058614540694414	t:0.3319476568103911
如果她说它困扰了自己,那么它困扰了	f:0.33777874438040867	m:0.33064015415558645	t:0.3315811014640049
如果她说它鼓舞了自己,那么它鼓舞了	f:0.341345712201468	m:0.3286510183844612	t:0.3300032694140708
如果她说它鞭策了自己,那么它鞭策了	f:0.33886028948624647	m:0.3302482661650973	t:0.3308914443486562
如果她说它感动了自己,那么它感动了	f:0.33891006734454043	m:0.3296910993150744	t:0.3313988333403853
如果他说它刺激了自己,那么它刺激了	f:0.33092961154587885	m:0.33585414586262397	t:0.3332162425914972
如果她说它迷惑了自己,那么它迷惑了	f:0.34142896444765336	m:0.3286348178851327	t:0.3299362176672139
如果她说它提醒了自己,那么它提醒了	f:0.3356622351992927	m:0.33201488859565287	t:0.3323228762050544
