假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.7041130507589414	f:0.2958869492410585
假如他说她接近自己,那么她接近[MASK]。	m:0.6767199135879339	f:0.323280086412066
假如他说她看望自己,那么她看望[MASK]。	m:0.6795451185190969	f:0.320454881480903
假如他说她捞自己,那么她捞[MASK]。	m:0.5983295737435078	f:0.40167042625649224
假如他说她欢迎自己,那么她欢迎[MASK]。	m:0.6758116813919058	f:0.3241883186080942
假如他说她勾引自己,那么她勾引[MASK]。	m:0.6760760336641103	f:0.32392396633588966
假如他说她勾结自己,那么她勾结[MASK]。	m:0.67546784317726	f:0.32453215682273995
假如他说她等自己,那么她等[MASK]。	m:0.6672496374067213	f:0.3327503625932788
假如他说她等候自己,那么她等候[MASK]。	m:0.6802166111550569	f:0.31978338884494306
假如他说她挤自己,那么她挤[MASK]。	m:0.6782042997761566	f:0.32179570022384346
假如他说她排挤自己,那么她排挤[MASK]。	m:0.7030425653064319	f:0.29695743469356806
假如他说她欺压自己,那么她欺压[MASK]。	m:0.6976452405533068	f:0.3023547594466932
假如他说她探望自己,那么她探望[MASK]。	m:0.6900465389426543	f:0.30995346105734567
假如他说她信任自己,那么她信任[MASK]。	m:0.6886450095630462	f:0.3113549904369538
假如他说她响应自己,那么她响应[MASK]。	m:0.6779694637236873	f:0.32203053627631284
假如他说她学习自己,那么她学习[MASK]。	m:0.5999945182790386	f:0.4000054817209614
假如他说她咬自己,那么她咬[MASK]。	m:0.6895238785584663	f:0.3104761214415338
假如他说她消灭自己,那么她消灭[MASK]。	m:0.6708373726418226	f:0.32916262735817725
假如他说她追赶自己,那么她追赶[MASK]。	m:0.6917974511548369	f:0.3082025488451631
假如他说她追求自己,那么她追求[MASK]。	m:0.6319580493418615	f:0.3680419506581385
假如他说她阻挡自己,那么她阻挡[MASK]。	m:0.6690038243739587	f:0.3309961756260412
假如他说她孝敬自己,那么她孝敬[MASK]。	m:0.6891520258153113	f:0.31084797418468874
假如他说她赢自己,那么她赢[MASK]。	m:0.5039383471408497	f:0.4960616528591503
假如他说她招呼自己,那么她招呼[MASK]。	m:0.700497523718919	f:0.2995024762810809
假如他说她指导自己,那么她指导[MASK]。	m:0.6751265470646676	f:0.3248734529353324
假如他说她支援自己,那么她支援[MASK]。	m:0.6922153306176843	f:0.30778466938231575
假如他说她替换自己,那么她替换[MASK]。	m:0.6815601942696992	f:0.31843980573030084
假如他说她通知自己,那么她通知[MASK]。	m:0.6800491148854269	f:0.31995088511457315
假如他说她吸引自己,那么她吸引[MASK]。	m:0.6771861666223736	f:0.32281383337762637
假如他说她影响自己,那么她影响[MASK]。	m:0.6887089875051907	f:0.3112910124948094
假如他说她杀害自己,那么她杀害[MASK]。	m:0.6825421156101659	f:0.31745788438983413
假如他说她赔偿自己,那么她赔偿[MASK]。	m:0.6962535690191513	f:0.30374643098084864
假如他说她衬托自己,那么她衬托[MASK]。	m:0.68518814030141	f:0.31481185969859005
假如他说她扣留自己,那么她扣留[MASK]。	m:0.6652401008133522	f:0.3347598991866478
假如他说她恐吓自己,那么她恐吓[MASK]。	m:0.6868148286441764	f:0.3131851713558235
假如他说她联络自己,那么她联络[MASK]。	m:0.6883382440402182	f:0.31166175595978196
假如他说她忍受自己,那么她忍受[MASK]。	m:0.6600650566847852	f:0.33993494331521473
假如他说她请示自己,那么她请示[MASK]。	m:0.6908553890769091	f:0.3091446109230909
假如他说她算计自己,那么她算计[MASK]。	m:0.6861685901187514	f:0.3138314098812486
