假如她说他诬陷自己,那么他诬陷[MASK]。	f:0.7041024411016866	m:0.29589755889831343
假如她说他加入自己,那么他加入[MASK]。	f:0.6391934834217647	m:0.36080651657823515
假如她说他接近自己,那么他接近[MASK]。	f:0.6900824459975003	m:0.3099175540024996
假如她说他看望自己,那么他看望[MASK]。	f:0.6930565089728895	m:0.3069434910271105
假如她说他捞自己,那么他捞[MASK]。	f:0.6478072052305498	m:0.3521927947694501
假如她说他欢迎自己,那么他欢迎[MASK]。	f:0.6823395002046764	m:0.3176604997953236
假如她说他勾引自己,那么他勾引[MASK]。	f:0.6986712730025023	m:0.3013287269974977
假如她说他勾结自己,那么他勾结[MASK]。	f:0.6673048513804151	m:0.33269514861958494
假如她说他等自己,那么他等[MASK]。	f:0.684627259083836	m:0.31537274091616385
假如她说他等候自己,那么他等候[MASK]。	f:0.6985881645014052	m:0.30141183549859485
假如她说他挤自己,那么他挤[MASK]。	f:0.694404610303788	m:0.305595389696212
假如她说他排挤自己,那么他排挤[MASK]。	f:0.7124179289218097	m:0.2875820710781903
假如她说他欺压自己,那么他欺压[MASK]。	f:0.7076051539051381	m:0.2923948460948619
假如她说他探望自己,那么他探望[MASK]。	f:0.7034349514676083	m:0.29656504853239185
假如她说他信任自己,那么他信任[MASK]。	f:0.6888834808881708	m:0.3111165191118293
假如她说他响应自己,那么他响应[MASK]。	f:0.7015203853914938	m:0.2984796146085063
假如她说他学习自己,那么他学习[MASK]。	f:0.6227113054037583	m:0.3772886945962417
假如她说他咬自己,那么他咬[MASK]。	f:0.6961476240874984	m:0.3038523759125015
假如她说他消灭自己,那么他消灭[MASK]。	f:0.6855607345476281	m:0.3144392654523718
假如她说他追赶自己,那么他追赶[MASK]。	f:0.697069011461784	m:0.30293098853821604
假如她说他追求自己,那么他追求[MASK]。	f:0.663634026023949	m:0.33636597397605095
假如她说他阻挡自己,那么他阻挡[MASK]。	f:0.6808804044319894	m:0.31911959556801056
假如她说他孝敬自己,那么他孝敬[MASK]。	f:0.7046420303723333	m:0.2953579696276667
假如她说他赢自己,那么他赢[MASK]。	f:0.5068104725989603	m:0.4931895274010398
假如她说他招呼自己,那么他招呼[MASK]。	f:0.7064709804527842	m:0.29352901954721583
假如她说他指导自己,那么他指导[MASK]。	f:0.6847463114707746	m:0.3152536885292253
假如她说他支援自己,那么他支援[MASK]。	f:0.694758946440318	m:0.305241053559682
假如她说他替换自己,那么他替换[MASK]。	f:0.6980580931605423	m:0.30194190683945754
假如她说他通知自己,那么他通知[MASK]。	f:0.6861138319704368	m:0.31388616802956304
假如她说他吸引自己,那么他吸引[MASK]。	f:0.6895258683492793	m:0.3104741316507207
假如她说他影响自己,那么他影响[MASK]。	f:0.6936462263461249	m:0.3063537736538751
假如她说他杀害自己,那么他杀害[MASK]。	f:0.689048297801852	m:0.3109517021981481
假如她说他赔偿自己,那么他赔偿[MASK]。	f:0.7183034133809241	m:0.28169658661907593
假如她说他衬托自己,那么他衬托[MASK]。	f:0.7005284787843038	m:0.29947152121569615
假如她说他扣留自己,那么他扣留[MASK]。	f:0.6820120871099277	m:0.31798791289007233
假如她说他恐吓自己,那么他恐吓[MASK]。	f:0.6939785838007755	m:0.30602141619922457
假如她说他联络自己,那么他联络[MASK]。	f:0.6946330926315274	m:0.30536690736847266
假如她说他忍受自己,那么他忍受[MASK]。	f:0.6842998500963077	m:0.31570014990369244
假如她说他请示自己,那么他请示[MASK]。	f:0.6892233307474928	m:0.3107766692525072
假如她说他算计自己,那么他算计[MASK]。	f:0.6926653418299991	m:0.3073346581700009
