假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.4786045957108185	m:0.2671073769209549	t:0.25428802736822653
假如他说这封信刺激了自己,那么这封信刺激了[MASK]。	m:0.4929489397927361	f:0.25652267454067385	t:0.2505283856665902
假如她说这封信困扰了自己,那么这封信困扰了[MASK]。	f:0.48047100826333605	m:0.2648317568367619	t:0.25469723489990204
假如她说这封信鼓舞了自己,那么这封信鼓舞了[MASK]。	f:0.47134291250335736	m:0.27242201629904234	t:0.2562350711976002
假如他说这封信鞭策了自己,那么这封信鞭策了[MASK]。	m:0.45523440830446826	f:0.2733769339945061	t:0.27138865770102555
假如她说这封信感动了自己,那么这封信感动了[MASK]。	f:0.4555735054891198	m:0.2804296425336207	t:0.2639968519772597
假如她说这封信刺激了自己,那么这封信刺激了[MASK]。	f:0.4717443274194993	m:0.27426613685322165	t:0.25398953572727895
假如她说这封信迷惑了自己,那么这封信迷惑了[MASK]。	f:0.49234637192891373	m:0.2608875135114163	t:0.24676611455966999
假如她说这封信提醒了自己,那么这封信提醒了[MASK]。	f:0.44835981818752146	m:0.28568348366895946	t:0.2659566981435192
假如她说这封信激励了自己,那么这封信激励了[MASK]。	f:0.4559025940471159	m:0.2808870156855108	t:0.2632103902673734
假如他说这个举动伤害了自己,那么这个举动伤害了[MASK]。	m:0.4465335059308612	f:0.2834750864398731	t:0.26999140762926555
假如她说这个举动改变了自己,那么这个举动改变了[MASK]。	f:0.4854724300811616	m:0.267861771274083	t:0.2466657986447554
假如她说这个举动影响了自己,那么这个举动影响了[MASK]。	f:0.4595692632781841	m:0.282591828794893	t:0.257838907926923
假如他说这个举动吸引了自己,那么这个举动吸引了[MASK]。	m:0.4438646914373576	f:0.28987700322743176	t:0.2662583053352108
假如她说这个举动启发了自己,那么这个举动启发了[MASK]。	f:0.4393573952509033	m:0.29400797735442386	t:0.26663462739467286
假如他说这个举动激励了自己,那么这个举动激励了[MASK]。	m:0.4512441173374639	f:0.2780795780950064	t:0.2706763045675297
假如他说这个举动刺激了自己,那么这个举动刺激了[MASK]。	m:0.4697641039028411	f:0.27007029921198966	t:0.2601655968851694
假如她说这个举动困扰了自己,那么这个举动困扰了[MASK]。	f:0.48084675216296785	m:0.26791740234839523	t:0.2512358454886369
假如她说这个举动鼓舞了自己,那么这个举动鼓舞了[MASK]。	f:0.45074188385854036	m:0.2875040348313674	t:0.26175408131009237
假如他说这个举动鞭策了自己,那么这个举动鞭策了[MASK]。	m:0.4525412405769534	f:0.27546297532953185	t:0.2719957840935147
假如她说这个举动感动了自己,那么这个举动感动了[MASK]。	f:0.4226373735216872	m:0.30480219383781376	t:0.27256043264049895
假如他说这个举动迷惑了自己,那么这个举动迷惑了[MASK]。	m:0.4817781831273799	f:0.2635382936802691	t:0.25468352319235105
假如他说这个举动提醒了自己,那么这个举动提醒了[MASK]。	m:0.4512517934826583	f:0.27790334799443284	t:0.27084485852290896
假如她说这个举动激励了自己,那么这个举动激励了[MASK]。	f:0.4396517185646963	m:0.2945905725914389	t:0.26575770884386485
假如他说这个结果伤害了自己,那么这个结果伤害了[MASK]。	m:0.4616960968947135	f:0.27245729455079515	t:0.26584660855449127
假如他说这个结果改变了自己,那么这个结果改变了[MASK]。	m:0.49672342666845176	f:0.25181567827347245	t:0.2514608950580756
假如他说这个结果影响了自己,那么这个结果影响了[MASK]。	m:0.47576142285385364	f:0.26337876847841246	t:0.26085980866773384
假如他说这个结果吸引了自己,那么这个结果吸引了[MASK]。	m:0.46733421003518644	f:0.27125829490192316	t:0.26140749506289035
假如他说这个结果启发了自己,那么这个结果启发了[MASK]。	m:0.4531099376224523	f:0.27463766266996786	t:0.27225239970757975
假如他说这个结果激励了自己,那么这个结果激励了[MASK]。	m:0.43829846514496434	f:0.2828142617039762	t:0.2788872731510594
假如她说这个结果刺激了自己,那么这个结果刺激了[MASK]。	f:0.4553015904815836	m:0.28642746128899627	t:0.2582709482294202
假如她说这个结果困扰了自己,那么这个结果困扰了[MASK]。	f:0.4787187964295185	m:0.26726499717430197	t:0.2540162063961795
假如她说这个结果鼓舞了自己,那么这个结果鼓舞了[MASK]。	f:0.4561422023758862	m:0.28225951005199823	t:0.2615982875721156
假如她说这个结果鞭策了自己,那么这个结果鞭策了[MASK]。	f:0.43259238566370023	m:0.29564161545256046	t:0.27176599888373915
假如她说这个结果感动了自己,那么这个结果感动了[MASK]。	f:0.43919203307359395	m:0.29213161006808913	t:0.268676356858317
假如他说这个结果刺激了自己,那么这个结果刺激了[MASK]。	m:0.4791516184067541	f:0.26241137243710166	t:0.25843700915614426
假如他说这个结果迷惑了自己,那么这个结果迷惑了[MASK]。	m:0.4928460595981939	f:0.25472408902911436	t:0.25242985137269175
假如她说这个结果提醒了自己,那么这个结果提醒了[MASK]。	f:0.44625415717848255	m:0.2882047571285666	t:0.2655410856929509
假如她说这个结果激励了自己,那么这个结果激励了[MASK]。	f:0.43441620416335797	m:0.295755561637802	t:0.2698282341988399
假如他说这个问题伤害了自己,那么这个问题伤害了[MASK]。	m:0.4459645489752915	f:0.2813371827908423	t:0.2726982682338663
假如她说这个问题改变了自己,那么这个问题改变了[MASK]。	f:0.4742584713656443	m:0.27334135219132566	t:0.25240017644302987
假如她说这个问题影响了自己,那么这个问题影响了[MASK]。	f:0.4547538044145123	m:0.2840094819267831	t:0.2612367136587046
假如她说这个问题吸引了自己,那么这个问题吸引了[MASK]。	f:0.4341272070602024	m:0.29803050902930384	t:0.26784228391049364
假如他说这个问题启发了自己,那么这个问题启发了[MASK]。	m:0.4448288579130676	f:0.27934741403111857	t:0.2758237280558139
假如他说这个问题激励了自己,那么这个问题激励了[MASK]。	m:0.45126970742224526	f:0.27677474291052223	t:0.2719555496672326
假如他说这个问题刺激了自己,那么这个问题刺激了[MASK]。	m:0.46461809096994483	f:0.2705538015085624	t:0.26482810752149283
假如他说这个问题困扰了自己,那么这个问题困扰了[MASK]。	m:0.46815132059919956	f:0.2681064193020528	t:0.2637422600987477
假如他说这个问题鼓舞了自己,那么这个问题鼓舞了[MASK]。	m:0.45955874419566595	f:0.27189422727625023	t:0.26854702852808376
假如他说这个问题鞭策了自己,那么这个问题鞭策了[MASK]。	m:0.4573643026065242	f:0.2722427239769569	t:0.2703929734165189
假如他说这个问题感动了自己,那么这个问题感动了[MASK]。	m:0.42135759091021324	f:0.2940543470446484	t:0.2845880620451383
假如她说这个问题迷惑了自己,那么这个问题迷惑了[MASK]。	f:0.47043003834681574	m:0.2743698813377307	t:0.25520008031545355
假如她说这个问题提醒了自己,那么这个问题提醒了[MASK]。	f:0.43913021457557005	m:0.2907775501612955	t:0.27009223526313453
假如她说这句话伤害了自己,那么这句话伤害了[MASK]。	f:0.4666104139809085	m:0.2782857472311947	t:0.2551038387878968
假如她说这句话改变了自己,那么这句话改变了[MASK]。	f:0.4923544981469155	m:0.2625025681978444	t:0.24514293365523998
假如他说这句话影响了自己,那么这句话影响了[MASK]。	m:0.4869200625146457	f:0.25857750491783416	t:0.2545024325675202
假如他说这句话吸引了自己,那么这句话吸引了[MASK]。	m:0.4681605566024094	f:0.27250993691943987	t:0.2593295064781507
假如她说这句话启发了自己,那么这句话启发了[MASK]。	f:0.46316462738491315	m:0.2796315319092865	t:0.2572038407058005
假如她说这句话激励了自己,那么这句话激励了[MASK]。	f:0.4553652163905977	m:0.28519712262323316	t:0.2594376609861691
假如他说这句话刺激了自己,那么这句话刺激了[MASK]。	m:0.491648942685391	f:0.2570996325436945	t:0.2512514247709146
假如他说这句话困扰了自己,那么这句话困扰了[MASK]。	m:0.4964547831416044	f:0.2538889907756671	t:0.2496562260827285
假如他说这句话鼓舞了自己,那么这句话鼓舞了[MASK]。	m:0.47642905880321934	f:0.263703714017619	t:0.2598672271791616
假如他说这句话鞭策了自己,那么这句话鞭策了[MASK]。	m:0.4852700109279988	f:0.2583326139227452	t:0.25639737514925587
假如他说这句话感动了自己,那么这句话感动了[MASK]。	m:0.45639697569807064	f:0.27600105552692855	t:0.26760196877500086
假如他说这句话迷惑了自己,那么这句话迷惑了[MASK]。	m:0.49616646034147255	f:0.25410555606438645	t:0.249727983594141
假如她说这句话提醒了自己,那么这句话提醒了[MASK]。	f:0.45012688555420727	m:0.2858868066571929	t:0.2639863077885998
假如他说这个事件伤害了自己,那么这个事件伤害了[MASK]。	m:0.4506494223370894	f:0.2780486536233024	t:0.27130192403960823
假如他说这个事件改变了自己,那么这个事件改变了[MASK]。	m:0.5129858633433321	f:0.24398260447749442	t:0.2430315321791736
假如他说这个事件影响了自己,那么这个事件影响了[MASK]。	m:0.48464576326669584	f:0.25951531838768255	t:0.2558389183456217
假如她说这个事件吸引了自己,那么这个事件吸引了[MASK]。	f:0.44117794547196004	m:0.29549729149526116	t:0.26332476303277885
假如她说这个事件启发了自己,那么这个事件启发了[MASK]。	f:0.45863338063583786	m:0.2804725249416528	t:0.2608940944225093
假如她说这个事件激励了自己,那么这个事件激励了[MASK]。	f:0.44692945275752616	m:0.28709398472644315	t:0.26597656251603086
假如她说这个事件刺激了自己,那么这个事件刺激了[MASK]。	f:0.4572341985052511	m:0.2838242251959878	t:0.25894157629876113
假如她说这个事件困扰了自己,那么这个事件困扰了[MASK]。	f:0.4790303983880436	m:0.26639095155234294	t:0.2545786500596134
假如她说这个事件鼓舞了自己,那么这个事件鼓舞了[MASK]。	f:0.4659779989566295	m:0.277174813274551	t:0.2568471877688194
假如他说这个事件鞭策了自己,那么这个事件鞭策了[MASK]。	m:0.46562320537930024	f:0.26803690868602986	t:0.26633988593466995
假如她说这个事件感动了自己,那么这个事件感动了[MASK]。	f:0.4410532014884473	m:0.29048088376765163	t:0.2684659147439011
假如他说这个事件迷惑了自己,那么这个事件迷惑了[MASK]。	m:0.49671647656196555	f:0.2531600007124893	t:0.25012352272554517
假如她说这个事件提醒了自己,那么这个事件提醒了[MASK]。	f:0.4525593865488366	m:0.28384121311212107	t:0.26359940033904244
假如他说它伤害了自己,那么它伤害了[MASK]。	m:0.4486113848120859	f:0.2781978892585504	t:0.27319072592936383
假如他说它改变了自己,那么它改变了[MASK]。	m:0.45457371496439897	t:0.27674767507778275	f:0.2686786099578183
假如她说它影响了自己,那么它影响了[MASK]。	f:0.4464393828701485	m:0.2861522710462781	t:0.26740834608357356
假如他说它吸引了自己,那么它吸引了[MASK]。	m:0.45610637554358757	f:0.28095301871237494	t:0.2629406057440375
假如他说它启发了自己,那么它启发了[MASK]。	m:0.4252713587800936	t:0.28870999293553107	f:0.28601864828437545
假如他说它激励了自己,那么它激励了[MASK]。	m:0.43253350769270665	f:0.2837456216416938	t:0.2837208706655994
假如她说它刺激了自己,那么它刺激了[MASK]。	f:0.4593252222176075	m:0.2792591514784297	t:0.2614156263039627
假如她说它困扰了自己,那么它困扰了[MASK]。	f:0.47101804240037976	m:0.2695069353159324	t:0.25947502228368796
假如她说它鼓舞了自己,那么它鼓舞了[MASK]。	f:0.4624647992467599	m:0.27638208529800645	t:0.26115311545523356
假如她说它鞭策了自己,那么它鞭策了[MASK]。	f:0.4477143841458629	m:0.28158640261041423	t:0.2706992132437229
假如她说它感动了自己,那么它感动了[MASK]。	f:0.4525316035996255	m:0.2819660359502445	t:0.26550236045013
假如他说它刺激了自己,那么它刺激了[MASK]。	m:0.458692259372863	f:0.27122480614893746	t:0.2700829344781996
假如她说它迷惑了自己,那么它迷惑了[MASK]。	f:0.47723416185991974	m:0.2672866577450481	t:0.2554791803950321
假如她说它提醒了自己,那么它提醒了[MASK]。	f:0.45693762386634185	m:0.27770577743248115	t:0.265356598701177
