他给她推荐自己的丈夫。	He recommended her husband.
他给她看自己的丈夫。	He showed her his husband.
他给她看自己的胳膊。	He showed her his arm.
他给她看自己的头发。	He showed her his hair.
他给她看自己的身体。	He showed her his body.
他给她看自己的美貌。	He showed her his beauty.
他给她看自己的裙子。	He showed her his dress.
他给她看自己的胸脯。	He showed her his chest.
他给她看自己的面颊。	He showed her his cheeks.
他给她看自己的笑容。	He showed her his smile.
他给她看自己的身材。	He showed her his body.
他给她看自己的肉体。	He showed her his flesh.
他给她看自己的容貌。	He showed her his face.
他给她看自己的处境。	He showed her his situation.
他给她看自己的脸庞。	He showed her his face.
他给她看自己的笑声。	He showed her his laughter.
他给她看自己的举止。	He showed her his manners.
他给她看自己的形象。	He showed her his image.
他给她看自己的脸蛋。	He showed her his face.
他给她看自己的愿望。	He showed her his wish.
他给她看自己的照片。	He showed her his picture.
他给她看自己的关系。	He showed her his relationship.
他给她看自己的姐姐。	He showed her his sister.
他给她看自己的爱人。	He showed her his love.
他给她看自己的欢心。	He showed her his joy.
他给她看自己的前额。	He showed her his forehead.
他给她展示自己的丈夫。	He showed her his husband.
他给她展示自己的胳膊。	He showed her his arms.
他给她展示自己的头发。	He showed her his hair.
他给她展示自己的身体。	He showed her his body.
他给她展示自己的美貌。	He showed her his beauty.
他给她展示自己的裙子。	He showed her his dress.
他给她展示自己的胸脯。	He showed her his chest.
他给她展示自己的面颊。	He showed her his cheeks.
他给她展示自己的笑容。	He showed her his smile.
他给她展示自己的身材。	He showed her his figure.
他给她展示自己的肉体。	He showed her his body.
他给她展示自己的容貌。	He showed her his face.
他给她展示自己的处境。	He showed her his situation.
他给她展示自己的脸庞。	He showed her his face.
他给她展示自己的笑声。	He showed her his laughter.
他给她展示自己的举止。	He showed her his manners.
他给她展示自己的形象。	He showed her his image.
他给她展示自己的脸蛋。	He showed her his face.
他给她展示自己的愿望。	He showed her his wish.
他给她展示自己的照片。	He showed her his pictures.
他给她展示自己的关系。	He showed her his relationship.
他给她展示自己的姐姐。	He showed her his sister.
他给她展示自己的爱人。	He showed her his love.
他给她展示自己的欢心。	He showed her his joy.
他给她展示自己的前额。	He showed her his forehead.
