如果她说这本书伤害了自己,那么这本书伤害了	f:0.33471486620741153	m:0.33301555065385163	t:0.3322695831387369
如果她说这个举动影响了自己,那么这个举动影响了	f:0.3374587646423747	m:0.331145632976049	t:0.3313956023815763
如果他说这个举动吸引了自己,那么这个举动吸引了	f:0.33107219182909886	m:0.3370687387482371	t:0.331859069422664
如果她说这个举动启发了自己,那么这个举动启发了	f:0.34176317052026256	m:0.32884799913832485	t:0.3293888303414126
如果他说这个举动激励了自己,那么这个举动激励了	f:0.33108831256668	m:0.337095832608726	t:0.3318158548245941
如果他说这个举动刺激了自己,那么这个举动刺激了	f:0.33110798557935	m:0.33679290476388396	t:0.33209910965676603
如果她说这个举动困扰了自己,那么这个举动困扰了	f:0.340989620729535	m:0.3293823391302812	t:0.3296280401401838
如果她说这个举动鼓舞了自己,那么这个举动鼓舞了	f:0.3388400986422405	m:0.3303467013205314	t:0.33081320003722803
如果他说这个举动鞭策了自己,那么这个举动鞭策了	f:0.3317735217070553	m:0.3354866514834222	t:0.3327398268095225
如果她说这个举动感动了自己,那么这个举动感动了	f:0.3408440122520542	m:0.3294122484090991	t:0.32974373933884676
如果他说这个举动迷惑了自己,那么这个举动迷惑了	f:0.32963598653887294	m:0.33992510667094633	t:0.3304389067901808
如果他说这个举动提醒了自己,那么这个举动提醒了	f:0.32924904605381333	m:0.34045957036488117	t:0.3302913835813055
如果她说这个举动激励了自己,那么这个举动激励了	f:0.33969099482980936	m:0.330012457457177	t:0.3302965477130137
如果他说这个结果伤害了自己,那么这个结果伤害了	f:0.3291144348279434	m:0.34082442406392266	t:0.330061141108134
如果他说这个结果改变了自己,那么这个结果改变了	f:0.33132601615775586	m:0.3366170019843547	t:0.33205698185788945
如果他说这个结果影响了自己,那么这个结果影响了	f:0.3307395034458122	m:0.3372741505906851	t:0.33198634596350257
如果他说这个结果吸引了自己,那么这个结果吸引了	f:0.3301795975074736	m:0.338353129012142	t:0.3314672734803844
如果他说这个结果启发了自己,那么这个结果启发了	f:0.3304227166599849	m:0.3378648654443709	t:0.33171241789564415
如果他说这个结果激励了自己,那么这个结果激励了	f:0.33140033309997446	m:0.33647079760557297	t:0.3321288692944525
如果她说这个结果刺激了自己,那么这个结果刺激了	f:0.33712079667670375	m:0.3311197074419187	t:0.3317594958813775
如果她说这个结果困扰了自己,那么这个结果困扰了	f:0.3402446038312617	m:0.32971623304413017	t:0.3300391631246082
如果她说这个结果鼓舞了自己,那么这个结果鼓舞了	f:0.33639857566778825	m:0.33142504179316234	t:0.3321763825390494
如果她说这个结果鞭策了自己,那么这个结果鞭策了	f:0.33546589170736285	m:0.3318647273221869	t:0.3326693809704502
如果她说这个结果感动了自己,那么这个结果感动了	f:0.34000164308898667	m:0.32977813657518384	t:0.3302202203358294
如果他说这个结果刺激了自己,那么这个结果刺激了	f:0.33098470207828595	m:0.33679411126068826	t:0.33222118666102574
如果他说这个结果迷惑了自己,那么这个结果迷惑了	f:0.32992576258168343	m:0.3390788445613586	t:0.33099539285695795
如果她说这个结果提醒了自己,那么这个结果提醒了	f:0.34637626902689483	m:0.3265061221872602	t:0.32711760878584495
如果她说这个结果激励了自己,那么这个结果激励了	f:0.3370252909371888	m:0.33132988825492743	t:0.3316448208078839
如果他说这个问题伤害了自己,那么这个问题伤害了	f:0.32994007358665395	m:0.33933226884412343	t:0.3307276575692227
如果她说这个问题改变了自己,那么这个问题改变了	f:0.33736331173044903	m:0.3311644805287518	t:0.33147220774079916
如果她说这个问题影响了自己,那么这个问题影响了	f:0.33728018447874536	m:0.3311960581942649	t:0.3315237573269898
如果她说这个问题吸引了自己,那么这个问题吸引了	f:0.33752343814570923	m:0.33108459046912325	t:0.3313919713851674
如果他说这个问题启发了自己,那么这个问题启发了	f:0.33118009141530486	m:0.3365927959825314	t:0.33222711260216364
如果他说这个问题激励了自己,那么这个问题激励了	f:0.33093884251439926	m:0.3372512057943477	t:0.3318099516912531
如果他说这个问题刺激了自己,那么这个问题刺激了	f:0.33144009178947714	m:0.3362764003348148	t:0.3322835078757081
如果他说这个问题困扰了自己,那么这个问题困扰了	f:0.3303373748121872	m:0.33878751149458847	t:0.3308751136932244
如果他说这个问题鼓舞了自己,那么这个问题鼓舞了	f:0.331753270406802	m:0.3355912013172663	t:0.33265552827593176
如果他说这个问题鞭策了自己,那么这个问题鞭策了	f:0.3324622527408084	m:0.33437328276113293	t:0.3331644644980587
如果他说这个问题感动了自己,那么这个问题感动了	f:0.33085715980526564	m:0.33751705791128683	t:0.3316257822834475
如果她说这个问题迷惑了自己,那么这个问题迷惑了	f:0.34052810245697146	m:0.32956951765504	t:0.32990237988798854
如果她说这个问题提醒了自己,那么这个问题提醒了	f:0.3458379180649385	m:0.32687784360531696	t:0.3272842383297446
如果她说这句话伤害了自己,那么这句话伤害了	f:0.33562671392115645	m:0.3322639069717941	t:0.33210937910704946
如果她说这句话改变了自己,那么这句话改变了	f:0.33706499071624846	m:0.33134392640346494	t:0.33159108288028666
如果他说这句话影响了自己,那么这句话影响了	f:0.33204851879840186	m:0.33537244212087575	t:0.3325790390807224
如果他说这句话吸引了自己,那么这句话吸引了	f:0.3313084441753105	m:0.3365519202271728	t:0.3321396355975167
如果她说这句话启发了自己,那么这句话启发了	f:0.33577710319337306	m:0.33198530916237956	t:0.3322375876442473
如果她说这句话激励了自己,那么这句话激励了	f:0.3361811464778665	m:0.3318291197186795	t:0.331989733803454
如果他说这句话刺激了自己,那么这句话刺激了	f:0.3324480919562579	m:0.33465606418997396	t:0.3328958438537682
如果他说这句话困扰了自己,那么这句话困扰了	f:0.3319994785620367	m:0.33557929038981776	t:0.3324212310481456
如果他说这句话鼓舞了自己,那么这句话鼓舞了	f:0.33242073181545084	m:0.33454052494279407	t:0.33303874324175514
如果他说这句话鞭策了自己,那么这句话鞭策了	f:0.3328135421534158	m:0.33391774029953114	t:0.33326871754705295
如果他说这句话感动了自己,那么这句话感动了	f:0.33212313282587735	m:0.3352823815481774	t:0.33259448562594524
如果他说这句话迷惑了自己,那么这句话迷惑了	f:0.33254075058366417	m:0.3345313461802813	t:0.3329279032360545
如果她说这句话提醒了自己,那么这句话提醒了	f:0.33675397021160774	m:0.3315333303883925	t:0.33171269939999976
如果他说这个事件伤害了自己,那么这个事件伤害了	f:0.32968901646566323	m:0.33987267821270695	t:0.33043830532162977
如果他说这个事件改变了自己,那么这个事件改变了	f:0.33195094932026215	m:0.3353724760537668	t:0.33267657462597106
如果他说这个事件影响了自己,那么这个事件影响了	f:0.3312174228185532	m:0.33662536854932806	t:0.3321572086321188
如果她说这个事件吸引了自己,那么这个事件吸引了	f:0.3362447522747727	m:0.3317342167003952	t:0.332021031024832
如果她说这个事件启发了自己,那么这个事件启发了	f:0.33949226225498885	m:0.3299178671049412	t:0.33058987064006995
如果她说这个事件激励了自己,那么这个事件激励了	f:0.3375271183368416	m:0.3310764523959567	t:0.3313964292672017
如果她说这个事件刺激了自己,那么这个事件刺激了	f:0.3369371140387436	m:0.3313537363719415	t:0.33170914958931497
如果她说这个事件困扰了自己,那么这个事件困扰了	f:0.3407558076994556	m:0.32954304627139724	t:0.32970114602914724
如果她说这个事件鼓舞了自己,那么这个事件鼓舞了	f:0.3376245637809578	m:0.33087534554873754	t:0.3315000906703047
如果他说这个事件鞭策了自己,那么这个事件鞭策了	f:0.33220247329024216	m:0.33457233058383873	t:0.3332251961259191
如果她说这个事件感动了自己,那么这个事件感动了	f:0.33896152483460895	m:0.330382638047682	t:0.3306558371177091
如果他说这个事件迷惑了自己,那么这个事件迷惑了	f:0.3305337248847692	m:0.33811031189860047	t:0.33135596321663036
如果她说这个事件提醒了自己,那么这个事件提醒了	f:0.3460827668277408	m:0.3267799421415608	t:0.3271372910306984
如果他说它伤害了自己,那么它伤害了	f:0.3297136435527065	m:0.33460468868877996	t:0.33568166775851355
如果他说它改变了自己,那么它改变了	f:0.33054750849751763	m:0.33205844508914395	t:0.3373940464133385
如果她说它影响了自己,那么它影响了	f:0.3331876961423143	m:0.33059589415850654	t:0.3362164096991792
如果他说它吸引了自己,那么它吸引了	f:0.33123052754960325	m:0.33361450291421885	t:0.33515496953617796
如果他说它启发了自己,那么它启发了	f:0.3289115186631635	m:0.33084547973172834	t:0.34024300160510823
如果他说它激励了自己,那么它激励了	f:0.33058422375375546	m:0.33233897797413103	t:0.3370767982721135
如果她说它刺激了自己,那么它刺激了	f:0.3338803808541221	m:0.330895203812763	t:0.33522441533311503
如果她说它困扰了自己,那么它困扰了	f:0.3363915765599981	m:0.3293016793727563	t:0.3343067440672456
如果她说它鼓舞了自己,那么它鼓舞了	f:0.3342363340657572	m:0.3297272523558586	t:0.3360364135783841
如果她说它鞭策了自己,那么它鞭策了	f:0.33391125664268295	m:0.3302182233101976	t:0.3358705200471195
如果她说它感动了自己,那么它感动了	f:0.3341390068906324	m:0.3299678445427239	t:0.33589314856664376
如果他说它刺激了自己,那么它刺激了	f:0.33091046360148985	m:0.3330267957599762	t:0.3360627406385339
如果她说它迷惑了自己,那么它迷惑了	f:0.33638643272085544	m:0.3284052162057474	t:0.3352083510733971
如果她说它提醒了自己,那么它提醒了	f:0.3355613992967125	m:0.3258165834779052	t:0.33862201722538227
