如果不管他是否原谅他自己,那么他是否原谅他	f:0.49689749049614873	m:0.5031025095038514
如果别这么心慌，雅夏尔，他劝他自己,那么么心慌，雅夏尔，他劝他	f:0.49116558467824756	m:0.5088344153217524
如果是相信我胜过相信他自己,那么信我胜过相信他	f:0.4993395621471004	m:0.5006604378528996
如果接下来，只等着大下巴的人介绍他自己了,那么来，只等着大下巴的人介绍他自	f:0.49777673676614803	m:0.502223263233852
如果王子在打扮他自己了,那么在打扮他自	f:0.49212833621209506	m:0.5078716637879049
如果这时候他说到他自己了,那么候他说到他自	f:0.49467005070622916	m:0.5053299492937708
如果既然家有信来，还是要好好替他打算一下，把利害说给他，取决当然在于他自己了,那么家有信来，还是要好好替他打算一下，把利害说给他，取决当然在于他自	f:0.4991215487005184	m:0.5008784512994816
如果杰夫劝他自己保管，或者早点回家，以免那些不怀好意的庄稼汉钻进来骗了去,那么劝他自己保管，或者早点回家，以免那些不怀好意的庄稼汉钻进来骗	f:0.49962190881636803	m:0.500378091183632
如果宰相您问他自己去，听他回答您什么吧,那么您问他自己去，听他回答您什	f:0.498462295208266	m:0.501537704791734
如果接下来的六个星期都属于他自己可是女主人说：“噢，别急,那么来的六个星期都属于他自己可是女主人说：“噢，	f:0.49902885098595673	m:0.5009711490140433
如果他的空虚令他自己吃惊,那么空虚令他自己	f:0.4905059525801976	m:0.5094940474198024
如果“假如他说到他自己呢？,那么如他说到他自己	f:0.48784041619718993	m:0.51215958380281
如果“我打算让他自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，另一,那么打算让他自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，	f:0.4996138331993494	m:0.5003861668006506
如果王琦瑶让他自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的消息,那么瑶让他自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的	f:0.4991668103684344	m:0.5008331896315656
如果使善的事物成为他自己的,那么的事物成为他自	f:0.4913756382508968	m:0.5086243617491032
如果有时候他会好气他自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什么的,那么候他会好气他自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什	f:0.49411429763680703	m:0.505885702363193
如果“没有一分钟留给他自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多少…,那么有一分钟留给他自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多	f:0.4990393608710582	m:0.5009606391289418
如果通过使美的东西成为他自己的，他将得到什么呢,那么使美的东西成为他自己的，他将得到什	f:0.4979671488215126	m:0.5020328511784874
如果不过，这三天假日是属于他自己的，他要干自己想干的事,那么，这三天假日是属于他自己的，他要干自己想干	f:0.4983445143111304	m:0.5016554856888695
如果让他捡，如果他拿他自己的，而且心满意足，你就把另外两把全赠给他,那么捡，如果他拿他自己的，而且心满意足，你就把另外两把全赠	f:0.49939527145780227	m:0.5006047285421978
如果他应该写他自己而不是克里斯塔尔……我辜负了他,那么该写他自己而不是克里斯塔尔……我辜负	f:0.4873831944437034	m:0.5126168055562965
如果去年5月8日的下午，蒙蒂教授曾记载他自己要在多尼咖啡店与罗伯特?莱布朗会面,那么5月8日的下午，蒙蒂教授曾记载他自己要在多尼咖啡店与罗伯特?莱布朗	f:0.4998610102610985	m:0.5001389897389015
如果你让他自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们——,那么他自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们	f:0.49830243767395993	m:0.50169756232604
如果有时他会把玩他自己送给我作礼物的蒙古墨水瓶,那么他会把玩他自己送给我作礼物的蒙古墨	f:0.49642536191553294	m:0.5035746380844671
如果这让他自己都觉得不好意思了,那么他自己都觉得不好意	f:0.49031694503768225	m:0.5096830549623178
如果他恨他自己,那么他	f:0.492892093303299	m:0.507107906696701
如果他只想到他自己,那么想到他	f:0.4928994209030772	m:0.5071005790969229
如果他问他自己，“怎么,那么他自己，“	f:0.4928149447500648	m:0.5071850552499353
如果“由于贫困，”陀思妥耶夫斯基说他自己，“我被迫为金钱而匆忙写作，所以接二连三地失败。,那么于贫困，”陀思妥耶夫斯基说他自己，“我被迫为金钱而匆忙写作，所以接二连三地失	f:0.4992792343591059	m:0.5007207656408941
如果他问他自己，“说到头来，这是我的，我的…,那么他自己，“说到头来，这是我的，我	f:0.48002792659915494	m:0.5199720734008451
如果有保留在他印象中的完全，对于美人迟暮自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫，把,那么留在他印象中的完全，对于美人迟暮自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫	f:0.4987381006138782	m:0.5012618993861219
如果他恨他自己，什么本事也没有，连点力气都没有，到底是干什么的呢,那么他自己，什么本事也没有，连点力气都没有，到底是干什么	f:0.49681822907882317	m:0.5031817709211769
如果振保突然提醒他自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人睡觉,那么突然提醒他自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人	f:0.4988457694256167	m:0.5011542305743834
如果同时，他更相信他自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人，好,那么，他更相信他自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人	f:0.4926082211646265	m:0.5073917788353736
如果“他到处炫示他自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂得什,那么到处炫示他自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂	f:0.49887076473444186	m:0.5011292352655581
如果陪审员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起他自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里汲取,那么员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起他自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里	f:0.4999059921521784	m:0.5000940078478215
如果他问他自己，但是他没法回答,那么他自己，但是他没法	f:0.4933771669383646	m:0.5066228330616354
如果这也怪他自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这根弦,那么怪他自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这	f:0.4986913894220145	m:0.5013086105779855
如果这要怨他自己，小狮子不平地说，我们的满腹苦水对谁诉?办理结婚登记手,那么怨他自己，小狮子不平地说，我们的满腹苦水对谁诉?办理结婚登	f:0.49946776106392815	m:0.5005322389360718
如果我父亲不爱谈他自己，我们也不问,那么亲不爱谈他自己，我们也	f:0.4957161782484956	m:0.5042838217515044
如果听到大师兄这么贬低他自己，楚玄玄自然大感不满,那么大师兄这么贬低他自己，楚玄玄自然大感	f:0.49874180294866394	m:0.501258197051336
如果他问他自己，脑子里一片混乱,那么他自己，脑子里一片	f:0.4908735463614926	m:0.5091264536385074
如果阿希礼用语言来禁闭他自己，这禁闭比任何监狱都牢固,那么礼用语言来禁闭他自己，这禁闭比任何监狱都	f:0.4995546051318627	m:0.5004453948681373
如果克雷默尔立刻述说他自己，述说关于他自己的一切,那么默尔立刻述说他自己，述说关于他自己的	f:0.4990105235958444	m:0.5009894764041556
如果但是，一个作者只能写他自己，难道不是真的吗,那么，一个作者只能写他自己，难道不是真	f:0.4967847922269014	m:0.5032152077730987
如果他说他自己：“我这人我问他一天能卖多少钱,那么他自己：“我这人我问他一天能卖多	f:0.49476216034983456	m:0.5052378396501653
如果太对不起他的母亲，也太对不起他的夫人了，可是他尤其对不起他自己；他所失去的这位妻子，她的美貌足以使人间粉黛一齐失色,那么不起他的母亲，也太对不起他的夫人了，可是他尤其对不起他自己；他所失去的这位妻子，她的美貌足以使人间粉黛一齐	f:0.4993052942841319	m:0.5006947057158682
