在“她说这本书伤害了自己。”中，自己指的是	f:0.34044098905196213	m:0.32978868199935146	t:0.3297703289486865
在“她说这封信感动了自己。”中，自己指的是	f:0.34181755801399677	m:0.32909898410665694	t:0.3290834578793462
在“她说这封信刺激了自己。”中，自己指的是	f:0.3407602099176938	m:0.3296291931989811	t:0.32961059688332506
在“她说这封信迷惑了自己。”中，自己指的是	f:0.3415296889238526	m:0.3292507817841871	t:0.32921952929196024
在“她说这封信提醒了自己。”中，自己指的是	f:0.34021012091092245	m:0.32990288975387894	t:0.32988698933519867
在“她说这封信激励了自己。”中，自己指的是	f:0.34183038039128116	m:0.32909871121015327	t:0.32907090839856556
在“他说这个举动伤害了自己。”中，自己指的是	f:0.3326406062113915	m:0.3347385131951707	t:0.33262088059343786
在“她说这个举动改变了自己。”中，自己指的是	f:0.3368579048088166	m:0.33157968171206614	t:0.33156241347911736
在“她说这个举动影响了自己。”中，自己指的是	f:0.33645789690650163	m:0.3317834707751335	t:0.3317586323183649
在“他说这个举动吸引了自己。”中，自己指的是	f:0.33268779895687667	m:0.3346347962746202	t:0.3326774047685031
在“她说这个举动启发了自己。”中，自己指的是	f:0.33594522145073263	m:0.3320377499222607	t:0.3320170286270066
在“他说这个举动激励了自己。”中，自己指的是	f:0.3325773152532242	m:0.33486348291908474	t:0.3325592018276911
在“他说这个举动刺激了自己。”中，自己指的是	f:0.332539590151716	m:0.33492685369896075	t:0.33253355614932334
在“她说这个举动困扰了自己。”中，自己指的是	f:0.33694005328748744	m:0.3315408557754092	t:0.3315190909371033
在“她说这个举动鼓舞了自己。”中，自己指的是	f:0.3367491253702325	m:0.331642618463996	t:0.33160825616577144
在“他说这个举动鞭策了自己。”中，自己指的是	f:0.3326379136524616	m:0.3347377540081675	t:0.33262433233937094
在“她说这个举动感动了自己。”中，自己指的是	f:0.3366312478156957	m:0.33169307003686294	t:0.33167568214744136
在“他说这个举动迷惑了自己。”中，自己指的是	f:0.3324390677442207	m:0.3351261821171651	t:0.33243475013861423
在“他说这个举动提醒了自己。”中，自己指的是	f:0.3327599495871148	m:0.3344995098518111	t:0.3327405405610742
在“她说这个举动激励了自己。”中，自己指的是	f:0.33694588550062843	m:0.33154057706654294	t:0.3315135374328285
在“他说这个结果伤害了自己。”中，自己指的是	f:0.33254943298065537	m:0.33491813605399307	t:0.33253243096535157
在“他说这个结果改变了自己。”中，自己指的是	f:0.3325585720766079	m:0.334889572772835	t:0.33255185515055713
在“他说这个结果影响了自己。”中，自己指的是	f:0.3326096328053497	m:0.33479040772072455	t:0.33259995947392573
在“他说这个结果吸引了自己。”中，自己指的是	f:0.3325896550243137	m:0.3348242714107934	t:0.332586073564893
在“他说这个结果启发了自己。”中，自己指的是	f:0.3327175751450873	m:0.33456569909398715	t:0.3327167257609256
在“他说这个结果激励了自己。”中，自己指的是	f:0.33245273900725064	m:0.33510903033234424	t:0.33243823066040507
在“她说这个结果刺激了自己。”中，自己指的是	f:0.3368974141819999	m:0.3315641968899715	t:0.3315383889280286
在“她说这个结果困扰了自己。”中，自己指的是	f:0.3370083794605156	m:0.3315086424221684	t:0.33148297811731603
在“她说这个结果鼓舞了自己。”中，自己指的是	f:0.33678560837914584	m:0.3316302981094952	t:0.331584093511359
在“她说这个结果鞭策了自己。”中，自己指的是	f:0.3366978161638972	m:0.3316704745551172	t:0.33163170928098556
在“她说这个结果感动了自己。”中，自己指的是	f:0.3369549571019175	m:0.3315338910792565	t:0.331511151818826
在“他说这个结果刺激了自己。”中，自己指的是	f:0.3324276435576647	m:0.33514350627994777	t:0.3324288501623876
在“他说这个结果迷惑了自己。”中，自己指的是	f:0.3322924026566328	m:0.33541666982248375	t:0.33229092752088346
在“她说这个结果提醒了自己。”中，自己指的是	f:0.3362425179424368	m:0.3318895503236844	t:0.3318679317338788
在“她说这个结果激励了自己。”中，自己指的是	f:0.33709902010285675	m:0.33146923486811125	t:0.3314317450290319
在“他说这个问题伤害了自己。”中，自己指的是	f:0.33253626221629706	m:0.33494589436755656	t:0.3325178434161464
在“她说这个问题改变了自己。”中，自己指的是	f:0.337113909207965	m:0.3314566677703175	t:0.3314294230217174
在“她说这个问题影响了自己。”中，自己指的是	f:0.33670778619739195	m:0.33166417916254687	t:0.33162803464006113
在“她说这个问题吸引了自己。”中，自己指的是	f:0.3367268173492167	m:0.3316542205624972	t:0.33161896208828595
在“他说这个问题启发了自己。”中，自己指的是	f:0.33271970188348843	m:0.33456165605236243	t:0.33271864206414914
在“他说这个问题激励了自己。”中，自己指的是	f:0.33244703927784724	m:0.3351199238701786	t:0.3324330368519742
在“他说这个问题刺激了自己。”中，自己指的是	f:0.3324184054687592	m:0.3351611529393101	t:0.3324204415919307
在“他说这个问题困扰了自己。”中，自己指的是	f:0.33246015845514343	m:0.33508060171981807	t:0.3324592398250384
在“他说这个问题鼓舞了自己。”中，自己指的是	f:0.3324705537223901	m:0.3350658413587705	t:0.3324636049188395
在“他说这个问题鞭策了自己。”中，自己指的是	f:0.33257951179489603	m:0.3348475139932757	t:0.3325729742118282
在“他说这个问题感动了自己。”中，自己指的是	f:0.3324616327062117	m:0.3350994783400585	t:0.3324388889537298
在“她说这个问题迷惑了自己。”中，自己指的是	f:0.33772391400768875	m:0.33115858288350647	t:0.3311175031088047
在“她说这个问题提醒了自己。”中，自己指的是	f:0.33637464186189175	m:0.3318250532436658	t:0.3318003048944424
在“她说这句话伤害了自己。”中，自己指的是	f:0.34167514614577654	m:0.3291758424362587	t:0.3291490114179648
在“她说这句话改变了自己。”中，自己指的是	f:0.34190546697336194	m:0.3290570162958891	t:0.329037516730749
在“他说这句话影响了自己。”中，自己指的是	f:0.33194688819082924	m:0.33615427138366777	t:0.3318988404255031
在“他说这句话吸引了自己。”中，自己指的是	f:0.3320328435088377	m:0.3359629579388854	t:0.33200419855227686
在“她说这句话启发了自己。”中，自己指的是	f:0.3396927118543699	m:0.3301640893029836	t:0.3301431988426465
在“她说这句话激励了自己。”中，自己指的是	f:0.3424477314795108	m:0.3287923907084913	t:0.32875987781199806
在“他说这句话刺激了自己。”中，自己指的是	f:0.3317058161848758	m:0.33661092576247403	t:0.3316832580526502
在“他说这句话困扰了自己。”中，自己指的是	f:0.3315349681568044	m:0.3369568878439036	t:0.331508143999292
在“他说这句话鼓舞了自己。”中，自己指的是	f:0.3317274446795349	m:0.33657036772097887	t:0.3317021875994862
在“他说这句话鞭策了自己。”中，自己指的是	f:0.33195951213279884	m:0.33610685357719666	t:0.33193363429000455
在“他说这句话感动了自己。”中，自己指的是	f:0.33153910197257963	m:0.33698110996203895	t:0.3314797880653814
在“他说这句话迷惑了自己。”中，自己指的是	f:0.3311968719703348	m:0.3376206109671296	t:0.33118251706253565
在“她说这句话提醒了自己。”中，自己指的是	f:0.3401448463374127	m:0.32993877005283784	t:0.3299163836097494
在“他说这个事件伤害了自己。”中，自己指的是	f:0.3324877648920374	m:0.3350444599796066	t:0.332467775128356
在“他说这个事件改变了自己。”中，自己指的是	f:0.3325405749664737	m:0.3349292571388264	t:0.33253016789469986
在“他说这个事件影响了自己。”中，自己指的是	f:0.3325754703921931	m:0.3348651403283394	t:0.3325593892794674
在“她说这个事件吸引了自己。”中，自己指的是	f:0.33670897108380216	m:0.3316601146042808	t:0.331630914311917
在“她说这个事件启发了自己。”中，自己指的是	f:0.3362047239761669	m:0.3319101189432708	t:0.33188515708056227
在“她说这个事件激励了自己。”中，自己指的是	f:0.33730922284328196	m:0.3313628149953128	t:0.3313279621614053
在“她说这个事件刺激了自己。”中，自己指的是	f:0.3371829778418018	m:0.33142028764144404	t:0.3313967345167542
在“她说这个事件困扰了自己。”中，自己指的是	f:0.33724727954489514	m:0.3313906473638509	t:0.33136207309125404
在“她说这个事件鼓舞了自己。”中，自己指的是	f:0.3371959760085744	m:0.3314219670722599	t:0.3313820569191657
在“他说这个事件鞭策了自己。”中，自己指的是	f:0.3325564014308074	m:0.33489976805433797	t:0.3325438305148547
在“她说这个事件感动了自己。”中，自己指的是	f:0.3373638446889595	m:0.3313329604327263	t:0.3313031948783142
在“他说这个事件迷惑了自己。”中，自己指的是	f:0.3322439146637596	m:0.3355128369293985	t:0.33224324840684194
在“她说这个事件提醒了自己。”中，自己指的是	f:0.33642849495736116	m:0.33179741569527	t:0.33177408934736885
在“他说它伤害了自己。”中，自己指的是	f:0.33139480979402025	m:0.3366975689287033	t:0.3319076212772764
在“他说它改变了自己。”中，自己指的是	f:0.33130918782229574	m:0.33678806279794016	t:0.3319027493797641
在“她说它影响了自己。”中，自己指的是	f:0.3399503821717666	m:0.32991350237272304	t:0.33013611545551036
在“他说它吸引了自己。”中，自己指的是	f:0.33163633429519157	m:0.3361483681130892	t:0.33221529759171925
在“他说它启发了自己。”中，自己指的是	f:0.3318419215691636	m:0.3358872763365198	t:0.3322708020943167
在“他说它激励了自己。”中，自己指的是	f:0.3313378152952714	m:0.3368866703225997	t:0.3317755143821289
在“她说它刺激了自己。”中，自己指的是	f:0.33930962080459187	m:0.33022472797110386	t:0.3304656512243042
在“她说它困扰了自己。”中，自己指的是	f:0.3410407262489605	m:0.3293438152642586	t:0.329615458486781
在“她说它鼓舞了自己。”中，自己指的是	f:0.34075796244526174	m:0.3295173680698116	t:0.3297246694849266
在“她说它鞭策了自己。”中，自己指的是	f:0.34003288048132163	m:0.3298966859506206	t:0.33007043356805776
在“她说它感动了自己。”中，自己指的是	f:0.3428434456478011	m:0.32844823139892726	t:0.3287083229532715
在“他说它刺激了自己。”中，自己指的是	f:0.33158712352713465	m:0.33626066783741143	t:0.3321522086354539
在“她说它迷惑了自己。”中，自己指的是	f:0.3420880526782473	m:0.3288299372853333	t:0.32908201003641946
在“她说它提醒了自己。”中，自己指的是	f:0.3399110508422841	m:0.3299446533089041	t:0.33014429584881183
